top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,골프 액세서리,거리측정기,https://image.sivillage.com/upload/C00001/s3/goods/org/790/240116008147790.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,Men's Essential Items,Essential,N/A,N/A,N/A,N/A,N/A,,,세트
골프,골프 액세서리,거리측정기,https://image.sivillage.com/upload/C00001/s3/goods/org/864/240729025607864.jpg?RS=450&SP=1,GOLFSHOP,★배터리증정★ 정품 부쉬넬 TOUR V6 SHIFT 레이저 거리측정기,N/A,N/A,N/A,5,11,N/A,,,N/A
골프,골프 액세서리,거리측정기,https://image.sivillage.com/upload/C00001/s3/goods/org/592/240321011644592.JPG?RS=450&SP=1,GOLFSHOP,★추가배터리증정★ 부쉬넬 A1 레이저 거리측정기,N/A,"440,000",2%,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,거리측정기,https://image.sivillage.com/upload/C00001/s3/goods/org/652/240710024359652.jpg?RS=450&SP=1,GARMIN,가민 어프로치 Z30 골프 레이저 거리측정기,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,거리측정기,https://image.sivillage.com/upload/C00001/s3/goods/org/193/240723025160193.png?RS=450&SP=1&QT=20,BLUE TEES GOLF,블루티스골프 3MaxE 거리측정기,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,거리측정기,https://image.sivillage.com/upload/C00001/s3/goods/org/353/240321011644353.JPG?RS=450&SP=1&QT=20,GOLFSHOP,★배터리증정★ 부쉬넬 PRO X3+ 레이저 거리측정기,N/A,N/A,N/A,5,1,N/A,,,N/A
골프,골프 액세서리,거리측정기,https://image.sivillage.com/upload/C00001/s3/goods/org/349/240423014571349.jpg?RS=450&SP=1,GOLFSHOP,★하드케이스증정★ 니콘 COOLSHOT PROII STABILIZED 쿨샷 프로2 거리측정기,COOLSHOT,"500,000",19%,5,1,N/A,,,N/A
골프,골프 액세서리,거리측정기,https://image.sivillage.com/upload/C00001/goods/org/645/220901003051645.jpg?RS=450&SP=1,MILES AND MILES AND MILES,golf hip sack vegan leather bag_white,golf,N/A,N/A,5,1,N/A,,,N/A
골프,골프 액세서리,거리측정기,https://image.sivillage.com/upload/C00001/goods/org/281/220804002904281.jpg?RS=450&SP=1,MILES AND MILES AND MILES,golf hip sack bag_miles green,golf,N/A,N/A,5,28,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_110022_210114010650.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_01_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/goods/color/color_100018_210114010651.png","그린,핑크,블루",N/A
골프,골프 액세서리,거리측정기,https://image.sivillage.com/upload/C00001/goods/org/461/210215001068461.jpg?RS=450&SP=1,GOLFSHOP,캐디톡 스나이퍼 레이저 골프거리측정기_화이트,N/A,"180,000",48%,4,4,N/A,,,N/A
