top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,골프 액세서리,장갑,여성용,https://image.sivillage.com/upload/C00001/goods/org/875/230630005578875.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Women] 원 핸드 글러브,N/A,"67,680",9%,5,5,N/A,,,N/A
골프,골프 액세서리,장갑,여성용,https://image.sivillage.com/upload/C00001/goods/org/374/230613005413374.jpg?RS=450&SP=1,J.LINDEBERG,[Women] 프로 소프트 카브레타 레더 글러브,N/A,"44,220",9%,5,41,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","화이트,블랙",N/A
골프,골프 액세서리,장갑,여성용,https://image.sivillage.com/upload/C00001/goods/org/286/220429002414286.jpg?RS=450&SP=1,MARK&LONA,W DOT CAMO PAIR GLOVE LY7YG22F,GLOVE,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,장갑,여성용,https://image.sivillage.com/upload/C00001/s3/goods/org/993/240207008850993.jpg?RS=450&SP=1,MUNSINGWEAR,여성 M버클 스키니 벨트 화이트(MP112LBT21),화이트(MP112LBT21),"140,600",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","화이트,블랙",N/A
골프,골프 액세서리,장갑,여성용,https://image.sivillage.com/upload/C00001/s3/goods/org/511/240103007865511.jpg?RS=450&SP=1&QT=20,MUNSINGWEAR,여성 양피 골프 장갑 (양손) 핑크(MP122LGL12),핑크(MP122LGL12),"102,600",5%,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,장갑,여성용,https://image.sivillage.com/upload/C00001/s3/goods/org/659/240528018659659.png?RS=450&SP=1&QT=20,STANDREWS,여성 튤 블록 글리터 별 심볼 양손 장갑,N/A,"150,100",5%,N/A,N/A,N/A,,,N/A
골프,골프 액세서리,장갑,여성용,https://image.sivillage.com/upload/C00001/goods/org/642/221220003692642.jpg?RS=450&SP=1&QT=20,ONOFF,[온오프골프웨어] 여자 골프장갑 OF8302LA_WHITE,OF8302LA_WHITE,N/A,N/A,5,1,N/A,,,N/A
골프,골프 액세서리,장갑,여성용,https://image.sivillage.com/upload/C00001/s3/goods/org/955/240701023212955.jpg?RS=450&SP=1&QT=20,MUNSINGWEAR,여성 양피 장갑 (양손) 다크그린(MP322LGL72),다크그린(MP322LGL72),"102,600",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_100019_230912133637.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/15_04_%EC%B9%B4%EB%A9%9C.png","다크그린,카멜",N/A
골프,골프 액세서리,장갑,여성용,https://image.sivillage.com/upload/C00001/s3/goods/org/057/240213008955057.jpg?RS=450&SP=1&QT=20,MUNSINGWEAR,남성 벤틸레이션 메쉬 벨트 화이트(MP111MBT21),N/A,"140,600",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","화이트,블랙",N/A
골프,골프 액세서리,장갑,여성용,https://image.sivillage.com/upload/C00001/s3/goods/org/473/240223009304473.jpg?RS=450&SP=1&QT=20,MUNSINGWEAR,여성 메쉬 롱 장갑 (양손),N/A,"102,600",5%,N/A,N/A,N/A,,,N/A
