top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,골프클럽,아이언,https://image.sivillage.com/upload/C00001/goods/org/661/230907006209661.jpg?RS=450&SP=1,TINO5,[미즈노] 2022 JPX 923 포지드 #4-P (7I) 남성 아이언,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,아이언,https://image.sivillage.com/upload/C00001/goods/org/302/220415002317302.jpg?RS=450&SP=1,GOLFSHOP,[테일러메이드]2022 스텔스 Stealth 아이언세트-테일러메이드코리아정품-,Stealth,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,아이언,https://image.sivillage.com/upload/C00001/goods/org/533/230418004736533.jpg?RS=450&SP=1,TINO5,[온오프] 2023 LP-423 여성 유틸리티,LP-423,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,아이언,https://image.sivillage.com/upload/C00001/goods/org/978/230418004735978.jpg?RS=450&SP=1,TINO5,[브리지스톤] 2022 B2 유틸리티,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,아이언,https://image.sivillage.com/upload/C00001/goods/org/537/230418004736537.jpg?RS=450&SP=1&QT=20,TINO5,[온오프] 2023 LP-423 여성 아이언 7I(6-PAS),LP-423,N/A,N/A,5,1,N/A,,,N/A
골프,골프클럽,아이언,https://image.sivillage.com/upload/C00001/goods/org/365/220301002081365.jpg?RS=450&SP=1&QT=20,GOLFSHOP,[브릿지스톤] V300 viii (8세대) 국민아이언세트-석교정품-,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,아이언,https://image.sivillage.com/upload/C00001/goods/org/046/230118003892046.jpg?RS=450&SP=1&QT=20,GOLFSHOP,[테일러메이드] 정품 22년 P790 아이언세트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,아이언,https://image.sivillage.com/upload/C00001/goods/org/211/220622002679211.jpg?RS=450&SP=1&QT=20,GOLFSHOP,[MAJESTY] 21 마제스티 로얄 아이언세트 -마제스티골프코리아-,N/A,"2,900,000",9%,N/A,N/A,N/A,,,N/A
골프,골프클럽,아이언,https://image.sivillage.com/upload/C00001/goods/org/200/220622002679200.jpg?RS=450&SP=1&QT=20,GOLFSHOP,[PXG]2021 올뉴 PXG 0211 여성아이언세트,[PXG]2021,N/A,N/A,5,1,N/A,,,N/A
골프,골프클럽,아이언,https://image.sivillage.com/upload/C00001/goods/org/477/210128001042477.jpg?RS=450&SP=1&QT=20,GOLFSHOP,[다이와]giii8 실버 여성아이언세트,[다이와]giii8,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,아이언,https://image.sivillage.com/upload/C00001/goods/org/057/230427004880057.jpg?RS=450&SP=1&QT=20,TINO5,[핑] 2022 G430 6I(#5-PW) ALTA J CB BLACK 남성 아이언,G430,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,아이언,https://image.sivillage.com/upload/C00001/goods/org/791/230418004735791.jpg?RS=450&SP=1&QT=20,TINO5,[미즈노] 2022 JPX 923 투어 #4-P (7I) 남성 아이언,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,아이언,https://image.sivillage.com/upload/C00001/goods/org/807/230418004735807.jpg?RS=450&SP=1&QT=20,TINO5,[미즈노] 2022 JPX 923 포지드 #5-S (8I) 남성 아이언,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
