top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,골프클럽,우드,https://image.sivillage.com/upload/C00001/goods/org/447/210605001262447.jpg?RS=450&SP=1,GOLFSHOP,[마제스티] 이월특가 -정품- 프레스티지오9 페어웨이우드 -남성용-,N/A,"590,000",9%,N/A,N/A,N/A,,,N/A
골프,골프클럽,우드,https://image.sivillage.com/upload/C00001/goods/org/966/230418004735966.jpg?RS=450&SP=1,TINO5,[브리지스톤] 2022 B2 페어웨이우드,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,우드,https://image.sivillage.com/upload/C00001/goods/org/432/230615005447432.jpg?RS=450&SP=1,GOLFSHOP,[젝시오프라임] 정품 23년xxio Prime 로얄에디션5 페어웨이우드,N/A,"1,000,000",9%,N/A,N/A,N/A,,,N/A
골프,골프클럽,우드,https://image.sivillage.com/upload/C00001/goods/org/583/210118001025583.jpg?RS=450&SP=1,GOLFSHOP,[카스코] 2020 카스코 UFO 파워토네이도 여성유틸리티우드,N/A,N/A,N/A,5,1,N/A,,,N/A
골프,골프클럽,우드,https://image.sivillage.com/upload/C00001/goods/org/325/230305004383325.jpg?RS=450&SP=1&QT=20,GOLFSHOP,[테일러메이드] 정품 23년 스텔스글로리 페어웨이우드,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,우드,https://image.sivillage.com/upload/C00001/goods/org/745/230907006295745.jpg?RS=450&SP=1&QT=20,TINO5,[브리지스톤] 2022 B1 페어웨이우드,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,우드,https://image.sivillage.com/upload/C00001/goods/org/687/210118001025687.jpg?RS=450&SP=1&QT=20,GOLFSHOP,[빅뱅] 뱅골프 롱디스턴스 빅뱅 페어웨이우드,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,우드,https://image.sivillage.com/upload/C00001/goods/org/856/230907006186856.jpg?RS=450&SP=1&QT=20,TINO5,[온오프] 2023 LP-423 여성 페어웨이우드,LP-423,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,우드,https://image.sivillage.com/upload/C00001/goods/org/759/230418004735759.jpg?RS=450&SP=1,TINO5,[핑] 2022 G430 MAX 남성 우드,G430,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,우드,https://image.sivillage.com/upload/C00001/goods/org/212/220622002679212.jpg?RS=450&SP=1,GOLFSHOP,[다이와]Giii 시그니처v 고반발 페어웨이우드-마스터즈인터내셔널-,[다이와]Giii,"1,550,000",6%,N/A,N/A,N/A,,,N/A
골프,골프클럽,우드,https://image.sivillage.com/upload/C00001/goods/org/686/220621002672686.jpg?RS=450&SP=1,GOLFSHOP,[다이와] 2021 온오프LP-421 페어웨이우드-여성용-,온오프LP-421,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,골프클럽,우드,https://image.sivillage.com/upload/C00001/goods/org/704/220621002672704.jpg?RS=450&SP=1,GOLFSHOP,[MAJESTY] 마제스티 21'로얄 페어웨이우드 -마제스티골프코리아-,N/A,"850,000",10%,N/A,N/A,N/A,,,N/A
