top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/s3/goods/org/804/240424014649804.jpg?RS=450&SP=1,J.LINDEBERG,[JLINDEBERG] [Men] 마르쿠스 니트 베스트,[JLINDEBERG],"354,820",14%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_100018_210114010651.png,https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png","블루,베이지",N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/s3/goods/org/836/240802025966836.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Men] 후디드 니트 베스트,N/A,"591,130",9%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_01_%EC%B9%B4%ED%82%A4.png","블랙,카키",N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/s3/goods/org/572/240801025861572.jpg?RS=450&SP=1,J.LINDEBERG,[Men] 에오스 니트 베스트,N/A,"354,820",14%,0,1,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_04_%EB%A9%9C%EB%9E%80%EC%A7%80_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/goods/color/color_060025_240701095547.jpg","블랙,멜란지 그레이,버건디",N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/s3/goods/org/906/240813027493906.jpg?RS=450&SP=1,DESCENTE GOLF,남성 로고 자카드 라운드넥 베스트 (DP31MFKV81),N/A,"265,050",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","화이트,블랙",N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/s3/goods/org/935/240812027294935.jpg?RS=450&SP=1&QT=20,TAYLORMADE,24FW 남성 브이넥 니트 베스트 TMSVN3122-195,N/A,"233,100",10%,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/s3/goods/org/114/240812027295114.jpg?RS=450&SP=1&QT=20,TAYLORMADE,24FW 남성 브이넥 니트 베스트 TMSVN3122-199,N/A,"233,100",10%,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/s3/goods/org/745/240809026861745.jpg?RS=450&SP=1&QT=20,PXG,[PXG공식] 남성 라운드 넥 스웨터 베스트-PIFCM420212,[PXG공식],N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/goods/org/371/230412004697371.jpg?RS=450&SP=1&QT=20,MADCATTOS,MCC V-NECK SWEATER VEST-LIGHT BLUE,VEST-LIGHT,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/s3/goods/org/168/240416013952168.jpg?RS=450&SP=1&QT=20,MARK&LONA,M GN COLOR BLOCK TERRY JQD V-NECK KNIT VEST LQ1IV90M,GN,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/goods/org/367/230412004697367.jpg?RS=450&SP=1&QT=20,MADCATTOS,MCC V-NECK SWEATER VEST-DARK NAVY,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/s3/goods/org/505/240223009304505.jpg?RS=450&SP=1&QT=20,MUNSINGWEAR,남성 경량 메쉬 브이넥 베스트 블루(MP121MKV31),N/A,"302,100",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_100018_210114010651.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","블루,블랙",N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/s3/goods/org/619/240401012658619.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,남성 메쉬조직 니트 베스트 (DP21MFKV41),N/A,"246,050",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png","블랙,화이트",N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/s3/goods/org/352/240801025848352.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,남성 우븐 풀오버 베스트 (DP32MFWV81),N/A,"284,050",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_03_%EB%8B%A4%ED%81%AC_%EB%B8%94%EB%A3%A8.png","블랙,다크 블루",N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/s3/goods/org/986/240313010788986.png?RS=450&SP=1&QT=20,STANDREWS,남성 심볼 우븐 믹스 니트 베스트,N/A,"454,100",5%,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/s3/goods/org/958/240130008564958.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,남성 니트 풀오버 브이넥 베스트 (DP11MFKV23),N/A,"265,050",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B8%94%EB%A3%A8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_05_%EB%8B%A4%ED%81%AC_%EC%9D%B8%EB%94%94%EA%B3%A0.png","라이트 블루,다크 인디고",N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/goods/org/369/230412004697369.jpg?RS=450&SP=1&QT=20,MADCATTOS,MCC V-NECK SWEATER VEST-WHITE,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/goods/org/980/231102006891980.jpg?RS=450&SP=1&QT=20,MADCATTOS,MCC U V-NECK COTTON VEST-DARK NAVY,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/goods/org/971/231102006891971.jpg?RS=450&SP=1&QT=20,MADCATTOS,MCC U V-NECK COTTON VEST-IVORY,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,니트,베스트,https://image.sivillage.com/upload/C00001/s3/goods/org/605/240823028881605.jpg?RS=450&SP=1&QT=20,MUNSINGWEAR,남성 조직감 브이넥 니트 베스트,N/A,"359,100",5%,N/A,N/A,N/A,,,N/A
