top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,남성 골프웨어,티셔츠,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/863/240708024156863.jpg?RS=450&SP=1,J.LINDEBERG,[Men] 루카스 쿼터 집업 미드 레이어,N/A,"303,520",14%,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/653/240809026860653.jpg?RS=450&SP=1,PXG,[PXG공식] 남성 숄더 포인트 칼라 롱슬리브-PIFPM210421,[PXG공식],N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/600/240809026861600.jpg?RS=450&SP=1,PXG,[PXG공식] 남성 숄더 포인트 칼라 롱슬리브-PIFPM210401,[PXG공식],N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/112/240229009599112.jpg?RS=450&SP=1,MUNSINGWEAR,남성 냉감 레이어드 카라 긴팔티셔츠 블랙(MP121MTL32),블랙(MP121MTL32),"321,100",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png","블랙,화이트",N/A
골프,남성 골프웨어,티셔츠,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/419/240520017613419.jpg?RS=450&SP=1&QT=20,MARK&LONA,U FR SURFING WET SUIT LQ2FW03U,SURFING,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/423/240304009754423.jpg?RS=450&SP=1&QT=20,MUNSINGWEAR,남성 M 자카드 반팔티셔츠 화이트(MP121MTS32),N/A,"302,100",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B8%94%EB%A3%A8.png","화이트,라이트블루",N/A
골프,남성 골프웨어,티셔츠,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/584/240215009001584.jpg?RS=450&SP=1&QT=20,MUNSINGWEAR,남성 시그니처 멜란지 카라 긴팔티셔츠 블루(MP121MTL31),블루(MP121MTL31),"340,100",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_06_%EB%A9%9C%EB%9E%80%EC%A7%80_%EB%B8%94%EB%A3%A8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/12_05_%EC%99%80%EC%9D%B8.png","멜란지 블루,와인",N/A
골프,남성 골프웨어,티셔츠,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/869/231129007235869.jpg?RS=450&SP=1&QT=20,PXG,[PXG공식] 남성 셔츠핏 카라 긴팔티-PHPPM210401,[PXG공식],N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/812/231129007235812.jpg?RS=450&SP=1&QT=20,PXG,[PXG공식] 남성 셔츠핏 카라 긴팔티-PHPPM210421,[PXG공식],N/A,N/A,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/130/240229009599130.jpg?RS=450&SP=1&QT=20,MUNSINGWEAR,남성 하이 스트레치 반팔티셔츠,N/A,"283,100",5%,N/A,N/A,N/A,,,N/A
