top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/132/240712024476132.jpg?RS=450&SP=1,J.LINDEBERG,[Men] 솔라노 롱 슬리브,N/A,"318,250",5%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/933/240828029603933.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Men] 콘트라스트 그래픽 롱 슬리브 폴로,N/A,"514,420",9%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/977/240828029603977.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Men] 콘트라스트 그래픽 롱 슬리브 폴로,N/A,"514,420",9%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/963/240828029603963.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Men] 콘트라스트 그래픽 롱 슬리브 폴로,N/A,"514,420",9%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/041/240806026358041.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men] 프레벤 롱 슬리브리스 폴로,N/A,"322,050",5%,5,1,신상,,,N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/744/240708024164744.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men] 리오넬 레귤러 핏 폴로,N/A,"218,020",14%,5,2,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_100018_210114010651.png,https://image.sivillage.com/upload/C00001/goods/color/color_060025_240701095547.jpg","화이트,블랙,블루,버건디",N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/164/240712024476164.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men] 솔라노 롱 슬리브,N/A,"318,250",5%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/126/240712024476126.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men] 솔라노 롱 슬리브,N/A,"318,250",5%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/403/240821028553403.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men] 프레벤 롱 슬리브리스 폴로,N/A,"322,050",5%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/658/240722025070658.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN GOLF,[Men] 아트워크 롱 슬리브 폴로 셔츠,N/A,"482,830",9%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_01_%EC%B9%B4%ED%82%A4.png","블랙,카키",N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/389/240709024283389.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN GOLF,[Men] 핫 썸머 에센셜 티셔츠,N/A,"446,730",9%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_060027_210114011352.png","화이트,블랙,레드",N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/710/240708024164710.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men] 칼레 레귤러 핏 폴로,N/A,"269,320",14%,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/504/240712024475504.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men] 비슨 레귤러 자카드 폴로,N/A,"269,320",14%,5,2,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png","라이트 베이지,다크 네이비",N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/178/240704023596178.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men] 솔라 레귤러 핏 폴로,N/A,"218,020",14%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/goods/color/color_100018_210114010651.png","화이트,네이비,블루",N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/696/240708024164696.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men] 로도스 레귤러 핏 폴로,N/A,"235,120",14%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","화이트,블랙",N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/717/240708024164717.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men] 사일로 레귤러 핏 폴로,N/A,"286,420",14%,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/689/240708024164689.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men] 멜빈 레귤러 핏 폴로,N/A,"303,520",14%,N/A,N/A,N/A,,,N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/561/240709024279561.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men] 투어 테크 슬림핏 폴로,N/A,"183,820",14%,0,2,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_05_%EC%B0%A8%EC%BD%9C_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/goods/color/color_100018_210114010651.png,https://image.sivillage.com/upload/C00001/goods/color/color_060025_240701095547.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_080018_210114011352.png","화이트,챠콜,베이지,블루,버건디,오렌지",N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/346/240412013500346.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[JLINDEBERG] [Men] 투어 테크 레귤러 핏 프린트 폴로,[JLINDEBERG],"183,820",14%,5,7,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/goods/color/color_100018_210114010651.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_060027_210114011352.png","베이지,블루,블랙,레드",N/A
골프,남성 골프웨어,티셔츠,카라/폴로형,https://image.sivillage.com/upload/C00001/s3/goods/org/057/240829029789057.jpg?RS=450&SP=1&QT=20,PXG,[PXG공식] 남성 컬러 블록 칼라 롱슬리브 티셔츠-PIFPM210705,[PXG공식],N/A,N/A,N/A,N/A,신규입고,,,N/A
