top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,남성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/541/240805026274541.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Men] 테이퍼드 팬츠,N/A,"482,830",9%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/531/240805026274531.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Men] 스컬 자카드 팬츠,N/A,"482,830",9%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/846/240820028335846.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Men] 사이드 포켓 조거 팬츠,N/A,"500,880",9%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/837/240820028335837.jpg?RS=450&SP=1,PHILIPP PLEIN GOLF,[Men] 사이드 포켓 조거 팬츠,N/A,"500,880",9%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/619/240821028547619.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men] 토케 조거 팬츠,N/A,"379,050",5%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/480/240719024895480.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men] 폴 베이직 스트레치 팬츠,N/A,"360,050",5%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/055/240808026711055.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN GOLF,[Men] 저지 조거 팬츠,N/A,"518,930",9%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/682/240725025284682.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men] 제프리 테이퍼드 핏 카고 팬츠,N/A,"379,050",5%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/163/240808026711163.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN GOLF,[Men] 저지 조거 팬츠,N/A,"518,930",9%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/043/240808026711043.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN GOLF,[Men] 에센셜 팬츠,N/A,"482,830",9%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/891/240808026710891.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN GOLF,[Men] 에센셜 팬츠,N/A,"482,830",9%,N/A,N/A,신상,,,N/A
골프,남성 골프웨어,팬츠,긴바지,https://image.sivillage.com/upload/C00001/s3/goods/org/837/240808026710837.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN GOLF,[Men] 에센셜 팬츠,N/A,"482,830",9%,N/A,N/A,신상,,,N/A
