top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/707/240829029778707.jpg?RS=450&SP=1,ECCO,ECCO W 골프 LT1 WP 132753-01007,LT1,"360,000",10%,N/A,N/A,신규입고,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/699/240829029778699.jpg?RS=450&SP=1,ECCO,ECCO M 골프 LT1 WP 132264-01007,LT1,"360,000",10%,N/A,N/A,신규입고,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/441/240823028904441.jpg?RS=450&SP=1,STANDREWS,여성 부착 리본 스트랩 골프화,N/A,"511,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/623/240823028904623.png?RS=450&SP=1,STANDREWS,여성 타공 믹스 태슬 골프화,N/A,"530,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/835/240823028904835.png?RS=450&SP=1&QT=20,STANDREWS,여성 타공 믹스 태슬 골프화,N/A,"530,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/768/240823028905768.jpg?RS=450&SP=1&QT=20,STANDREWS,여성 부착 리본 스트랩 골프화,N/A,"511,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/206/240131008603206.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,여성 CONDOR(콘도르)BOA® (DP12ULSH23),(DP12ULSH23),"303,050",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/goods/org/099/230811005963099.jpg?RS=450&SP=1&QT=20,LAMBDA GOLF,(공식정품) 람다 골프화 제니 화이트블랙 여성골프화 명품 클래식 스파이크리스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/103/240215009003103.jpg?RS=450&SP=1&QT=20,AVVES GOLF,[아베스골프] 피닉스 키높이 에센셜 (여성),N/A,N/A,N/A,5,1,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/goods/org/766/220831003041766.jpg?RS=450&SP=1&QT=20,MARK&LONA,GEL-KAI ASICS COLLABO SHOES,GEL-KAI,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/514/240528018673514.png?RS=450&SP=1&QT=20,STANDREWS,여성 리본 메리제인 스니커즈,N/A,"530,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/197/240131008603197.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,남성 CONDOR(콘도르)BOA® (DP12ULSH23),(DP12ULSH23),"303,050",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/520/240711024406520.jpg?RS=450&SP=1&QT=20,LAMBDA GOLF,(공식정품) 람다골프화 보헤미아 베이지화이트 여성골프화 클래식 명품 스파이크,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/368/240419014273368.jpg?RS=450&SP=1&QT=20,LAMBDA GOLF,(공식정품) 람다 골프화 지아 베이지레드 여성골프화 명품 클래식 스파이크리스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/142/240116008146142.jpg?RS=450&SP=1&QT=20,LAMBDA GOLF,(공식정품) 람다 골프화 아이린 브라운베이지 여성골프화 명품 클래식 스파이크,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/goods/org/827/220701002729827.jpg?RS=450&SP=1&QT=20,LAMBDA GOLF,(공식정품) 람다 골프화 유니콘 화이트예일블루 여성골프화 명품 클래식 스파이크,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/688/240222009209688.jpg?RS=450&SP=1&QT=20,AVVES GOLF,[아베스골프] 파라다이스 오렌지 (남여공용)(여성),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/526/240627022875526.jpg?RS=450&SP=1&QT=20,ECCO,ECCO W 골프 LT1 WP 132763-01007,LT1,"405,000",10%,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/992/240215009002992.jpg?RS=450&SP=1&QT=20,AVVES GOLF,[아베스골프] 오레오 그린 키높이 에센셜 (여성),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/091/240528018660091.png?RS=450&SP=1&QT=20,STANDREWS,여성 리본 메리제인 스니커즈,N/A,"530,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/528/240627022875528.jpg?RS=450&SP=1&QT=20,ECCO,ECCO W 골프 LT1 WP 132753-60909,LT1,"360,000",10%,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/268/240731025764268.jpg?RS=450&SP=1&QT=20,ECCO,ECCO W 골프 스트리트 720 110703-01007,N/A,"360,000",10%,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/534/240627022875534.jpg?RS=450&SP=1&QT=20,ECCO,ECCO W 골프 바이옴 H4 GTX 108623-01007,GTX,"378,000",10%,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/133/240116008146133.jpg?RS=450&SP=1&QT=20,LAMBDA GOLF,(공식정품) 람다 골프화 보헤미아 버건디화이트 여성골프화 명품 클래식 스파이크,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/goods/org/445/230209004121445.jpg?RS=450&SP=1&QT=20,LAMBDA GOLF,(공식정품) 람다 골프화 캐서린 네이비베이지 여성골프화 명품 클래식 스파이크,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/goods/org/968/220701002729968.jpg?RS=450&SP=1&QT=20,LAMBDA GOLF,(공식정품) 람다 골프화 데이지 화이트 여성골프화 명품 클래식 스파이크,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/530/240627022875530.jpg?RS=450&SP=1&QT=20,ECCO,ECCO W 골프 LT1 WP 132753-01579,LT1,"360,000",10%,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/362/240419014273362.jpg?RS=450&SP=1&QT=20,LAMBDA GOLF,(공식정품) 람다 골프화 지아 스카이블루 여성골프화 명품 클래식 스파이크리스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/goods/org/756/220701002729756.jpg?RS=450&SP=1&QT=20,LAMBDA GOLF,(공식정품) 람다 골프화 유니콘 베이지화이트 여성골프화 명품 클래식 스파이크,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/goods/org/684/220621002672684.jpg?RS=450&SP=1&QT=20,GOLFSHOP,람다 여성골프화 밤의여신 V2,N/A,N/A,N/A,5,1,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/goods/org/744/220701002729744.jpg?RS=450&SP=1&QT=20,LAMBDA GOLF,(공식정품) 람다 골프화 유니콘 어주르딥그린 여성골프화 명품 클래식 스파이크,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/goods/org/608/230131003984608.jpg?RS=450&SP=1&QT=20,MARK&LONA,RULER PATTERN TARMAC SHOES LY7ZK05U,RULER,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/849/231228007753849.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,2024 여성 R90 BOA®(알구공보아) (DP12WLSH25),(DP12WLSH25),"265,050",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/08_01_%EB%AF%BC%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png","민트,화이트",N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/goods/org/076/230811005963076.jpg?RS=450&SP=1&QT=20,LAMBDA GOLF,(공식정품) 람다 골프화 제니 화이트그린 여성골프화 명품 클래식 스파이크리스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/210/240222009213210.jpg?RS=450&SP=1&QT=20,AVVES GOLF,[아베스골프] 피닉스 네이비 크로크다일 (남여공용)(여성),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/112/240313010788112.png?RS=450&SP=1&QT=20,STANDREWS,여성 플로럴 믹스 별 심볼 리본 골프화,N/A,"511,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프슈즈,골프화,https://image.sivillage.com/upload/C00001/s3/goods/org/092/240222009209092.jpg?RS=450&SP=1&QT=20,AVVES GOLF,[아베스골프] 파라다이스 스카이블루 (남여공용)(여성),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
