top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,여성 골프웨어,니트,가디건/집업,https://image.sivillage.com/upload/C00001/s3/goods/org/052/240827029404052.jpg?RS=450&SP=1,J.LINDEBERG,[Women] 모나 스웨터 가디건,N/A,"436,050",5%,N/A,N/A,신상,,,N/A
골프,여성 골프웨어,니트,가디건/집업,https://image.sivillage.com/upload/C00001/s3/goods/org/042/240827029404042.jpg?RS=450&SP=1,J.LINDEBERG,[Women] 모나 스웨터 가디건,N/A,"436,050",5%,N/A,N/A,신상,,,N/A
골프,여성 골프웨어,니트,가디건/집업,https://image.sivillage.com/upload/C00001/s3/goods/org/286/240813027497286.jpg?RS=450&SP=1,PXG,[PXG공식] 여성 칼라 넥 스웨터-PIFCW410821,[PXG공식],N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,니트,가디건/집업,https://image.sivillage.com/upload/C00001/goods/org/939/220629002715939.jpg?RS=450&SP=1,GLENMUIR,g.Shelley 여성 골프 스트라이프 카라 프리미엄 코튼 집업 가디건,g.Shelley,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,니트,가디건/집업,https://image.sivillage.com/upload/C00001/s3/goods/org/379/240122008296379.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,여성 패턴 가디건 (DP12WFKO12),N/A,"360,050",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","라이트 핑크,블랙",N/A
골프,여성 골프웨어,니트,가디건/집업,https://image.sivillage.com/upload/C00001/goods/org/233/220228002080233.jpg?RS=450&SP=1&QT=20,GLENMUIR,g.Isabella 여성 사이드 포인트 니트 자켓 라이더컵 에디션-Sorbet,g.Isabella,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_070183_211026145513.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png","74 로즈 마젠타,네이비",N/A
골프,여성 골프웨어,니트,가디건/집업,https://image.sivillage.com/upload/C00001/s3/goods/org/935/240522017931935.jpg?RS=450&SP=1&QT=20,AVEN,투웨이 집업 가디건 그레이,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,니트,가디건/집업,https://image.sivillage.com/upload/C00001/s3/goods/org/633/240522017931633.jpg?RS=450&SP=1&QT=20,AVEN,슬리브리스 니트 가디건 세트 화이트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,니트,가디건/집업,https://image.sivillage.com/upload/C00001/s3/goods/org/839/240109007994839.jpg?RS=450&SP=1&QT=20,STANDREWS,여성 부클 모노그램 패턴 집업 가디건,N/A,"663,100",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,니트,가디건/집업,https://image.sivillage.com/upload/C00001/s3/goods/org/890/240522017931890.jpg?RS=450&SP=1&QT=20,AVEN,투웨이 집업 가디건 화이트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,니트,가디건/집업,https://image.sivillage.com/upload/C00001/s3/goods/org/540/240223009304540.jpg?RS=450&SP=1&QT=20,MUNSINGWEAR,여성 경량 니트 가디건 레드(MP122LSJ31),레드(MP122LSJ31),"397,100",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_060027_210114011352.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","레드,블랙",N/A
