top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/s3/goods/org/841/240708024164841.jpg?RS=450&SP=1,J.LINDEBERG,[Women] 콜마 퀼트 하이브리드 자켓,N/A,"474,520",14%,5,1,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","화이트,블랙",N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/s3/goods/org/163/240830029937163.jpg?RS=450&SP=1,PXG,[PXG공식] 여성 윈드브레이커 자켓-PIFPW610401,[PXG공식],N/A,N/A,N/A,N/A,신규입고,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/s3/goods/org/261/240830029937261.jpg?RS=450&SP=1,PXG,[PXG공식] 여성 숏 다운 자켓-PIFPW630721,[PXG공식],N/A,N/A,N/A,N/A,신규입고,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/s3/goods/org/247/240830029937247.jpg?RS=450&SP=1,PXG,[PXG공식] 여성 숏 다운 자켓-PIFPW630701,[PXG공식],N/A,N/A,N/A,N/A,신규입고,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/s3/goods/org/212/240830029937212.jpg?RS=450&SP=1&QT=20,PXG,[PXG공식] 여성 하이브리드 다운 자켓-PIFPW630621,[PXG공식],N/A,N/A,N/A,N/A,신규입고,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/s3/goods/org/203/240830029937203.jpg?RS=450&SP=1&QT=20,PXG,[PXG공식] 여성 하이브리드 다운 자켓-PIFPW630601,[PXG공식],N/A,N/A,N/A,N/A,신규입고,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/s3/goods/org/176/240830029937176.jpg?RS=450&SP=1&QT=20,PXG,[PXG공식] 여성 윈드브레이커 자켓-PIFPW610421,[PXG공식],N/A,N/A,N/A,N/A,신규입고,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/goods/org/476/220512002492476.jpg?RS=450&SP=1&QT=20,BERMUDA GRASS,투웨이 패딩 점퍼+머플러 세트_IVORY,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/s3/goods/org/844/240102007834844.jpg?RS=450&SP=1&QT=20,TAYLORMADE,여성 샤이닝 경량 반팔 구스 다운 점퍼 TWDJM8101-199,N/A,"395,100",10%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/goods/org/030/230720005765030.jpg?RS=450&SP=1&QT=20,CREVE9,헤비 롱 구스 다운 베스트WH,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/goods/org/701/211018001553701.jpg?RS=450&SP=1&QT=20,GLENMUIR,g.Samara 여성 골프 경량 패딩 - Navy,g.Samara,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_01_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","네이비,그레이,블랙",N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/s3/goods/org/111/240102007833111.jpg?RS=450&SP=1&QT=20,TAYLORMADE,여성 시즌 패턴 경량 구스 다운 점퍼 TWDJM8102-513,N/A,"521,100",10%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/s3/goods/org/490/240213008947490.jpg?RS=450&SP=1&QT=20,PXG,[PXG공식] 여성 하이브리드 다운 자켓-PIPPW430121,[PXG공식],N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/goods/org/697/221109003469697.jpg?RS=450&SP=1&QT=20,AVEN,시그니처 벨티드 구스다운 [BK/NY] 2Color,2Color,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/s3/goods/org/101/240102007834101.jpg?RS=450&SP=1&QT=20,TAYLORMADE,여성 시즌 패턴 경량 구스 다운 점퍼 TWDJM8102-199,N/A,"521,100",10%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/goods/org/926/220629002715926.jpg?RS=450&SP=1&QT=20,GLENMUIR,g.Madison-S 여성 골프 퍼포먼스 경량 패딩 (헤리티지 에디션),g.Madison-S,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/s3/goods/org/756/240102007834756.jpg?RS=450&SP=1&QT=20,TAYLORMADE,여성 샤이닝 경량 반팔 구스 다운 점퍼 TWDJM8101-509,N/A,"395,100",10%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/s3/goods/org/528/240213008947528.jpg?RS=450&SP=1&QT=20,PXG,[PXG공식] 여성 하이브리드 다운 자켓-PIPPW430101,[PXG공식],N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/goods/org/066/230720005765066.jpg?RS=450&SP=1&QT=20,CREVE9,헤비 롱 구스 다운 베스트BK,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/goods/org/178/230720005765178.jpg?RS=450&SP=1&QT=20,CREVE9,퀼티드 구스 스윙 다운WH,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/goods/org/598/221020003346598.jpg?RS=450&SP=1&QT=20,VOKEN,FEVE 신슐레이트 테크니컬 윈터 재킷 - BLACK,BLACK,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/goods/org/519/221020003346519.jpg?RS=450&SP=1&QT=20,VOKEN,FEVE 신슐레이트 테크니컬 윈터 재킷 - IVORY,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/goods/org/550/220512002492550.jpg?RS=450&SP=1&QT=20,BERMUDA GRASS,투웨이 패딩 점퍼+머플러 세트_CHARCOAL,세트_CHARCOAL,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/goods/org/669/211018001553669.jpg?RS=450&SP=1&QT=20,GLENMUIR,g.Ayla 여성 골프 경량 패딩 조끼 - Navy,g.Ayla,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_01_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","네이비,그레이,블랙",N/A
골프,여성 골프웨어,아우터,다운/패딩,https://image.sivillage.com/upload/C00001/goods/org/960/211001001501960.jpg?RS=450&SP=1&QT=20,GLENMUIR,g.Sabine-S 여성 골프 퍼포먼스 경량 패딩 조끼 - Magenta,g.Sabine-S,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_070171_210930153712.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","로즈 마젠타,블랙",N/A
