top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
골프,여성 골프웨어,아우터,아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/012/240827029404012.jpg?RS=450&SP=1,J.LINDEBERG,[Women] 나탈리 아노락,N/A,"436,050",5%,5,1,신상,,,N/A
골프,여성 골프웨어,아우터,아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/002/240827029404002.jpg?RS=450&SP=1,J.LINDEBERG,[Women] 나탈리 아노락,N/A,"436,050",5%,N/A,N/A,신상,,,N/A
골프,여성 골프웨어,아우터,아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/020/240325011949020.jpg?RS=450&SP=1,DESCENTE GOLF,여성 컬러블록 반팔 아노락 (DP22WFBL43),(DP22WFBL43),"303,050",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/010/240325011949010.jpg?RS=450&SP=1,DESCENTE GOLF,여성 컬러블록 반팔 아노락 (DP22WFBL43),(DP22WFBL43),"303,050",5%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/991/240325011948991.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,여성 홑겹 니트 하이브리드 바람막이 (DP12WFBL31),(DP12WFBL31),"360,050",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png","블랙,라이트베이지",N/A
골프,여성 골프웨어,아우터,아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/884/240704023584884.jpg?RS=450&SP=1&QT=20,DESCENTE GOLF,여성 하이브리드 반팔 아노락 (DP32WFBL71),(DP32WFBL71),"322,050",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%ED%95%91%ED%81%AC.png","블랙,라이트 핑크",N/A
골프,여성 골프웨어,아우터,아노락,https://image.sivillage.com/upload/C00001/goods/org/723/220720002825723.jpg?RS=450&SP=1&QT=20,AVEN,필드 집업 아노락 점퍼,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,아노락,https://image.sivillage.com/upload/C00001/s3/goods/org/243/240102007836243.jpg?RS=450&SP=1&QT=20,TAYLORMADE,여성 시그니쳐 후드 아노락 점퍼 TWJUM7103-915,N/A,"258,480",28%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,아노락,https://image.sivillage.com/upload/C00001/goods/org/678/230411004692678.jpg?RS=450&SP=1&QT=20,HORN GARMENT,W HG FLORAL PATTERN PRINT SS ANORAK HP2CC06F,HG,"320,600",30%,N/A,N/A,N/A,,,N/A
골프,여성 골프웨어,아우터,아노락,https://image.sivillage.com/upload/C00001/goods/org/153/230330004609153.jpg?RS=450&SP=1&QT=20,TAYLORMADE,여성 반팔 아노락 점퍼 TWJUM5105-508,N/A,"213,570",37%,N/A,N/A,N/A,,,N/A
