top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/357/240805026274357.jpg?RS=450&SP=1,MAN ON THE BOON,[BARENA] 케이블 브이넥 니트 가디건,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/055/240726025421055.jpg?RS=450&SP=1,BRUNELLO CUCINELLI,남성 하이넥 집업 니트 가디건,N/A,"2,346,500",5%,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/026/240830029971026.jpg?RS=450&SP=1,GIORGIO ARMANI,남성 사이드 슬릿 울 캐시미어 가디건,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/997/240830029970997.jpg?RS=450&SP=1,GIORGIO ARMANI,남성 카라 버튼업 니트 가디건,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/777/240719024896777.jpg?RS=450&SP=1&QT=20,BRUNELLO CUCINELLI,남성 라켓 로고 패치 케이블 가디건,N/A,"2,612,500",5%,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/021/240830029971021.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 카라 버튼업 니트 가디건,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/926/240816027920926.jpg?RS=450&SP=1&QT=20,PAUL SMITH,퍼넬 넥 캐시미어 니트 집업 가디건,N/A,"1,260,000",10%,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/919/240816027920919.jpg?RS=450&SP=1&QT=20,PAUL SMITH,퍼넬 넥 캐시미어 니트 집업 가디건,N/A,"1,260,000",10%,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/997/240816027920997.jpg?RS=450&SP=1&QT=20,PAUL SMITH,[PS PAUL SMITH] 브이넥 울 니트 가디건,PAUL,"585,000",10%,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/850/240816027919850.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 투웨이 지퍼 캐시미어 가디건,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/101/240809026901101.jpg?RS=450&SP=1&QT=20,PAUL SMITH,스트라이프 넥 집업 가디건,N/A,"765,000",10%,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/928/240809026900928.jpg?RS=450&SP=1&QT=20,PAUL SMITH,버튼 클로저 리브드 가디건,N/A,"675,000",10%,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/894/240816027920894.jpg?RS=450&SP=1&QT=20,PAUL SMITH,[PS PAUL SMITH] 스트라이프 로고 가디건,PAUL,"891,000",10%,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/888/240816027920888.jpg?RS=450&SP=1&QT=20,PAUL SMITH,[PS PAUL SMITH] 스트라이프 로고 가디건,PAUL,"891,000",10%,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/069/240820028335069.jpg?RS=450&SP=1&QT=20,SACAI,[남성]그라데이션 브이넥 니트 가디건,N/A,"1,377,500",5%,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/923/240731025790923.jpg?RS=450&SP=1&QT=20,HERNO,남성 칼라드 버튼업 니트 가디건,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/369/240805026274369.jpg?RS=450&SP=1&QT=20,MAN ON THE BOON,[BARENA] 울 블렌드 니트 가디건,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/209/240719024898209.jpg?RS=450&SP=1&QT=20,MAN ON THE BOON,[BARENA] 하이넥 니트 가디건,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,니트,가디건/집업,가디건,https://image.sivillage.com/upload/C00001/s3/goods/org/363/240805026274363.jpg?RS=450&SP=1&QT=20,MAN ON THE BOON,[BARENA] 케이블 브이넥 니트 가디건,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
