top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,니트,풀오버,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/179/240809026900179.jpg?RS=450&SP=1,MAN ON THE BOON,스트링 후디드 캐시미어 니트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,니트,풀오버,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/167/240809026900167.jpg?RS=450&SP=1,MAN ON THE BOON,스트링 후디드 캐시미어 니트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,니트,풀오버,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/173/240809026900173.jpg?RS=450&SP=1,MAN ON THE BOON,스트링 후디드 캐시미어 니트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,니트,풀오버,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/027/240702023327027.jpg?RS=450&SP=1,EMPORIO ARMANI,남성 리브드 하프 집업 니트 풀오버,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,니트,풀오버,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/033/240702023327033.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 리브드 하프 집업 니트 풀오버,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,니트,풀오버,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/021/240702023327021.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 리브드 하프 집업 니트 풀오버,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,니트,풀오버,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/772/240827029413772.jpg?RS=450&SP=1&QT=20,SHIFT.G,Wool Texture Hoodie Sweater Ash (GS4851H014),Wool,"359,100",10%,N/A,N/A,신상,,,N/A
남성의류,니트,풀오버,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/754/240827029413754.jpg?RS=450&SP=1&QT=20,SHIFT.G,Wool Texture Hoodie Sweater Grey (GS4851H013),Wool,"359,100",10%,N/A,N/A,신상,,,N/A
남성의류,니트,풀오버,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/758/240831030019758.jpg?RS=450&SP=1&QT=20,STONE ISLAND,24FW 스톤 아일랜드 니트웨어 8115508A3 Grey,Grey,"778,600",15%,N/A,N/A,신규입고,,,N/A
남성의류,니트,풀오버,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/832/240830029847832.jpg?RS=450&SP=1&QT=20,ROBERTO COLLINA,로베르토 콜리나 니트웨어 RF01001 RF0110 Blue,Blue,"402,050",15%,N/A,N/A,신규입고,,,N/A
