top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/503/240902030325503.jpg?RS=450&SP=1,PRADA,24FW 프라다 데님 숏팬츠 GEP38014PWSOOOF0008 Light Beige,GEP38014PWSOOOF0008,"1,812,200",35%,N/A,N/A,신규입고,,,N/A
남성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/857/240725025261857.jpg?RS=450&SP=1,AMBUSH,24SS 엠부시 데님 숏팬츠 BMYC001S24DEN002 4200 Stone Washed,N/A,"429,250",15%,N/A,N/A,N/A,,,N/A
남성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/717/240429015016717.jpg?RS=450&SP=1,WRANGLER,플레어 70s 데님팬츠,N/A,"212,890",14%,N/A,N/A,N/A,,,세일
남성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/771/240429015016771.jpg?RS=450&SP=1,WRANGLER,플레어 리메이크 데님팬츠,N/A,"247,090",14%,N/A,N/A,N/A,,,세일
남성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/856/240429015016856.jpg?RS=450&SP=1&QT=20,WRANGLER,[THE ARCHIVES] 11MWZ 1958 MODEL,MODEL,"341,140",14%,N/A,N/A,N/A,,,세일
남성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/847/240429015016847.jpg?RS=450&SP=1&QT=20,WRANGLER,부츠컷 반다나 데님팬츠,N/A,"238,540",14%,N/A,N/A,N/A,,,세일
남성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/618/240702023300618.jpg?RS=450&SP=1&QT=20,CALVIN KLEIN,24SS 캘빈클라인 데님 숏팬츠 J30J324877 1A4 Denim,N/A,"208,250",15%,N/A,N/A,N/A,,,N/A
남성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/423/240426014822423.jpg?RS=450&SP=1&QT=20,ETRO,24SS 에트로 데님 숏팬츠 MRNG0001AD001 BLUE,MRNG0001AD001,"1,340,450",15%,N/A,N/A,N/A,,,N/A
남성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/128/240405013074128.jpg?RS=450&SP=1&QT=20,SAINT LAURENT,22SS 생로랑 데님 숏팬츠 638547 Y863S4119,N/A,"1,004,700",29%,N/A,N/A,N/A,,,N/A
남성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/298/240329012428298.jpg?RS=450&SP=1&QT=20,BURBERRY,[BURBERRY] 24SS 마틴 MARTIN 체크 스윔 숏팬츠 8051078,N/A,"441,150",27%,N/A,N/A,N/A,,,N/A
