top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/555/240717024766555.jpg?RS=450&SP=1,PAUL SMITH,[PS PAUL SMITH] 크레용 프린트 맨투맨,PAUL,"360,000",10%,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/490/240830029959490.jpg?RS=450&SP=1,RICK OWENS,[MEN] [DRKSHDW] 롤 헴 크루넥 스웨트 셔츠,N/A,"646,000",5%,N/A,N/A,신상,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/482/240830029959482.jpg?RS=450&SP=1,RICK OWENS,[MEN] [DRKSHDW] 롤 헴 크루넥 스웨트 셔츠,N/A,"646,000",5%,N/A,N/A,신상,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/543/240717024766543.jpg?RS=450&SP=1,PAUL SMITH,[PS PAUL SMITH] 지브라 패치 크루넥 맨투맨,PAUL,"270,000",10%,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/330/240802026006330.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN,타투 프린트 크루넥 맨투맨,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/324/240802026006324.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN,타투 프린트 크루넥 맨투맨,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/318/240802026006318.jpg?RS=450&SP=1&QT=20,PHILIPP PLEIN,타이거 와펜 카모플라쥬 맨투맨,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/832/240816027919832.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,남성 스티치 포켓 하프 집업 맨투맨,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/409/240731025790409.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 후로피 프린트 크루넥 맨투맨,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/403/240731025790403.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 자수 로고 드롭 숄더 맨투맨,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/996/240716024684996.jpg?RS=450&SP=1&QT=20,SACAI,[남성]GONZ AND SACAI 맨투맨,[남성]GONZ,"446,500",5%,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/242/240710024366242.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,남성 엠보싱 AX 로고 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/838/240702023326838.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 배색 자수 엠보 로고 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/931/240701023211931.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,남성 로고 그래픽 크루넥 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/913/240701023211913.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,남성 자수 로고 하프 집업 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/437/240612020944437.jpg?RS=450&SP=1&QT=20,PAUL SMITH,남성 보타니컬 프린트 맨투맨,N/A,"630,000",10%,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/925/240701023211925.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,남성 자수 로고 하프 집업 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/783/240830029970783.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 플리스 리브드 터틀넥 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/895/240718024820895.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men Collection] 카이저 크루넥,Collection],"379,050",5%,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/792/240702023326792.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 배색 자수 엠보 로고 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/707/240723025155707.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 프론트 로고 롱 슬리브 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/211/240710024366211.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,남성 컬러 블록 로고 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/699/240723025155699.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 프론트 로고 롱 슬리브 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/841/240626022774841.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 엠보 패턴 크루넥 스웨트셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/788/240830029970788.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 텍스처드 울 크루넥 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/961/240710024365961.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 엠보 로고 허니콤 메쉬 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/652/240725025307652.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,남성 엠보 로고 크루넥 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/937/240701023211937.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,남성 로고 그래픽 크루넥 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/373/240710024366373.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,남성 프론트 로고 크루넥 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/367/240710024366367.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,남성 프론트 로고 크루넥 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/074/240612020959074.jpg?RS=450&SP=1&QT=20,SACAI,[남성]드로스트링 헴 스웻 풀오버,N/A,"560,500",5%,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/063/240612020959063.jpg?RS=450&SP=1&QT=20,SACAI,[남성]드로스트링 헴 스웻 풀오버,N/A,"560,500",5%,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/415/240902030312415.jpg?RS=450&SP=1&QT=20,VUORI,[남성] 사이프레스 1/4 집업,N/A,"157,950",19%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/goods/color/0000617.png","네이비,블루 그린",N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/904/240807026550904.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,[MEN] 톰보이핏 헤비웨이트 맨투맨,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_03_%EC%98%A4%ED%8A%B8%EB%B0%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png","오트밀,네이비",N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/999/240726025438999.jpg?RS=450&SP=1&QT=20,VUORI,[남성] 사이프레스 크루,N/A,"125,550",19%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_04_%EB%A9%9C%EB%9E%80%EC%A7%80_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/goods/color/color_100019_230912133637.png","멜란지 그레이,네이비,다크그린",N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/592/240828029559592.jpg?RS=450&SP=1&QT=20,BOSS,[공식] [보스] 유니섹스 라운드 맨투맨 릴렉스핏 50519718_001,N/A,"232,500",7%,N/A,N/A,신상,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/597/240828029559597.jpg?RS=450&SP=1&QT=20,HUGO,[공식] [휴고] 스테이트먼트 맨투맨 오버핏 50516667_210,N/A,"265,050",7%,N/A,N/A,신상,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/624/240828029559624.jpg?RS=450&SP=1&QT=20,HUGO,[공식] [휴고] 스테이트먼트 맨투맨 오버핏 50516667_001,N/A,"265,050",7%,N/A,N/A,신상,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/940/240829029784940.jpg?RS=450&SP=1&QT=20,PARAJUMPERS,파라점퍼스 남성 스웻셔츠 K2-Black (24WMPMFLEY21PJ0541),K2-Black,"242,250",5%,N/A,N/A,신상,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/797/240829029788797.jpg?RS=450&SP=1&QT=20,PARAJUMPERS,파라점퍼스 남성 스웻셔츠 K2-Yellow (24WMPMFLEY21PJ0519),K2-Yellow,"242,250",5%,N/A,N/A,신상,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/788/240829029788788.jpg?RS=450&SP=1&QT=20,PARAJUMPERS,파라점퍼스 남성 스웻셔츠 K2-Dark Avio (24WMPMFLEY21PJ0300),(24WMPMFLEY21PJ0300),"242,250",5%,N/A,N/A,신상,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/586/240828029559586.jpg?RS=450&SP=1&QT=20,BOSS,[공식] [보스] 유니섹스 라운드 맨투맨 릴랙스핏 50519718_464,N/A,"232,500",7%,N/A,N/A,신상,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/181/240216009028181.jpg?RS=450&SP=1&QT=20,JAJU,남 하프 집업 스웨트 셔츠,N/A,"29,900",25%,4.5,4,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_04_%EB%A9%9C%EB%9E%80%EC%A7%80_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","베이지,멜란지 그레이,블랙",N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/473/240205008783473.jpg?RS=450&SP=1&QT=20,JAJU,유니 스웨트 셔츠,N/A,"29,900",25%,5,3,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_01_%EC%B9%B4%ED%82%A4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_04_%EB%A9%9C%EB%9E%80%EC%A7%80_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","카키,멜란지 그레이,블랙",N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/483/240902030311483.jpg?RS=450&SP=1&QT=20,STONE ISLAND,[스톤아일랜드] 와펜 패치 맨투맨 811562420 V0024,N/A,"349,350",18%,N/A,N/A,신규입고,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/431/240902030311431.jpg?RS=450&SP=1&QT=20,MAISON KITSUNE,[메종키츠네] 볼드 폭스 헤드 패치 오버사이즈 스웨트셔츠 MM00304KM0001 BLACK,BLACK,"263,500",18%,N/A,N/A,신규입고,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/493/240605019924493.jpg?RS=450&SP=1&QT=20,THOM BROWNE,[톰브라운] 남성 크루넥 풀오버 맨투맨 MJT085A 03377 415,N/A,"554,200",33%,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/063/240820028334063.jpg?RS=450&SP=1&QT=20,ALLEGRI,다크 네이비《Two Tone Terry》라운드 티셔츠 (ARTS4C201N3),N/A,"275,500",5%,N/A,N/A,신상,,,세일
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/988/240820028333988.jpg?RS=450&SP=1&QT=20,ALLEGRI,라이트 블루《Two Tone Terry》라운드 티셔츠 (ARTS4C201B1),N/A,"275,500",5%,N/A,N/A,신상,,,세일
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/092/240820028334092.jpg?RS=450&SP=1&QT=20,ALLEGRI,화이트《Two Tone Terry》라운드 티셔츠 (ARTS4C201WT),N/A,"275,500",5%,N/A,N/A,신상,,,세일
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/011/240820028334011.jpg?RS=450&SP=1&QT=20,ALLEGRI,블랙《Two Tone Terry》라운드 티셔츠 (ARTS4C201BK),N/A,"275,500",5%,N/A,N/A,신상,,,세일
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/575/240828029559575.jpg?RS=450&SP=1&QT=20,BOSS,[공식] [보스] 로고 패치 맨투맨 릴렉스핏 50509323_001,N/A,"195,300",7%,N/A,N/A,신상,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/298/240823028899298.jpg?RS=450&SP=1&QT=20,STONE ISLAND,[스톤아일랜드] 와펜 패치 맨투맨 811563051 V0097,N/A,"331,500",18%,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/901/240823028903901.jpg?RS=450&SP=1&QT=20,MAISON KITSUNE,메종키츠네 24FW 남성 볼드 폭스헤드 오버사이즈 맨투맨 블랙 MM00304KM0001 P199,N/A,"267,750",18%,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/163/240823028903163.jpg?RS=450&SP=1&QT=20,WOOYOUNGMI,WOOYOUNGMI 우영미 그레이 백로고 스웨트셔츠 W243TS27721G,WOOYOUNGMI,"391,500",13%,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/348/240823028899348.jpg?RS=450&SP=1&QT=20,MONCLER,[몽클레어] 로고 패치 스웨트셔츠 8G00039 809KR 999,8G00039,"658,750",18%,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/239/240319011408239.jpg?RS=450&SP=1,MAISON KITSUNE,메종키츠네 남녀공용 폭스 헤드 패치 하프 반집업 네이비 MM00314KM0001-P476,N/A,"360,400",29%,N/A,N/A,N/A,,,N/A
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/215/240813027512215.jpg?RS=450&SP=1,ZZERO,지제로 팬서 핸드 로프 카라넥 멜란지 그레이 SG5TS809MG,SG5TS809MG,"322,050",5%,N/A,N/A,신상,,,세일
남성의류,맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/009/240813027517009.jpg?RS=450&SP=1,SONGZIO HOMME,송지오옴므 SSAW 오리지널 워시드 크루넥 블루그레이 SG4TS101BG,SG4TS101BG,"215,100",10%,N/A,N/A,N/A,,,세일
