top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,셔츠,포멀 숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/701/240216009029701.jpg?RS=450&SP=1,PEUTEREY,페트레이 남성 마문[MAMUN DR FUR R] 블랙 PRMDW005E0FBK,N/A,"2,322,000",10%,N/A,N/A,N/A,,,N/A
남성의류,셔츠,포멀 숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/655/240717024760655.jpg?RS=450&SP=1,BROOKS BROTHERS,슬림핏 논 아이론 버튼 다운 숏-슬리브 드레스 셔츠 (네이비) (78000384),N/A,"116,100",10%,N/A,N/A,N/A,,,N/A
남성의류,셔츠,포멀 숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/661/240717024760661.jpg?RS=450&SP=1,BROOKS BROTHERS,슬림핏 논 아이론 버튼 다운 숏-슬리브 드레스 셔츠 (블루) (78000383),N/A,"116,100",10%,N/A,N/A,N/A,,,N/A
남성의류,셔츠,포멀 숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/151/240424014645151.jpg?RS=450&SP=1,BROOKS BROTHERS,슬림핏 논아이론 에인즐리 핀포인트 숏슬리브 드레스셔츠 (화이트) (BBTDMF0253AES),N/A,"112,590",19%,N/A,N/A,N/A,,,세일
남성의류,셔츠,포멀 숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/138/240424014645138.jpg?RS=450&SP=1&QT=20,BROOKS BROTHERS,슬림핏 논아이론 핀포인트 에인즐리 드레스셔츠 (라이트 블루),N/A,"112,590",19%,N/A,N/A,N/A,,,세일
남성의류,셔츠,포멀 숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/591/240328012298591.jpg?RS=450&SP=1&QT=20,GALAXY,[Galaxy] 쿨 맥스 시어서커 셔츠 네이비 (GA4364U18R),[Galaxy],"157,680",28%,N/A,N/A,N/A,,,세일
남성의류,셔츠,포멀 숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/017/240328012297017.jpg?RS=450&SP=1&QT=20,GALAXY,아이스폴 트윌 솔리드 레귤러핏 반팔 셔츠 스카이 블루 (GA4465MR3Q),(GA4465MR3Q),"107,280",28%,5,1,N/A,,,세일
남성의류,셔츠,포멀 숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/549/240328012298549.jpg?RS=450&SP=1&QT=20,GALAXY,[Galaxy] 쿨 맥스 시어서커 셔츠 화이트 (GA4364U181),[Galaxy],"157,680",28%,N/A,N/A,N/A,,,세일
남성의류,셔츠,포멀 숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/899/240328012296899.jpg?RS=450&SP=1&QT=20,GALAXY,아이스폴 트윌 솔리드 레귤러핏 반팔 셔츠 화이트 (GA4465MR31),(GA4465MR31),"107,280",28%,5,1,N/A,,,세일
남성의류,셔츠,포멀 숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/055/240328012296055.jpg?RS=450&SP=1&QT=20,GALAXY,[Galaxy] 서머 프린트 셔츠 그린 (GA4364U17M),[Galaxy],"143,280",28%,N/A,N/A,N/A,,,세일
남성의류,셔츠,포멀 숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/548/240328012295548.jpg?RS=450&SP=1&QT=20,GALAXY,[Galaxy] 서머 프린트 셔츠 블루 (GA4364U16P),[Galaxy],"143,280",28%,N/A,N/A,N/A,,,세일
남성의류,셔츠,포멀 숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/141/240130008559141.jpg?RS=450&SP=1&QT=20,SHIFT.G,Stretch 3 Way Module Jacket Black (GS4339MD25),Module,"237,060",46%,N/A,N/A,N/A,,,세일
남성의류,셔츠,포멀 숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/332/240520017595332.jpg?RS=450&SP=1,AURALEE,오라리 A00SP02GT WHITE 러스터 플레이팅 남성 반팔티,A00SP02GT,"160,650",31%,N/A,N/A,N/A,,,N/A
남성의류,셔츠,포멀 숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/335/240520017595335.jpg?RS=450&SP=1,AURALEE,오라리 A00SP02GT BLACK 러스터 플레이팅 남성 반팔티,A00SP02GT,"160,650",31%,N/A,N/A,N/A,,,N/A
남성의류,셔츠,포멀 숏슬리브,https://image.sivillage.com/upload/C00001/goods/org/397/230614005429397.jpg?RS=450&SP=1,TNGT,KINOSHITA 아이보리 세미오버 시어서커 오픈칼라 하프 셔츠 (TNSH3E204IV),N/A,"52,440",24%,N/A,N/A,N/A,,,세일
남성의류,셔츠,포멀 숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/842/240509016242842.jpg?RS=450&SP=1,GALAXY,이지케어 드레스 반팔 셔츠 스카이 블루 (GA3465MR3Q),(GA3465MR3Q),"60,040",56%,N/A,N/A,N/A,,,세일
