top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,아우터,자켓,데님,https://image.sivillage.com/upload/C00001/s3/goods/org/435/240830029959435.jpg?RS=450&SP=1,RICK OWENS,[MEN] [DRKSHDW] 타이다이 데님 아우터 셔츠,N/A,"2,356,000",5%,N/A,N/A,신상,,,N/A
남성의류,아우터,자켓,데님,https://image.sivillage.com/upload/C00001/s3/goods/org/292/240822028679292.jpg?RS=450&SP=1,STUDIO TOMBOY,[MEN] 데님 투포켓 셔켓,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,아우터,자켓,데님,https://image.sivillage.com/upload/C00001/s3/goods/org/890/240830029934890.jpg?RS=450&SP=1,STUDIO TOMBOY,[MEN] 하이넥 데님 보머 점퍼,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,아우터,자켓,데님,https://image.sivillage.com/upload/C00001/s3/goods/org/922/240809026900922.jpg?RS=450&SP=1,PAUL SMITH,백 스트라이프 패치 데님 자켓,N/A,"720,000",10%,N/A,N/A,신상,,,N/A
남성의류,아우터,자켓,데님,https://image.sivillage.com/upload/C00001/s3/goods/org/526/240809026901526.jpg?RS=450&SP=1&QT=20,PAUL SMITH,[PS PAUL SMITH] 리프 엠브로이더리 데님 자켓,PAUL,"810,000",10%,N/A,N/A,신상,,,N/A
남성의류,아우터,자켓,데님,https://image.sivillage.com/upload/C00001/s3/goods/org/854/240716024684854.jpg?RS=450&SP=1&QT=20,SACAI,[남성]GONZ 와펜 버튼업 데님 자켓,[남성]GONZ,"1,871,500",5%,N/A,N/A,N/A,,,N/A
남성의류,아우터,자켓,데님,https://image.sivillage.com/upload/C00001/s3/goods/org/109/240730025703109.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,[MEN] 디트로이트 데님 점퍼,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_100018_210114010651.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_03_%EB%8B%A4%ED%81%AC_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","블루,다크 그레이",N/A
남성의류,아우터,자켓,데님,https://image.sivillage.com/upload/C00001/s3/goods/org/904/240830029970904.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 쉐브론 패턴 데님 블루종,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,아우터,자켓,데님,https://image.sivillage.com/upload/C00001/s3/goods/org/146/240730025703146.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,[MEN] 데님 워시드 코치 점퍼,N/A,N/A,N/A,5,1,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_04_%EC%9D%B8%EB%94%94%EA%B3%A0.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_03_%EB%8B%A4%ED%81%AC_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","인디고,다크 그레이",N/A
남성의류,아우터,자켓,데님,https://image.sivillage.com/upload/C00001/s3/goods/org/106/240628023011106.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 로고 패치 퀼팅 나일론 자켓,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
