top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,아우터,퍼/무스탕,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/171/240823028928171.jpg?RS=450&SP=1,EMPORIO ARMANI,남성 투웨이 지퍼 후드 퍼 자켓,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,아우터,퍼/무스탕,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/160/240903030414160.jpg?RS=450&SP=1,CARHARTT WIP,칼하트윕 남성 아이보리 Prentis 플리스 시어링 자켓 I0251202DU.XX,N/A,"280,840",28%,N/A,N/A,신규입고,,,N/A
남성의류,아우터,퍼/무스탕,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/630/240903030407630.jpg?RS=450&SP=1,BURBERRY,버버리 남성 브라운 무스탕 8095383,N/A,"6,140,140",38%,N/A,N/A,신규입고,,,N/A
남성의류,아우터,퍼/무스탕,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/607/240828029576607.jpg?RS=450&SP=1,A.P.C.,24FW 아페쎄 무톤 PSAJO H02971PL Brown,H02971PL,"822,800",35%,N/A,N/A,신규입고,,,N/A
남성의류,아우터,퍼/무스탕,기타,https://image.sivillage.com/upload/C00001/goods/org/548/230630005576548.jpg?RS=450&SP=1&QT=20,PATAGONIA,파타고니아 플리스 뽀글이 클래식 레트로-X 재킷 (23056-NAT),N/A,"352,000",14%,N/A,N/A,N/A,,,N/A
남성의류,아우터,퍼/무스탕,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/633/240614021296633.jpg?RS=450&SP=1&QT=20,SAINT LAURENT,생로랑 무톤 707006Y2F641000 NOIR,N/A,"4,404,700",18%,N/A,N/A,N/A,,,N/A
남성의류,아우터,퍼/무스탕,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/634/240522017914634.jpg?RS=450&SP=1&QT=20,AMI PARIS,아미 HJK046 시어링 무스탕자켓(베이지) HJK046 542 250,N/A,"2,237,620",15%,N/A,N/A,N/A,,,N/A
남성의류,아우터,퍼/무스탕,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/493/240731025743493.jpg?RS=450&SP=1&QT=20,SALVATORE SANTORO,24SS 살바토레 산토로 무톤 65afb532050d94ed5af6aa37 Brown,N/A,"1,863,200",19%,N/A,N/A,N/A,,,N/A
남성의류,아우터,퍼/무스탕,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/149/240815027812149.jpg?RS=450&SP=1&QT=20,HAIKURE,24FW 하이쿠레 무톤 HEM09095GF160 L0866 Black,HEM09095GF160,"1,547,000",29%,N/A,N/A,N/A,,,N/A
남성의류,아우터,퍼/무스탕,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/793/240902030312793.jpg?RS=450&SP=1&QT=20,ADIDAS,아디다스 프리미엄 에센셜 폴라 플리스 풀집 기모 자켓 (IW0983),N/A,"118,500",14%,N/A,N/A,신규입고,,,N/A
남성의류,아우터,퍼/무스탕,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/795/240902030312795.jpg?RS=450&SP=1&QT=20,ADIDAS,아디다스 프리미엄 에센셜 폴라 플리스 풀집 기모 자켓 (IY2255),N/A,"118,500",14%,N/A,N/A,신규입고,,,N/A
