top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,언더웨어,드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/414/240820028335414.jpg?RS=450&SP=1,EMPORIO ARMANI UNDERWEAR,[SIV 단독 판매] 남성 벨루어 밴딩 코튼 드로즈 2PACK,N/A,N/A,N/A,5,1,신상,,,N/A
남성의류,언더웨어,드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/422/240820028335422.jpg?RS=450&SP=1,EMPORIO ARMANI UNDERWEAR,[SIV 단독 판매] 남성 벨루어 밴딩 코튼 드로즈 2PACK,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,언더웨어,드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/110/240801025857110.jpg?RS=450&SP=1,EMPORIO ARMANI UNDERWEAR,[SIV 단독 판매] 남성 풀 로고 밴딩 코튼 드로즈 3PACK,N/A,N/A,N/A,5,2,신상,,,N/A
남성의류,언더웨어,드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/626/240719024893626.jpg?RS=450&SP=1,PAUL SMITH,컬러 로고 밴딩 드로즈 3PACK,N/A,"108,000",10%,N/A,N/A,N/A,,,N/A
남성의류,언더웨어,드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/762/240827029417762.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,남성 이글 라인 로고 밴딩 드로즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,언더웨어,드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/794/240827029417794.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,남성 소프트 나일론 로고 밴딩 드로즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,언더웨어,드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/782/240827029417782.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,남성 이글 라인 로고 밴딩 롱 드로즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,언더웨어,드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/778/240827029417778.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,남성 이글 라인 로고 밴딩 드로즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,언더웨어,드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/102/240801025857102.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,[SIV 단독 판매] 남성 풀 로고 밴딩 코튼 드로즈 3PACK,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,언더웨어,드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/094/240801025857094.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,[SIV 단독 판매] 남성 이글 로고 밴딩 코튼 드로즈 3PACK,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,언더웨어,드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/086/240801025857086.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,[SIV 단독 판매] 남성 이글 로고 밴딩 코튼 드로즈 3PACK,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,언더웨어,드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/078/240801025857078.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,[SIV 단독 판매] 남성 이글 로고 밴딩 코튼 드로즈 3PACK,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,언더웨어,드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/406/240612020957406.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,남성 리피트 로고 레이온 드로즈,N/A,N/A,N/A,5,1,N/A,,,N/A
남성의류,언더웨어,드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/661/240612020944661.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI UNDERWEAR,[SIV 단독 판매] 남성 자수 로고 밴딩 드로즈 3PACK,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,언더웨어,드로즈,https://image.sivillage.com/upload/C00001/s3/goods/org/323/240717024766323.jpg?RS=450&SP=1&QT=20,PAUL SMITH,스트라이프 패턴 코튼 드로즈 3PACK,N/A,"108,000",10%,N/A,N/A,N/A,,,N/A
