top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/469/240821028548469.jpg?RS=450&SP=1,ALEXANDER WANG,[UNISEX] 리피트 로고 워시드 티셔츠,N/A,"427,500",5%,N/A,N/A,신상,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/502/240830029959502.jpg?RS=450&SP=1,RICK OWENS,[MEN] [DRKSHDW] 아치 로고 롱 슬리브 티셔츠,N/A,"551,000",5%,N/A,N/A,신상,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/487/240828029605487.jpg?RS=450&SP=1,HERNO,남성 퀼팅 크루넥 스트레치 티셔츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/553/240726025420553.jpg?RS=450&SP=1,BRUNELLO CUCINELLI,남성 자수 로고 래글런 티셔츠,N/A,"2,090,000",5%,N/A,N/A,신상,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/939/240827029409939.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 자수 로고 하프 집업 티셔츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/992/240830029970992.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 자수 로고 하프 집업 티셔츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/049/240726025421049.jpg?RS=450&SP=1&QT=20,BRUNELLO CUCINELLI,남성 롱 슬리브 코튼 폴로 셔츠,N/A,"1,092,500",5%,N/A,N/A,신상,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/394/240826029289394.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,링클 디테일 터틀넥 티셔츠,N/A,"864,500",5%,N/A,N/A,신상,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/388/240826029289388.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[REGULATION]링클 디테일 터틀넥 티셔츠,[REGULATION]링클,"864,500",5%,N/A,N/A,신상,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/382/240826029289382.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[REGULATION]링클 디테일 롱 슬리브 티셔츠,[REGULATION]링클,"826,500",5%,N/A,N/A,신상,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/815/240830029970815.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 레이어드 포켓 하프 집업 후드 풀오버,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/417/240719024893417.jpg?RS=450&SP=1&QT=20,HERNO,남성 롱 슬리브 울 티셔츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/148/240726025428148.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men Collection] 카밀로 LS 그래픽 티셔츠,Collection],"280,250",5%,N/A,N/A,신상,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/401/240716024695401.jpg?RS=450&SP=1&QT=20,SACAI,[남성]립스탑 패치 코튼 저지 티셔츠,N/A,"674,500",5%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/386/240716024695386.jpg?RS=450&SP=1&QT=20,SACAI,[남성]립스탑 패치 코튼 저지 티셔츠,N/A,"674,500",5%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/672/240725025284672.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[REGULATION]울 블렌드 버튼 클로저 탑,[REGULATION]울,"1,263,500",5%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/221/240712024484221.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] [DRKSHDW] 프론트 심 크루넥 티셔츠,N/A,"646,000",5%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/585/240715024610585.jpg?RS=450&SP=1&QT=20,BRUNELLO CUCINELLI,남성 비치 클럽 로고 헨리넥 티셔츠,N/A,"1,520,000",5%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/865/240618021754865.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 레이온 스트레치 롱 슬리브 티셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/505/240621022314505.jpg?RS=450&SP=1&QT=20,HERNO,남성 코튼 피케 폴로 셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/377/240621022317377.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] 롱 슬리브 코튼 티셔츠,N/A,"503,500",5%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/690/240725025307690.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,남성 로고 패치 하프 집업 풀오버,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/233/240712024484233.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] [DRKSHDW] 프론트 심 크루넥 티셔츠,N/A,"646,000",5%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/510/240627022883510.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] 롱 슬리브 크루넥 티셔츠,N/A,"503,500",5%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/112/240628023011112.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 자수 로고 스트링 헴 티셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/611/240530018949611.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,[UNISEX] 로고 프린트 워싱 크루넥 티셔츠,N/A,"427,500",5%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/498/240621022314498.jpg?RS=450&SP=1&QT=20,HERNO,남성 코튼 피케 폴로 셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/389/240621022317389.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] 롱 슬리브 크루넥 티셔츠,N/A,"807,500",5%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/684/240725025307684.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,남성 로고 패치 하프 집업 풀오버,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/797/240730025702797.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] 메탈 스터드 터틀넥 티셔츠,N/A,"646,000",5%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/383/240621022317383.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] 롱 슬리브 크루넥 티셔츠,N/A,"807,500",5%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/473/240612020944473.jpg?RS=450&SP=1&QT=20,PAUL SMITH,남성 보트넥 스트라이프 티셔츠,N/A,"450,000",10%,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/633/240619022005633.jpg?RS=450&SP=1&QT=20,HERNO,남성 울 스트레치 롱 슬리브 티셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/313/240829029790313.jpg?RS=450&SP=1&QT=20,VUORI,[남성] 와플 크루,N/A,"113,400",19%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png","라이트베이지,네이비",N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/267/240812027284267.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,[MEN] 스트라이프 롱슬리브 티셔츠,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_02_%EC%95%84%EC%9D%B4%EB%B3%B4%EB%A6%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","아이보리,블랙",N/A
남성의류,티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/730/240730025679730.jpg?RS=450&SP=1&QT=20,VUORI,[남성] 긴팔 테라 런 티,N/A,"129,600",19%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_01_%EB%B8%94%EB%A3%A8.png","블랙,블루",N/A
