top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,가구,거실 가구,좌식/티테이블,https://image.sivillage.com/upload/C00001/goods/org/761/211117001761761.jpg?RS=450&SP=1,LIAIGRE,GAUGUIN COFFEE TABLE,GAUGUIN,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,거실 가구,좌식/티테이블,https://image.sivillage.com/upload/C00001/goods/org/764/211117001761764.jpg?RS=450&SP=1,LIAIGRE,PRASLIN SIDE TABLE,PRASLIN,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,거실 가구,좌식/티테이블,https://image.sivillage.com/upload/C00001/goods/org/499/211008001523499.jpg?RS=450&SP=1,LIAIGRE,SALIN SIDE TABLE,SALIN,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,거실 가구,좌식/티테이블,https://image.sivillage.com/upload/C00001/goods/org/493/230907006176493.png?RS=450&SP=1,HERMANMILLER,Eames Walnut Stool / 412,Walnut,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,거실 가구,좌식/티테이블,https://image.sivillage.com/upload/C00001/goods/org/009/220708002774009.jpg?RS=450&SP=1&QT=20,CASAMIA,헬싱키)2인식탁세트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,거실 가구,좌식/티테이블,https://image.sivillage.com/upload/C00001/s3/goods/org/601/240619021976601.png?RS=450&SP=1&QT=20,EASTERN EDITION,2-Way 사이드 테이블,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,거실 가구,좌식/티테이블,https://image.sivillage.com/upload/C00001/s3/goods/org/820/240619022010820.png?RS=450&SP=1&QT=20,EASTERN EDITION,더함 찻상,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,거실 가구,좌식/티테이블,https://image.sivillage.com/upload/C00001/s3/goods/org/556/240527018522556.jpg?RS=450&SP=1&QT=20,CASAMIA,몽스 사이드테이블_브라운,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,거실 가구,좌식/티테이블,https://image.sivillage.com/upload/C00001/goods/org/935/230907006228935.jpg?RS=450&SP=1&QT=20,KNOLL,[Knoll]Florence Knoll Low Table 900 (Nero Marquina),[Knoll]Florence,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040011_210512144819.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png","블랙 마블,화이트,화이트",N/A
라이프,가구,거실 가구,좌식/티테이블,https://image.sivillage.com/upload/C00001/s3/goods/org/786/240219009070786.jpeg?RS=450&SP=1&QT=20,STEELDBELLUCA,"Clover Stool Peanut Shape (W)651mm, (D)1037mm, (H)400mm",Clover,N/A,N/A,N/A,N/A,N/A,,,N/A
