top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/goods/org/492/211008001523492.jpg?RS=450&SP=1,LIAIGRE,MANDARIN LOUNGE CHAIR,LOUNGE,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/goods/org/968/210616001275968.jpg?RS=450&SP=1,CHAIR GALLERY,Engelbrechts 제트-다운 / Z-Down,Engelbrechts,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/goods/org/901/230907006252901.jpg?RS=450&SP=1,CHAIR GALLERY,Engelbrechts 케비 2051_오크/크롬 / Kevi 2051_Oak/Chrome,Engelbrechts,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/goods/org/695/230907006216695.jpg?RS=450&SP=1,CHAIR GALLERY,vitra 팁톤_RE 다크그레이,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/goods/org/036/210617001276036.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Engelbrechts 조인트 / JOINT,Engelbrechts,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/s3/goods/org/628/240325011930628.jpeg?RS=450&SP=1&QT=20,CHAIR GALLERY,Anonima castelli 플로나_투명,castelli,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/s3/goods/org/615/240325011930615.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Anonima castelli 플로나_블랙(투명),castelli,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/goods/org/779/230907006312779.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,artek 알토 테이블 91_화이트,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png","화이트,화이트",N/A
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/goods/org/422/230907006282422.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,"vitra 스텐다드 체어_내추럴 오크, 에크루",N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000329.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_100041_211026145247.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_110039_210514154509.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000455.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000553.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_110039_210514154509.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/goods/color/0000553.jpg","라이트 베이지,블랙,루즈 아쉬 85,블랙,65 베르 이집시앙,블루,내츄럴 블랙,다크 브루넷,블루,라이트 베이지,다크 브루넷",N/A
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/goods/org/925/230907006284925.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,artek 체어 66_화이트,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/0000455.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png","화이트,내츄럴 블랙,화이트",N/A
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/s3/goods/org/901/240315011062901.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Anonima castelli DSC106_옐로우,castelli,N/A,N/A,5,1,N/A,,,N/A
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/goods/org/958/210616001275958.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Engelbrechts 엑스-시트 / X-sit,Engelbrechts,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/goods/org/175/230907006237175.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,"vitra 모카_다크 오크, 크롬",N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/goods/org/963/211129001832963.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,vitra 그랑 르뽀 & 오토만_초콜렛,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/0000398.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_100042_211026145845.jpg","브론즈,91 베르 에코세",N/A
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/s3/goods/org/813/240315011062813.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Anonima castelli DSC106_그린,castelli,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/s3/goods/org/949/240315011062949.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Anonima castelli DSC106_오렌지,castelli,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/goods/org/750/230907006305750.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Engelbrechts 에퍼타이트 / APPETIT,Engelbrechts,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,서재 가구,책장,https://image.sivillage.com/upload/C00001/goods/org/039/230907006170039.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,vitra 팁톤_화이트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
