top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/499/211008001523499.jpg?RS=450&SP=1,LIAIGRE,SALIN SIDE TABLE,SALIN,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/968/210616001275968.jpg?RS=450&SP=1,CHAIR GALLERY,Engelbrechts 제트-다운 / Z-Down,Engelbrechts,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/901/230907006252901.jpg?RS=450&SP=1,CHAIR GALLERY,Engelbrechts 케비 2051_오크/크롬 / Kevi 2051_Oak/Chrome,Engelbrechts,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/327/230621005490327.jpg?RS=450&SP=1,WERKWAARDIG,사이드피그 샌드 67x45x45 (예약주문),N/A,N/A,N/A,1,1,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/342/230621005490342.jpg?RS=450&SP=1&QT=20,WERKWAARDIG,사이드피그 화이트 67x45x45 (예약주문),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/036/210617001276036.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Engelbrechts 조인트 / JOINT,Engelbrechts,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/s3/goods/org/628/240325011930628.jpeg?RS=450&SP=1&QT=20,CHAIR GALLERY,Anonima castelli 플로나_투명,castelli,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/s3/goods/org/615/240325011930615.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Anonima castelli 플로나_블랙(투명),castelli,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/705/230907006178705.jpg?RS=450&SP=1&QT=20,KNOLL,[Knoll] Saarinen Round side Table 41cm (Black/Verde Alpi),[Knoll],N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_100042_211026145845.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png","91 베르 에코세,블랙,화이트,화이트,화이트",N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/935/230907006228935.jpg?RS=450&SP=1&QT=20,KNOLL,[Knoll]Florence Knoll Low Table 900 (Nero Marquina),[Knoll]Florence,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040011_210512144819.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png","블랙 마블,화이트,화이트",N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/555/230627005543555.jpg?RS=450&SP=1&QT=20,SELETTI,TP나이트스탠드 립스틱40x36x55H,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/558/230907006166558.jpg?RS=450&SP=1&QT=20,KNOLL,[Knoll] Laccio Side Table (square),[Knoll],N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/483/211014001541483.jpg?RS=450&SP=1&QT=20,PLAYMOBIL,플레이모빌 대형 병원(70190),N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/s3/goods/org/901/240315011062901.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Anonima castelli DSC106_옐로우,castelli,N/A,N/A,5,1,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/958/210616001275958.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Engelbrechts 엑스-시트 / X-sit,Engelbrechts,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/340/230621005490340.jpg?RS=450&SP=1&QT=20,WERKWAARDIG,사이드피그 씨그린 67x45x45 WFO (예약주문),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/963/211129001832963.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,vitra 그랑 르뽀 & 오토만_초콜렛,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/0000398.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_100042_211026145845.jpg","브론즈,91 베르 에코세",N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/s3/goods/org/813/240315011062813.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Anonima castelli DSC106_그린,castelli,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/s3/goods/org/949/240315011062949.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Anonima castelli DSC106_오렌지,castelli,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/405/230907006310405.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Engelbrechts 플라토 / Plateau,Engelbrechts,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/194/230628005547194.png?RS=450&SP=1&QT=20,HERMANMILLER,HermanMiller x HAY Eames Low Table_Mint Green/Powder Yellow,HermanMiller,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/988/210616001275988.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Engelbrechts 쁘띠 플라토 / Petit Plateau,Engelbrechts,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/499/230907006248499.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,Engelbrechts 케비 2051_오크/블랙 / Kevi 2051_Oak/Black,Engelbrechts,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/326/230621005490326.jpg?RS=450&SP=1&QT=20,WERKWAARDIG,사이드피그 네이비블루 67x45x45 WFO (예약주문),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/554/230627005543554.jpg?RS=450&SP=1&QT=20,SELETTI,TP나이트스탠드 씨걸40x36x55H,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/086/230907006171086.jpg?RS=450&SP=1&QT=20,CHAIR GALLERY,artek 알토 테이블 81B_블랙 리놀륨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/328/230621005490328.jpg?RS=450&SP=1&QT=20,WERKWAARDIG,사이드피그 스톤 67x45x45 (예약주문),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,가구,키즈/소형 가구,스몰 테이블,https://image.sivillage.com/upload/C00001/goods/org/339/230621005490339.jpg?RS=450&SP=1&QT=20,WERKWAARDIG,사이드피그 오션블랙 67x45x45 WFO (예약주문),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
