top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,디지털/가전,음향/영상가전,스피커,https://image.sivillage.com/upload/C00001/goods/org/833/210303001099833.jpg?RS=450&SP=1,TIVOLI AUDIO,티볼리 오디오 블루투스 탑재 아날로그 테이블 미니오디오 Model ONE BT,Model,N/A,N/A,5,1,N/A,,,N/A
라이프,디지털/가전,음향/영상가전,스피커,https://image.sivillage.com/upload/C00001/s3/goods/org/549/240813027514549.jpg?RS=450&SP=1,JBL,JBL L100 CLASSIC MKII JBL L100클래식 MK2,JBL,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,음향/영상가전,스피커,https://image.sivillage.com/upload/C00001/s3/goods/org/053/240813027515053.jpg?RS=450&SP=1,JBL,레벨(REVEL) PerformaBe F228Be 스피커,레벨(REVEL),N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,음향/영상가전,스피커,https://image.sivillage.com/upload/C00001/s3/goods/org/392/240813027515392.jpg?RS=450&SP=1,JBL,레벨(REVEL) PerformaBe F328Be 플래그십 스피커,레벨(REVEL),N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,음향/영상가전,스피커,https://image.sivillage.com/upload/C00001/s3/goods/org/636/240813027515636.jpg?RS=450&SP=1&QT=20,JBL,레벨(REVEL) PerformaBe C426Be 센터스피커,레벨(REVEL),N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,음향/영상가전,스피커,https://image.sivillage.com/upload/C00001/s3/goods/org/859/240813027515859.jpg?RS=450&SP=1&QT=20,JBL,JBL HDI 3800,JBL,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,음향/영상가전,스피커,https://image.sivillage.com/upload/C00001/s3/goods/org/917/240813027515917.jpg?RS=450&SP=1&QT=20,JBL,JBL Synthesis K2 S9900 Walnut,JBL,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,음향/영상가전,스피커,https://image.sivillage.com/upload/C00001/s3/goods/org/216/240814027640216.jpg?RS=450&SP=1&QT=20,JBL,JBL HDI 4500,JBL,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,음향/영상가전,스피커,https://image.sivillage.com/upload/C00001/s3/goods/org/813/240813027508813.jpg?RS=450&SP=1&QT=20,JBL,JBL L52Classic 블랙에디션 피아노 마감,JBL,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,음향/영상가전,스피커,https://image.sivillage.com/upload/C00001/s3/goods/org/992/240813027515992.jpg?RS=450&SP=1&QT=20,JBL,JBL 4305P 화이트 에디션/JBL 4305P White Edition,JBL,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,음향/영상가전,스피커,https://image.sivillage.com/upload/C00001/s3/goods/org/019/240813027516019.jpg?RS=450&SP=1&QT=20,JBL,JBL 4329P 화이트 에디션 /JBL 4329P White Eidition,JBL,N/A,N/A,N/A,N/A,N/A,,,N/A
