top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,디지털/가전,이미용가전,고데기/매직기,https://image.sivillage.com/upload/C00001/goods/org/220/230616005454220.jpg?RS=450&SP=1,SHARKNINJA,샤크 플렉스타일 풀패키지 멀티헤어스타일러 HD440 (드라이기/고데기),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,이미용가전,고데기/매직기,https://image.sivillage.com/upload/C00001/s3/goods/org/849/240617021658849.jpg?RS=450&SP=1,PHILIPS,PHILIPS 필립스 에센셜 케어 스트레이트너 BHS377/09,PHILIPS,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,이미용가전,고데기/매직기,https://image.sivillage.com/upload/C00001/s3/goods/org/664/240614021157664.jpg?RS=450&SP=1,PHILIPS,PHILIPS 필립스 3000시리즈 4IN1 에어스타일러 BHA310/09,PHILIPS,"63,900",19%,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,이미용가전,고데기/매직기,https://image.sivillage.com/upload/C00001/s3/goods/org/923/240617021658923.jpg?RS=450&SP=1,PHILIPS,PHILIPS 필립스 5000시리즈 2IN1 고데기 BHS510/00,PHILIPS,"63,900",19%,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,이미용가전,고데기/매직기,https://image.sivillage.com/upload/C00001/s3/goods/org/501/240617021601501.jpg?RS=450&SP=1&QT=20,PHILIPS,PHILIPS 필립스 5000 시리즈 써모 쉴드 헤어 드라이기 BHD500/09,PHILIPS,"59,000",26%,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,이미용가전,고데기/매직기,https://image.sivillage.com/upload/C00001/s3/goods/org/916/240617021658916.jpg?RS=450&SP=1&QT=20,PHILIPS,PHILIPS 필립스 케라샤인 어드밴스드 고데기 BHS378/50,PHILIPS,"53,250",25%,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,이미용가전,고데기/매직기,https://image.sivillage.com/upload/C00001/goods/org/190/230629005566190.JPG?RS=450&SP=1,BOMANN,[보만] USB 충전식 매직기 HC2620P,N/A,"49,900",16%,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,이미용가전,고데기/매직기,https://image.sivillage.com/upload/C00001/s3/goods/org/528/240617021657528.jpg?RS=450&SP=1,PHILIPS,PHILIPS 필립스 3000 시리즈 헤어 스타일링 세트 BHP398/09,PHILIPS,"52,700",36%,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,이미용가전,고데기/매직기,https://image.sivillage.com/upload/C00001/s3/goods/org/629/240617021658629.jpg?RS=450&SP=1,PHILIPS,PHILIPS 필립스 에센셜 케어 스트레이트너 BHS375/09,PHILIPS,"39,900",21%,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,이미용가전,고데기/매직기,https://image.sivillage.com/upload/C00001/s3/goods/org/248/240614021164248.jpg?RS=450&SP=1,PHILIPS,PHILIPS 필립스 글램 케어 봉고데기 BHB869/09,PHILIPS,"49,000",35%,N/A,N/A,N/A,,,N/A
