top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/777/240206008816777.jpg?RS=450&SP=1,JAJU,정밀하게 측정하는 주방저울,N/A,N/A,N/A,4.7,62,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/668/240826029287668.jpg?RS=450&SP=1,SMEG,[스메그] 냉장고 FAB30 5버전,N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/376/240823028904376.jpg?RS=450&SP=1,SMEG,[스메그] 냉장고 FAB5 5버전,N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/225/240826029288225.jpg?RS=450&SP=1,SMEG,[스메그] 콜로니얼 냉장고 FA8005,N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/125/240826029288125.jpg?RS=450&SP=1&QT=20,SMEG,[스메그] 냉장고 FAB32 5버전,N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/989/240826029286989.jpg?RS=450&SP=1&QT=20,SMEG,[스메그] 냉장고 FAB28 5버전,N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/755/240215009003755.jpg?RS=450&SP=1&QT=20,LG,[LG전자 공식인증점] LG 오브제컬렉션 모던엣지 냉장고 Q342GPC133S,[LG전자,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/566/240327012190566.jpg?RS=450&SP=1&QT=20,SAMSUNG,삼성전자 비스포크 4도어 RF85DB90B1AP 1등급 냉장고 메탈도어 875L 에너지절감 김치보관 7단계 변온 국내생산 공식인증점,875L,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_15_210114025641.png,https://image.sivillage.com/upload/C00001/goods/color/color_15_210114025641.png","기타,기타",N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/427/240715024604427.jpg?RS=450&SP=1&QT=20,LG,[LG전자 공식인증점] LG 디오스 오브제컬렉션 냉장고 M623GPB042S,[LG전자,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/393/240801025856393.jpg?RS=450&SP=1&QT=20,SAMSUNG,삼성전자 양문형 냉장고 RS84DG5022B4 메탈커버,RS84DG5022B4,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/083/240207008846083.jpg?RS=450&SP=1&QT=20,LG,[LG전자 공식인증점] LG 오브제컬렉션 모던엣지 냉장고 Q342GBB133S,[LG전자,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/goods/org/613/230228004316613.jpg?RS=450&SP=1&QT=20,DUALIT,영국 프리미엄 듀얼릿 클래식 4구 겉바속촉 프리미엄 토스터기 [폴리쉬드],N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/717/240411013413717.jpg?RS=450&SP=1&QT=20,LG,[LG전자 공식인증점] LG 일반냉장고 B103S14,[LG전자,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/090/240502015353090.jpg?RS=450&SP=1&QT=20,LG,[LG전자 공식인증점] LG 디오스 오브제컬렉션 김치톡톡 Z333GPB162S,[LG전자,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/712/240327012184712.jpg?RS=450&SP=1&QT=20,SAMSUNG,삼성전자 양문형 냉장고 RS84B5041WW 846리터 푸드쇼케이스 스노우화이트 공식인증점,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/725/240328012300725.jpg?RS=450&SP=1&QT=20,SAMSUNG,삼성전자 비스포크 김치플러스 김치냉장고 RQ49C90X24W 490리터 4도어 매트멜로우화이트 공식인증점,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/768/240715024603768.jpg?RS=450&SP=1&QT=20,LG,[LG전자 공식인증점] LG 일반냉장고 B103S14,[LG전자,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/543/240715024603543.jpg?RS=450&SP=1&QT=20,LG,[LG전자 공식인증점] LG 냉동고 A202W,[LG전자,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/663/240502015355663.jpg?RS=450&SP=1&QT=20,LG,[LG전자 공식인증점] LG 디오스 오브제컬렉션 냉장고 M874GTB031S,[LG전자,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/236/240502015350236.jpg?RS=450&SP=1&QT=20,LG,[LG전자 공식인증점] LG 디오스 오브제컬렉션 김치톡톡 Z333SGS162S,[LG전자,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/834/240215009003834.jpg?RS=450&SP=1&QT=20,LG,[LG전자 공식인증점] LG 오브제컬렉션 모던엣지 냉장고 Q342GCC133S,[LG전자,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/194/240207008844194.jpg?RS=450&SP=1&QT=20,LG,[LG전자 공식인증점] LG 오브제컬렉션 일반 냉장고 D332MCT34,[LG전자,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/363/240205008778363.jpg?RS=450&SP=1&QT=20,LG,[LG전자 공식인증점] LG 일반냉장고 B332S34,[LG전자,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/601/240126008414601.jpg?RS=450&SP=1&QT=20,LG,[LG전자 공식인증점] LG 힐링미 오브제컬렉션 안마의자 MH21BB,[LG전자,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/397/240126008413397.jpg?RS=450&SP=1&QT=20,LG,[LG전자 공식인증점] LG 홈브루 오브제컬렉션 BBC53NBB,[LG전자,N/A,N/A,5,1,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/goods/org/254/231013006591254.jpg?RS=450&SP=1&QT=20,LG,[LG전자 공식인증점] LG 디오스 오브제컬렉션 냉장고 T873MEE012,[LG전자,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/goods/org/496/230120003909496.jpg?RS=450&SP=1&QT=20,BOMANN,[보만] 44L 레트로 클래식 미니냉장고 KS2040(레드),44L,"529,000",7%,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/296/240407013180296.jpg?RS=450&SP=1&QT=20,SAMSUNG,삼성전자 비스포크 김치냉장고 490L 4도어 1등급 RQ49C94Y1AP 색상선택,490L,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,냉장고/와인셀러,https://image.sivillage.com/upload/C00001/s3/goods/org/406/240126008415406.jpg?RS=450&SP=1&QT=20,LG,[LG전자 공식인증점] LG 틔운 미니 L023L1,[LG전자,N/A,N/A,N/A,N/A,N/A,,,N/A
