top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,디지털/가전,주방가전,토스터/와플메이커,https://image.sivillage.com/upload/C00001/s3/goods/org/423/240826029303423.jpg?RS=450&SP=1,SMEG,[스메그] 4구 토스터 TSF03,N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
라이프,디지털/가전,주방가전,토스터/와플메이커,https://image.sivillage.com/upload/C00001/s3/goods/org/297/240826029303297.jpg?RS=450&SP=1,SMEG,[스메그] 토스터 TSF01,N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
라이프,디지털/가전,주방가전,토스터/와플메이커,https://image.sivillage.com/upload/C00001/goods/org/633/230228004316633.jpg?RS=450&SP=1,DUALIT,영국 프리미엄 듀얼릿 클래식 2구 겉바속촉 프리미엄 토스터기 [폴리쉬드],N/A,N/A,N/A,5,1,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/19_01_%EB%A9%80%ED%8B%B0.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/19_01_%EB%A9%80%ED%8B%B0.png","멀티,멀티",N/A
라이프,디지털/가전,주방가전,토스터/와플메이커,https://image.sivillage.com/upload/C00001/s3/goods/org/753/240222009199753.jpg?RS=450&SP=1,DUALIT,영국 프리미엄 듀얼릿 라이트 겉바속촉 프리미엄 토스터기,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,토스터/와플메이커,https://image.sivillage.com/upload/C00001/s3/goods/org/715/240712024484715.jpg?RS=450&SP=1&QT=20,BALMUDA,발뮤다 토스터 리베이커 블랙,N/A,"259,000",3%,5,1,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png","블랙,화이트",N/A
라이프,디지털/가전,주방가전,토스터/와플메이커,https://image.sivillage.com/upload/C00001/s3/goods/org/064/240306009840064.jpg?RS=450&SP=1&QT=20,BALMUDA,발뮤다 더 토스터 프로 블랙 K11B [살라만더트레이+5cc 골드 마그넷컵 증정],N/A,N/A,N/A,5,5,N/A,"https://image.sivillage.com/upload/C00001,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png",",화이트",N/A
라이프,디지털/가전,주방가전,토스터/와플메이커,https://image.sivillage.com/upload/C00001/goods/org/850/230118003890850.jpg?RS=450&SP=1&QT=20,BALMUDA,발뮤다 더 토스터,N/A,"299,000",11%,5,83,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","화이트,베이지,블랙",N/A
라이프,디지털/가전,주방가전,토스터/와플메이커,https://image.sivillage.com/upload/C00001/s3/goods/org/583/240322011714583.JPG?RS=450&SP=1&QT=20,BOMANN,[보만] 2종 플레이트 판교체형 와플메이커 아이보리 RM1261I,N/A,"52,900",10%,5,1,N/A,,,N/A
라이프,디지털/가전,주방가전,토스터/와플메이커,https://image.sivillage.com/upload/C00001/goods/org/608/230228004316608.jpg?RS=450&SP=1,DUALIT,영국 프리미엄 듀얼릿 클래식 케이지_토스터기 악세서리,N/A,N/A,N/A,5,2,N/A,,,N/A
라이프,디지털/가전,주방가전,토스터/와플메이커,https://image.sivillage.com/upload/C00001/goods/org/472/230629005566472.JPG?RS=450&SP=1,BOMANN,[보만] 코맘스 1구 와플메이커 WM1169G,WM1169G,"18,900",36%,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,주방가전,토스터/와플메이커,https://image.sivillage.com/upload/C00001/goods/org/568/230207004071568.jpg?RS=450&SP=1,ZAELEC,자일렉 스위트홈 와플메이커 ZL-216N,ZL-216N,"39,900",42%,5,3,N/A,,,N/A
라이프,디지털/가전,주방가전,토스터/와플메이커,https://image.sivillage.com/upload/C00001/s3/goods/org/770/240118008215770.jpg?RS=450&SP=1,BOMANN,[보만] 2구 토스터기 TA1140,N/A,"34,900",41%,5,1,N/A,,,N/A
