top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,리빙,꽃/식물,생화,https://image.sivillage.com/upload/C00001/goods/org/259/230717005736259.jpg?RS=450&SP=1,KYUKMUL GONGBOO,[KMGB] 축하난 / 호접난,[KMGB],"225,000",10%,N/A,N/A,N/A,,,N/A
라이프,리빙,꽃/식물,생화,https://image.sivillage.com/upload/C00001/s3/goods/org/457/240705023847457.jpg?RS=450&SP=1,KYUKMUL GONGBOO,[KMGB] 시그니처 로즈백 (파스텔),[KMGB],"225,000",10%,N/A,N/A,N/A,,,N/A
라이프,리빙,꽃/식물,생화,https://image.sivillage.com/upload/C00001/goods/org/075/230717005736075.jpg?RS=450&SP=1,KYUKMUL GONGBOO,[KMGB] 시그니처 백 (오렌지),[KMGB],"315,000",10%,N/A,N/A,N/A,,,N/A
라이프,리빙,꽃/식물,생화,https://image.sivillage.com/upload/C00001/goods/org/919/230717005735919.jpg?RS=450&SP=1,KYUKMUL GONGBOO,[KMGB] 시그니처 백 (파스텔),[KMGB],"270,000",10%,N/A,N/A,N/A,,,N/A
라이프,리빙,꽃/식물,생화,https://image.sivillage.com/upload/C00001/goods/org/758/230717005735758.jpg?RS=450&SP=1&QT=20,KYUKMUL GONGBOO,[KMGB] 시그니처 백 (옐로우),[KMGB],"225,000",10%,N/A,N/A,N/A,,,N/A
라이프,리빙,꽃/식물,생화,https://image.sivillage.com/upload/C00001/s3/goods/org/386/240420014342386.jpg?RS=450&SP=1&QT=20,KYUKMUL GONGBOO,[KMGB] 동양난,[KMGB],"225,000",10%,N/A,N/A,N/A,,,N/A
라이프,리빙,꽃/식물,생화,https://image.sivillage.com/upload/C00001/goods/org/438/230717005733438.jpg?RS=450&SP=1&QT=20,KYUKMUL GONGBOO,[KMGB] 꽃다발 (핑크),[KMGB],"135,000",10%,N/A,N/A,N/A,,,N/A
라이프,리빙,꽃/식물,생화,https://image.sivillage.com/upload/C00001/s3/goods/org/127/240705023847127.jpg?RS=450&SP=1&QT=20,KYUKMUL GONGBOO,[KMGB] 화이트 꽃다발,[KMGB],"180,000",10%,N/A,N/A,N/A,,,N/A
라이프,리빙,꽃/식물,생화,https://image.sivillage.com/upload/C00001/goods/org/464/230717005734464.jpg?RS=450&SP=1&QT=20,KYUKMUL GONGBOO,[KMGB] 꽃다발 (레드와인),[KMGB],"180,000",10%,N/A,N/A,N/A,,,N/A
라이프,리빙,꽃/식물,생화,https://image.sivillage.com/upload/C00001/s3/goods/org/442/240705023847442.jpg?RS=450&SP=1&QT=20,KYUKMUL GONGBOO,[KMGB] 화이트 호접난,[KMGB],"198,000",10%,N/A,N/A,N/A,,,N/A
라이프,리빙,꽃/식물,생화,https://image.sivillage.com/upload/C00001/s3/goods/org/389/240420014342389.jpg?RS=450&SP=1&QT=20,KYUKMUL GONGBOO,[KMGB] 카네이션 시그니처 백,[KMGB],"137,700",10%,5,1,N/A,,,N/A
라이프,리빙,꽃/식물,생화,https://image.sivillage.com/upload/C00001/s3/goods/org/957/240402012705957.png?RS=450&SP=1&QT=20,IMAGERY CODE,[이미저리 코드] 메이 릴리,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,꽃/식물,생화,https://image.sivillage.com/upload/C00001/s3/goods/org/382/240420014342382.jpg?RS=450&SP=1,KYUKMUL GONGBOO,[KMGB] 감사박스,[KMGB],"58,500",10%,N/A,N/A,N/A,,,N/A
라이프,리빙,꽃/식물,생화,https://image.sivillage.com/upload/C00001/s3/goods/org/384/240420014342384.jpg?RS=450&SP=1,KYUKMUL GONGBOO,[KMGB] SPRING 스머지스틱 박스,[KMGB],"88,200",10%,5,1,N/A,,,N/A
라이프,리빙,꽃/식물,생화,https://image.sivillage.com/upload/C00001/s3/goods/org/385/240420014342385.jpg?RS=450&SP=1,KYUKMUL GONGBOO,[KMGB] 천연 인센스 박스,[KMGB],"43,740",19%,5,2,N/A,,,세일
