top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/956/240223009299956.jpg?RS=450&SP=1,LILA LOVES IT,[릴라러브스잇] 브러쉬 롱헤어(BRUSH LONG HAIR),LONG,N/A,N/A,5,1,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/796/240202008683796.jpg?RS=450&SP=1,LILA LOVES IT,[릴라러브스잇] 실키앤샤인 컨디셔너(SILKY & SHINE),컨디셔너(SILKY,N/A,N/A,5,3,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/081/240208008874081.jpg?RS=450&SP=1,LILA LOVES IT,[릴라러브스잇] 티크 트위저 (TICK TWEEZER),N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/494/240202008682494.jpg?RS=450&SP=1,LILA LOVES IT,[릴라러브스잇] 샴푸 샤인앤콤브(SHAMPOO SHINE & COMB),N/A,N/A,N/A,5,3,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/999/240131008610999.jpg?RS=450&SP=1&QT=20,LILA LOVES IT,[릴라러브스잇] 마이크로 플리스 덴탈케어 칫솔(NEW MICRO FLEECE DENTAL CARE),FLEECE,N/A,N/A,4.8,6,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/goods/org/399/220530002575399.jpg?RS=450&SP=1&QT=20,BETTERS,그루밍잼 포포 타올,N/A,N/A,N/A,4.5,2,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/795/240202008683795.jpg?RS=450&SP=1&QT=20,LILA LOVES IT,[릴라러브스잇] 샴푸 센서티브(SHAMPOO SENSITIVE),N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/175/240201008656175.jpg?RS=450&SP=1&QT=20,LILA LOVES IT,[릴라러브스잇] 아이케어(EYE CARE),N/A,N/A,N/A,4.3,3,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/goods/org/425/220714002801425.jpg?RS=450&SP=1&QT=20,MONCHOUCHOU,[MONCHOUCHOU] 컨츄리 독 파우치,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/764/240725025297764.jpg?RS=450&SP=1&QT=20,LILA LOVES IT,[릴라러브스잇] 클로 시저(발톱 가위),N/A,N/A,N/A,5,4,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/goods/org/404/220530002575404.jpg?RS=450&SP=1&QT=20,BETTERS,그루밍잼 퓨어 테라피 덴탈 치약 120ml,120ml,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/797/240202008683797.jpg?RS=450&SP=1&QT=20,LILA LOVES IT,[릴라러브스잇] 안티탱글링 스프레이(ANTI TANGLING SPRAY),TANGLING,N/A,N/A,5,4,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/116/240202008703116.jpg?RS=450&SP=1&QT=20,LILA LOVES IT,[릴라러브스잇] 포케어(PAW CARE),N/A,N/A,N/A,5,3,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/799/240202008683799.jpg?RS=450&SP=1&QT=20,LILA LOVES IT,[릴라러브스잇] 소프트 카밍 브러쉬 (SOFT CALMING BRUSH),CALMING,N/A,N/A,5,2,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/484/240229009595484.jpg?RS=450&SP=1&QT=20,LILA LOVES IT,[릴라러브스잇] 브러쉬 숏헤어(BRUSH SHORT HAIR),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/202/240202008700202.jpg?RS=450&SP=1&QT=20,LILA LOVES IT,[릴라러브스잇] 워셔블 뱀부 클리니즈세트(WASHABLE BAMBOO 4 CLEANIES SET),클리니즈세트(WASHABLE,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/185/240201008657185.jpg?RS=450&SP=1&QT=20,LILA LOVES IT,[릴라러브스잇] 이어클렌저(EAR CLEANSER),CLEANSER),N/A,N/A,5,2,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/391/240131008609391.jpg?RS=450&SP=1&QT=20,LILA LOVES IT,[릴라러브스잇] 내추럴 코튼 케어 시트 100매 (NATURAL COTTON CARE SHEET),(NATURAL,N/A,N/A,5,2,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/s3/goods/org/594/240130008562594.jpg?RS=450&SP=1&QT=20,LILA LOVES IT,[릴라러브스잇] 릴라덴트 덴탈케어 미네랄 치약(LILADENT DENTAL-CARE MINERAL),치약(LILADENT,N/A,N/A,4.8,5,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/goods/org/457/230419004747457.jpg?RS=450&SP=1&QT=20,SWIFFY,스위피 테린 체험 세트 (5개),N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/goods/org/547/231123007136547.jpg?RS=450&SP=1&QT=20,MONCHOUCHOU,[MONCHOUCHOU] MCC 클립 세트,N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/goods/org/462/231123007136462.jpg?RS=450&SP=1&QT=20,MONCHOUCHOU,[MONCHOUCHOU] 덤 베어 라이트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/goods/org/366/231025006664366.jpg?RS=450&SP=1&QT=20,MONCHOUCHOU,[MONCHOUCHOU] 덤 베어 팝,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/goods/org/353/220719002821353.jpg?RS=450&SP=1&QT=20,MONCHOUCHOU,[MONCHOUCHOU] 컨츄리 독 고무 키링 블랙 독,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/goods/org/311/220719002821311.jpg?RS=450&SP=1&QT=20,MONCHOUCHOU,[MONCHOUCHOU] 컨츄리 독 고무 키링 베이지 독,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/goods/org/828/230907006320828.jpg?RS=450&SP=1&QT=20,BETTERS,그루밍잼 퓨어 테라피 이어 클리너 125ml,125ml,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/goods/org/401/220530002575401.jpg?RS=450&SP=1,BETTERS,그루밍잼 드라잉 타올,N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/goods/org/722/220720002826722.jpg?RS=450&SP=1,FOREVERYBARI,[foreverybari 포에브리바리] 퍼피 풉백 홀더 키링 (브라운),N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_110021_210114010651.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/06_01_%EC%98%90%EB%A1%9C%EC%9A%B0.png","브라운,옐로우",N/A
라이프,반려동물,미용/기타,https://image.sivillage.com/upload/C00001/goods/org/415/220530002575415.jpg?RS=450&SP=1,BETTERS,베럴즈 누기프레시 500ml (냄새 제거제),500ml,"9,900",61%,5,3,N/A,,,N/A
