top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,아트,아트 굿즈,https://image.sivillage.com/upload/C00001/s3/goods/org/042/240124008375042.jpg?RS=450&SP=1,PRINT BAKERY,"허명욱, 타원 트레이 L - 11 color",L,N/A,N/A,5,3,N/A,,,N/A
라이프,아트,아트 굿즈,https://image.sivillage.com/upload/C00001/s3/goods/org/829/240723025148829.jpg?RS=450&SP=1,KINKIROBOT,[KINKI ROBOT] 400%+100% BEARBRICK HAT AND PONCHO MICKEY (2309003),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,아트,아트 굿즈,https://image.sivillage.com/upload/C00001/goods/org/538/220411002287538.jpg?RS=450&SP=1,PINZLE,"[12 리미티드 에디션] 세브린 아수, Reopening(A1 Size)",Reopening(A1,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,아트,아트 굿즈,https://image.sivillage.com/upload/C00001/goods/org/865/211019001557865.jpg?RS=450&SP=1,KINKIROBOT,[KINKI ROBOT] 400%+100%BEARBRICK THE BEATLES 'ANTHOLOGY' (2106006),BEATLES,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,아트,아트 굿즈,https://image.sivillage.com/upload/C00001/goods/org/341/230522005195341.jpg?RS=450&SP=1&QT=20,KINKIROBOT,1000%BEARBRICK ANDY WARHOL `S ELVIS PRESLEY (2104028),WARHOL,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,아트,아트 굿즈,https://image.sivillage.com/upload/C00001/goods/org/797/231116007065797.jpg?RS=450&SP=1&QT=20,KINKIROBOT,1000% BEARBRICK PINK PANTHER CHROME Ver.(2212004),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,아트,아트 굿즈,https://image.sivillage.com/upload/C00001/s3/goods/org/465/240723025147465.jpg?RS=450&SP=1&QT=20,KINKIROBOT,[KINKI ROBOT] 400% BEARBRICK mintdesigns (2210018),mintdesigns,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,아트,아트 굿즈,https://image.sivillage.com/upload/C00001/goods/org/146/220318002159146.jpg?RS=450&SP=1&QT=20,KINKIROBOT,[KINKI ROBOT] 400%+100% BEARBRICK JOE COOL (2201014),COOL,N/A,N/A,5,1,N/A,,,N/A
라이프,아트,아트 굿즈,https://image.sivillage.com/upload/C00001/s3/goods/org/471/240723025147471.jpg?RS=450&SP=1&QT=20,KINKIROBOT,[KINKI ROBOT] 400%+100% BEARBRICK Eugène Delacroix Liberty Leading the People (2212032),Eugène,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,아트,아트 굿즈,https://image.sivillage.com/upload/C00001/s3/goods/org/736/240611020830736.jpg?RS=450&SP=1&QT=20,PRINT BAKERY,"허명욱, 높은 주전자 - 12 color",color,N/A,N/A,N/A,N/A,N/A,,,N/A
