top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,웰빙/푸드,커피/티/세트,https://image.sivillage.com/upload/C00001/s3/goods/org/441/240730025704441.jpg?RS=450&SP=1,KUSMI TEA,[쿠스미티][쇼핑백 증정] 디톡스 유기농 핑크박스 선물세트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,웰빙/푸드,커피/티/세트,https://image.sivillage.com/upload/C00001/s3/goods/org/440/240730025704440.jpg?RS=450&SP=1,KUSMI TEA,[쿠스미티][쇼핑백 증정] 디카페인 유기농 핑크박스 선물세트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,웰빙/푸드,커피/티/세트,https://image.sivillage.com/upload/C00001/goods/org/380/230126003942380.jpg?RS=450&SP=1,NESCAFE DOLCEGUSTO,[네스카페 돌체구스토] 인피니시마 터치_화이트+스벅캡슐1BOX + 머그컵,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_05_%EC%B0%A8%EC%BD%9C_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","화이트,차콜 그레이",N/A
라이프,웰빙/푸드,커피/티/세트,https://image.sivillage.com/upload/C00001/goods/org/391/230126003942391.jpg?RS=450&SP=1,NESCAFE DOLCEGUSTO,[네스카페 돌체구스토] 인피니시마 터치_화이트 + 아메리카노 캡슐1BOX,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_05_%EC%B0%A8%EC%BD%9C_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","화이트,차콜 그레이",N/A
라이프,웰빙/푸드,커피/티/세트,https://image.sivillage.com/upload/C00001/s3/goods/org/500/240820028331500.jpg?RS=450&SP=1&QT=20,KUSMI TEA,[쿠스미티] 유기농 바닐라향 루이보스 개별포장 티백 5개입 [ROVA5EBIO],N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,웰빙/푸드,커피/티/세트,https://image.sivillage.com/upload/C00001/s3/goods/org/401/240820028331401.jpg?RS=450&SP=1&QT=20,KUSMI TEA,[쿠스미티] 유기농 아쿠아 썸머 개별포장 티백 5개입 [AQSU5EBIO],N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,웰빙/푸드,커피/티/세트,https://image.sivillage.com/upload/C00001/s3/goods/org/587/240820028331587.jpg?RS=450&SP=1&QT=20,KUSMI TEA,[쿠스미티] 쿠스미 트라이얼 세트 (Ver.2) [TRIAL2_5EBIO],[TRIAL2_5EBIO],N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,웰빙/푸드,커피/티/세트,https://image.sivillage.com/upload/C00001/s3/goods/org/648/240820028331648.jpg?RS=450&SP=1&QT=20,KUSMI TEA,[쿠스미티] 쿠스미 트라이얼 세트 - 블랙티 [TRBTS5EBIO],N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,웰빙/푸드,커피/티/세트,https://image.sivillage.com/upload/C00001/s3/goods/org/958/240524018236958.jpg?RS=450&SP=1&QT=20,KUSMI TEA,[쿠스미티][쇼핑백 증정] 셀렉션 세트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,웰빙/푸드,커피/티/세트,https://image.sivillage.com/upload/C00001/s3/goods/org/382/240731025786382.jpg?RS=450&SP=1&QT=20,KUSMI TEA,[쿠스미티][쇼핑백 증정] 모슬린 듀오 선물세트 - 아쿠아,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
