top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/243/240710024359243.jpg?RS=450&SP=1,PAUL SMITH,섀도우 스트라이프 도큐먼트 케이스,N/A,"891,000",10%,N/A,N/A,N/A,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/685/240827029420685.jpg?RS=450&SP=1,MONTBLANC,몽블랑 3.0 씬 도큐먼트 브리프케이스 129962,N/A,"1,121,150",46%,N/A,N/A,N/A,,,세일
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/718/240827029420718.jpg?RS=450&SP=1,THULE,툴레(Thule) 라운드트립 스노우 더플 / 80L / 다크슬레이트,툴레(Thule),"237,500",5%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/712/240827029420712.jpg?RS=450&SP=1,THULE,툴레(Thule) 라운드트립 스노우보드 롤러 / 165cm / 블랙,툴레(Thule),"408,500",5%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/727/240829029652727.jpg?RS=450&SP=1&QT=20,VERSACE,24FW 베르사체 가방 10144831A09308 1B00P Black,Black,"3,760,400",19%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/772/240829029656772.jpg?RS=450&SP=1&QT=20,SAINT LAURENT,24FW 생로랑 가방 509415FAAVR 1070 Black,Black,"2,636,700",19%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/652/240829029673652.jpg?RS=450&SP=1&QT=20,SAINT LAURENT,24FW 생로랑 가방 632539FAAVU 9054 Grey,Grey,"2,301,800",19%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/108/240829029674108.jpg?RS=450&SP=1&QT=20,DOLCE & GABBANA,24FW 돌체앤가바나 가방 BM2333AJ705 8B969 Black,Black,"3,444,200",20%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/127/240829029672127.jpg?RS=450&SP=1&QT=20,AMI PARIS,24FW 아미 가방 ULL163AL0052 001 Black,ULL163AL0052,"1,365,950",18%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/860/240829029651860.jpg?RS=450&SP=1&QT=20,SAINT LAURENT,24FW 생로랑 가방 632539FAABR 9083 Mouse Grey,Grey,"2,301,800",19%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/949/240829029656949.jpg?RS=450&SP=1&QT=20,SAINT LAURENT,24FW 생로랑 가방 587273CWTFE 1000 Black,Black,"3,233,400",20%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/455/240829029676455.jpg?RS=450&SP=1&QT=20,SAINT LAURENT,24FW 생로랑 가방 632539FAABR 9054 Grey,Grey,"2,301,800",19%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/627/240829029682627.jpg?RS=450&SP=1&QT=20,BARBOUR,24FW 바버 가방 UBA0608 TN11 Green,Green,"263,500",16%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/461/240829029651461.jpg?RS=450&SP=1&QT=20,DOLCE & GABBANA,24FW 돌체앤가바나 가방 BM2335AG182 8B956 Black,BM2335AG182,"2,301,800",19%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/900/240829029681900.jpg?RS=450&SP=1&QT=20,BARBOUR,24FW 바버 가방 UBA0531 TN11 Green,Green,"321,300",17%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/444/240829029687444.jpg?RS=450&SP=1&QT=20,BAO BAO ISSEY MIYAKE,24FW 바오바오 가방 BB49AG261 16 Black,BB49AG261,"1,399,950",18%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/658/240829029691658.jpg?RS=450&SP=1&QT=20,VALENTINO,24FW 발렌티노 가라바니 가방 5Y2B0C46CSH Y20 Green,Green,"2,219,350",19%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/767/240829029657767.jpg?RS=450&SP=1&QT=20,VALENTINO,24FW 발렌티노 가라바니 가방 5Y2B0943WJW 0NI Black,Black,"1,298,800",15%,N/A,N/A,신규입고,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/19_01_%EB%A9%80%ED%8B%B0.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/19_01_%EB%A9%80%ED%8B%B0.png","멀티,멀티",N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/662/240829029641662.jpg?RS=450&SP=1&QT=20,ALEXANDER MCQUEEN,24FW 알렉산더 맥퀸 가방 560472 Black,Black,"961,350",15%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/258/240829029655258.jpg?RS=450&SP=1&QT=20,GIVENCHY,24FW 지방시 가방 BK50CRK1JE 001 Black,Black,"1,633,700",18%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/864/240829029655864.jpg?RS=450&SP=1&QT=20,MONCLER,24FW 몽클레어 가방 5G00001M4432 999 Black,5G00001M4432,"1,700,000",19%,N/A,N/A,신규입고,,,N/A
백,남성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/401/240829029678401.jpg?RS=450&SP=1&QT=20,MONCLER,24FW 몽클레어 가방 5L00002M3492 999 Black,5L00002M3492,"1,365,950",18%,N/A,N/A,신규입고,,,N/A
