top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
백,남성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/goods/org/361/230823006039361.jpg?RS=450&SP=1,RAWROW,R TRUNK 520 ALUMINIUM 28인치 SILVER (108L),ALUMINIUM,"760,950",14%,5,18,N/A,,,세일
백,남성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/338/240702023327338.jpg?RS=450&SP=1,EMPORIO ARMANI,남성 이글 사피아노 패널 트롤리,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
백,남성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/goods/org/208/230814005976208.jpg?RS=450&SP=1,FLOYD,[Floyd 공식수입원 빠른배송] Floyd Trunk Travel Case (Bronco Brown),[Floyd,"1,152,000",10%,N/A,N/A,N/A,,,N/A
백,남성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/goods/org/776/231102006896776.jpg?RS=450&SP=1,FLOYD,[Floyd 공식수입원 빠른배송] Floyd Cabin Travel Case (Gold),[Floyd,"792,000",10%,N/A,N/A,N/A,,,N/A
백,남성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/948/240719024935948.jpg?RS=450&SP=1&QT=20,JAJU,남녀공용 짐백,N/A,N/A,N/A,4.3,4,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_04_%EC%98%AC%EB%A6%AC%EB%B8%8C.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","올리브,블랙",N/A
백,남성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/485/240827029420485.jpg?RS=450&SP=1&QT=20,THULE,툴레 (THULE) 캐즘 더플 백 40L 블랙,(THULE),"223,250",5%,N/A,N/A,신규입고,,,N/A
백,남성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/goods/org/336/230823006039336.jpg?RS=450&SP=1&QT=20,RAWROW,R TRUNK 500 ALUMINIUM 20인치 SILVER (50L),ALUMINIUM,"504,450",14%,5,8,N/A,,,세일
백,남성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/804/240829029789804.jpg?RS=450&SP=1&QT=20,PARAJUMPERS,파라점퍼스 유니섹스 더플백 오르몬드-Black (24WMPABABA03PJ0541),오르몬드-Black,"360,050",5%,N/A,N/A,신규입고,,,N/A
백,남성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/183/240828029558183.jpg?RS=450&SP=1&QT=20,BRICS,[브릭스] 엑스트래블 롤링 슈 더플 블랙 (BR-BXL42522.101),(BR-BXL42522.101),"538,200",10%,N/A,N/A,신규입고,,,N/A
백,남성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/941/240827029419941.jpg?RS=450&SP=1&QT=20,THULE,툴레 (THULE) 서브테라 2 스피너 / 다크슬레이트,(THULE),"712,500",5%,N/A,N/A,신규입고,,,N/A
백,남성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/390/240827029420390.jpg?RS=450&SP=1&QT=20,THULE,툴레 (THULE) 캐즘 더플 백 90L 블랙,(THULE),"242,250",5%,N/A,N/A,신규입고,,,N/A
백,남성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/450/240827029420450.jpg?RS=450&SP=1&QT=20,THULE,툴레 (THULE) 캐즘 더플 백 40L 골드 브라운,(THULE),"223,250",5%,N/A,N/A,신규입고,,,N/A
백,남성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/355/240827029420355.jpg?RS=450&SP=1&QT=20,THULE,툴레 (THULE) 캐즘 더플 백 90L 폰드 그레이,(THULE),"242,250",5%,N/A,N/A,신규입고,,,N/A
