top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/721/240829029785721.jpg?RS=450&SP=1,HERNO,여성 나일론 다운 패딩 웨이스트 백,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/508/240808026712508.jpg?RS=450&SP=1,HERNO,여성 패브릭 다운 패딩 웨이스트 백,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/517/240808026712517.jpg?RS=450&SP=1,HERNO,여성 나일론 다운 패딩 웨이스트 백,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/373/240829029684373.jpg?RS=450&SP=1,BURBERRY,24FW 버버리 가방 8092722 Earth,N/A,"362,950",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/651/240828029609651.jpg?RS=450&SP=1&QT=20,ZANELLATO,자넬라토 가방 068010005SCAPPUCCINO Brown,N/A,"1,129,650",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/742/240828029605742.jpg?RS=450&SP=1&QT=20,ZANELLATO,24SS 자넬라토 가방 8099900019894 Pink,N/A,"1,311,550",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/752/240828029603752.jpg?RS=450&SP=1&QT=20,ZANELLATO,24SS 자넬라토 가방 8099900018743 Neutrals,Neutrals,"1,129,650",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/821/240828029609821.jpg?RS=450&SP=1&QT=20,TORY BURCH,23FW 토리버치 가방 152356250 Brown,N/A,"766,700",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/798/240828029610798.jpg?RS=450&SP=1&QT=20,AGL,에이지엘 가방 SAKKYROSA Pink,N/A,"681,700",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/120/240828029605120.jpg?RS=450&SP=1&QT=20,THEMOIRE,24SS 더모아레 가방 TMSR24HN81 Neutrals,Neutrals,"558,450",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/790/240828029603790.jpg?RS=450&SP=1&QT=20,THEMOIRE,24SS 더모아레 가방 TMSR24HN1 Black,Black,"558,450",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/410/240828029606410.jpg?RS=450&SP=1&QT=20,ZANELLATO,24SS 자넬라토 가방 8099900019030 Neutrals,Neutrals,"947,750",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/857/240829029638857.jpg?RS=450&SP=1&QT=20,GANNI,24FW 가니 가방 A5489 Black,Black,"582,250",17%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/676/240829029638676.jpg?RS=450&SP=1&QT=20,JW ANDERSON,24FW 제이더블유앤더슨 가방 HB0603 Black,Black,"1,584,400",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/759/240828029604759.jpg?RS=450&SP=1&QT=20,ZANELLATO,24SS 자넬라토 가방 8099900022825 Blue,Blue,"874,650",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/293/240828029610293.jpg?RS=450&SP=1&QT=20,ZANELLATO,24SS 자넬라토 가방 8099900020630 White,N/A,"947,750",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/609/240828029603609.jpg?RS=450&SP=1&QT=20,ZANELLATO,24SS 자넬라토 가방 8099900019849 Neutrals,Neutrals,"1,274,150",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/287/240829029686287.jpg?RS=450&SP=1&QT=20,MICHAEL KORS,24FW 마이클 코어스 가방 32T0GT9C1B 149 Cream,32T0GT9C1B,"296,650",16%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/680/240829029639680.jpg?RS=450&SP=1&QT=20,GOLDEN GOOSE,24FW 골든구스 가방 GWA00470 Black,GWA00470,"1,972,000",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/966/240828029604966.jpg?RS=450&SP=1&QT=20,ZANELLATO,24SS 자넬라토 가방 8099900018347 Neutrals,Neutrals,"892,500",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/208/240828029602208.jpg?RS=450&SP=1&QT=20,ORCIANI,24SS 오르치아니 가방 B02166SSEAGI Neutrals,B02166SSEAGI,"1,129,650",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/396/240829029642396.jpg?RS=450&SP=1&QT=20,MAGDA BUTRYM,24FW 마그다뷰트림 가방 606424 Black,Black,"1,857,250",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/972/240828029610972.jpg?RS=450&SP=1&QT=20,ZANELLATO,24SS 자넬라토 가방 8099900019832 Blue,Blue,"1,274,150",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/734/240828029609734.jpg?RS=450&SP=1&QT=20,ZANELLATO,24SS 자넬라토 가방 8099900018736 Orange,Orange,"1,129,650",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/574/240828029607574.jpg?RS=450&SP=1&QT=20,ZANELLATO,24SS 자넬라토 가방 8099900019900 Black,Black,"1,311,550",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/499/240828029602499.jpg?RS=450&SP=1&QT=20,ZANELLATO,자넬라토 가방 8099900002896 White,N/A,"1,129,650",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/077/240828029602077.jpg?RS=450&SP=1&QT=20,ZANELLATO,자넬라토 가방 8099900019023 Orange,Orange,"947,750",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/463/240828029605463.jpg?RS=450&SP=1&QT=20,ORCIANI,24SS 오르치아니 가방 B02166SSERSA Pink,N/A,"1,129,650",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/609/240828029604609.jpg?RS=450&SP=1&QT=20,TORY BURCH,토리버치 가방 148865020 Grey,Grey,"911,200",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/805/240829029639805.jpg?RS=450&SP=1&QT=20,GOLDEN GOOSE,24FW 골든구스 가방 GWA00467 Neutrals,GWA00467,"1,779,900",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/339/240829029639339.jpg?RS=450&SP=1&QT=20,GOLDEN GOOSE,24FW 골든구스 가방 GWA00470 Neutrals,GWA00470,"1,972,000",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/726/240829029641726.jpg?RS=450&SP=1&QT=20,GOLDEN GOOSE,24FW 골든구스 가방 GWA00467 Black,GWA00467,"1,779,900",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/370/240829029656370.jpg?RS=450&SP=1&QT=20,DOLCE & GABBANA,24FW 돌체앤가바나 가방 BI2215AM568 HA93M Savannah,N/A,"631,550",18%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/727/240824028958727.jpg?RS=450&SP=1&QT=20,BOTTEGA VENETA,24SS 보테가베네타 가방 777586V3IV19156 White,N/A,"4,108,900",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/364/240822028714364.jpg?RS=450&SP=1&QT=20,LONGCHAMP,롱샴파우치 미니 탑핸들 리폼백 르플리아쥬 34175 089 P68 네이비 (스트랩포함),N/A,"331,500",25%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/996/240822028609996.jpg?RS=450&SP=1&QT=20,KHAITE,24FW 케이트 가방 H6015872200 Black,Black,"4,453,150",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/932/240821028430932.jpg?RS=450&SP=1&QT=20,GIANNI CHIARINI,지아니 끼아리니 가방 BS8321 TKL MORO Brown,TKL,"579,700",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/027/240821028417027.jpg?RS=450&SP=1&QT=20,GIANNI CHIARINI,지아니 끼아리니 가방 BS10005 STSR NA REBECCA NERO Black,Black,"390,150",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/899/240821028422899.jpg?RS=450&SP=1&QT=20,GIANNI CHIARINI,24SS 지아니 끼아리니 가방 BS10772 FOU KNOT BIANCO White,N/A,"299,200",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/567/240821028419567.jpg?RS=450&SP=1&QT=20,KHAITE,케이트 가방 H6015872 Black,Black,"4,493,100",19%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/417/240821028419417.jpg?RS=450&SP=1&QT=20,GIANNI CHIARINI,지아니 끼아리니 가방 BS4192 RMN NA MEGAN MIELE Brown,MEGAN,"524,450",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/317/240821028417317.jpg?RS=450&SP=1&QT=20,GIANNI CHIARINI,24SS 지아니 끼아리니 가방 BS10530 24PE GRN NA MARBLE Neutrals,GRN,"351,050",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/378/240821028419378.jpg?RS=450&SP=1&QT=20,GIANNI CHIARINI,24SS 지아니 끼아리니 가방 BS10530 24PE GRN NA NAVY Blue,GRN,"351,050",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/203/240821028419203.jpg?RS=450&SP=1&QT=20,GIANNI CHIARINI,24SS 지아니 끼아리니 가방 BS10530 24PE GRN NA FLAME ORANGE Orange,GRN,"351,050",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/068/240821028421068.jpg?RS=450&SP=1&QT=20,REPTILE'S HOUSE,23SS 렙틸하우스 가방 H710V 1 Green,Green,"742,050",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/972/240821028421972.jpg?RS=450&SP=1&QT=20,GIANNI CHIARINI,지아니 끼아리니 가방 BS8210 CCAS 166 Brown,N/A,"496,400",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/803/240821028419803.jpg?RS=450&SP=1&QT=20,GIANNI CHIARINI,24SS 지아니 끼아리니 가방 BS10911 TKL SILICE Grey,TKL,"351,050",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/314/240821028418314.jpg?RS=450&SP=1&QT=20,GIANNI CHIARINI,지아니 끼아리니 가방 BS8321 TKL CANAPA Neutrals,TKL,"579,700",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/233/240821028417233.jpg?RS=450&SP=1&QT=20,GIANNI CHIARINI,지아니 끼아리니 가방 BS8976 22AI STSR FOREST TULIP Green,TULIP,"470,900",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/040/240819028299040.jpg?RS=450&SP=1&QT=20,GEDEBE,24SS 제데베 가방 JILL GOLD Gold,JILL,"1,274,150",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/441/240819028298441.jpg?RS=450&SP=1&QT=20,ZANELLATO,23SS 자넬라토 가방 068010 0050000 Z0001 BABY Black,Black,"906,100",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/424/240830029938424.jpg?RS=450&SP=1&QT=20,FURLA,24FW 훌라 가방 WE00649 AX07333378S,N/A,"374,850",28%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/035/240819028300035.jpg?RS=450&SP=1&QT=20,ZANELLATO,24SS 자넬라토 가방 068010 0050000 Z0180 S Grey,Grey,"1,085,450",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/944/240819028298944.jpg?RS=450&SP=1&QT=20,AVENUE 67,24SS 에비뉴67 가방 AB021A0021 9 Brown,N/A,"838,100",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/288/240819028303288.jpg?RS=450&SP=1&QT=20,ZANELLATO,자넬라토 가방 6802 P6 02 Black,Black,"1,303,900",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/146/240819028304146.jpg?RS=450&SP=1&QT=20,ZANELLATO,24SS 자넬라토 가방 068010 0050000 Z1110 M Neutrals,Neutrals,"1,240,150",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/015/240819028300015.jpg?RS=450&SP=1,AVENUE 67,24SS 에비뉴67 가방 AB021A0021 40 White,N/A,"838,100",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/299/240819028304299.jpg?RS=450&SP=1,ZANELLATO,자넬라토 가방 068010 0050000 Z0260 BABY Brown,N/A,"906,100",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/876/240819028303876.jpg?RS=450&SP=1,ZANELLATO,자넬라토 가방 ZA28PEL061201802 1 Black,ZA28PEL061201802,"1,031,050",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/344/240819028301344.jpg?RS=450&SP=1,ZANELLATO,자넬라토 가방 068010 0050000 Z0240 BABY Brown,N/A,"906,100",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/019/240819028301019.jpg?RS=450&SP=1,ZANELLATO,23SS 자넬라토 가방 6800 0380000 Z0530 M Blue,Blue,"1,392,300",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/743/240819028300743.jpg?RS=450&SP=1,ZANELLATO,자넬라토 가방 068010 0050000 Z1190 BABY White,N/A,"906,100",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/711/240819028298711.jpg?RS=450&SP=1,ZANELLATO,자넬라토 가방 068010 0050000 Z0180 BABY Grey,Grey,"906,100",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/541/240819028298541.jpg?RS=450&SP=1,ZANELLATO,자넬라토 가방 068010 0050000 Z0160 M Neutrals,Neutrals,"1,212,100",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/433/240819028298433.jpg?RS=450&SP=1&QT=20,ZANELLATO,자넬라토 가방 068010 0050000 Z0260 S Brown,N/A,"1,085,450",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/445/240830029938445.jpg?RS=450&SP=1&QT=20,WANDLER,24FW 반들러 가방 24108 0000251709,N/A,"1,496,000",29%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/440/240830029938440.jpg?RS=450&SP=1&QT=20,WANDLER,24FW 반들러 가방 24108 0000251333,N/A,"1,496,000",29%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/470/240830029906470.jpg?RS=450&SP=1&QT=20,LOEWE,24FW 로에베 가방 A411FC1XBFLE Black,A411FC1XBFLE,"3,602,300",29%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/863/240819028302863.jpg?RS=450&SP=1&QT=20,MARC JACOBS,23FW 마크제이콥스 가방 2F3HSH020H01 001 Black,Black,"750,550",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/934/240819028302934.jpg?RS=450&SP=1&QT=20,MONCLER,24FW 몽클레어 가방 5L00016M3189999 Black,5L00016M3189999,"1,314,100",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/770/240828029607770.jpg?RS=450&SP=1&QT=20,ZANELLATO,자넬라토 가방 8099900008393 Brown,N/A,"331,500",30%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/661/240829029638661.jpg?RS=450&SP=1&QT=20,PATOU,24SS 파투 가방 AC0620076 Black,Black,"906,100",23%,N/A,N/A,신규입고,,,N/A
백,여성 가방,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/767/240829029642767.jpg?RS=450&SP=1&QT=20,OTTOLINGER,24FW 오토링거 가방 1272002521 GRN,GRN,"983,450",29%,N/A,N/A,신규입고,,,N/A
