top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/589/240715024614589.jpg?RS=450&SP=1,JAJU,여성 크로아상 백,N/A,N/A,N/A,5,6,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_080018_210114011352.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_04_%EC%98%AC%EB%A6%AC%EB%B8%8C.png,https://image.sivillage.com/upload/C00001/goods/color/color_060025_240701095547.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","오렌지,올리브,버건디,블랙",N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/790/240829029789790.jpg?RS=450&SP=1,PARAJUMPERS,파라점퍼스 유니섹스 웨이스트백 에드릭-Black (24WMPABABA04PJ0541),에드릭-Black,"236,550",5%,N/A,N/A,신규입고,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/535/240902030325535.jpg?RS=450&SP=1,MAX MARA,24FW 막스마라 벨트백 2426516028600,N/A,"265,200",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/539/240902030325539.jpg?RS=450&SP=1,MAX MARA,24FW 막스마라 벨트백 2426516028600,N/A,"265,200",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/295/240831030002295.jpg?RS=450&SP=1&QT=20,MOSCHINO,24FW 모스키노 벨트백 JC4060PP1LLH1 Black,JC4060PP1LLH1,"424,150",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/751/240829029655751.jpg?RS=450&SP=1&QT=20,MOSCHINO,24FW 모스키노 벨트백 77028202 3555 Black,Black,"872,950",15%,N/A,N/A,신규입고,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/201/240819028312201.jpg?RS=450&SP=1&QT=20,TORY BURCH,24FW 토리버치 벨트백 149530 VIRGINIA Black,VIRGINIA,"374,850",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/goods/org/152/230921006446152.jpg?RS=450&SP=1&QT=20,FOLNUA,CLASSIC LOGO POST BAG [BROWN - SUEDE],CLASSIC,"314,100",10%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/goods/org/147/230921006446147.jpg?RS=450&SP=1&QT=20,FOLNUA,CLASSIC LOGO POST BAG [BLACK - SUEDE],CLASSIC,"314,100",10%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/goods/org/168/230724005791168.jpg?RS=450&SP=1&QT=20,BELVEDERE,캔디백_Opal(오팔),캔디백_Opal(오팔),"283,100",5%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/09_01_%EA%B7%B8%EB%A6%B0.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_05_%ED%84%B0%EC%BD%B0%EC%9D%B4%EC%A6%88.png,https://image.sivillage.com/upload/C00001/goods/color/color_110038_210512144838.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020221_221229001107.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_110021_210114010651.png","그린,터콰이즈,블루 레더,3N1 샌드,브라운",N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/937/240829029691937.jpg?RS=450&SP=1&QT=20,MONCLER,몽클레어 벨트백 J209B5M00001M4659999 Black,Black,"947,750",35%,N/A,N/A,신규입고,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/178/240809026757178.jpg?RS=450&SP=1&QT=20,MONCLER,24FW 몽클레어 벨트백 5M00001M4659999 Black,Black,"978,350",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/731/240827029420731.jpg?RS=450&SP=1&QT=20,BURBERRY,[버버리]24FW 스티비 빈티지 체크 벨트백 8070660,N/A,"645,150",35%,N/A,N/A,신규입고,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/399/240824028950399.jpg?RS=450&SP=1&QT=20,GANNI,가니 벨트백 BUTTERFLY525 Pink,BUTTERFLY525,"493,000",33%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/203/240717024734203.jpg?RS=450&SP=1&QT=20,MICHAEL KORS,24SS 마이클 코어스 벨트백 30H3G04M0B 227 Brown,30H3G04M0B,"386,750",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/502/240731025780502.jpg?RS=450&SP=1&QT=20,MAX MARA,24FW 막스마라 벨트백 2426516028600,N/A,"252,450",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/848/240703023456848.jpg?RS=450&SP=1&QT=20,VIC MATIE,24FW 빅마티 벨트백 1F0800T 999C070 101 Black,Black,"641,750",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/815/240705023745815.jpg?RS=450&SP=1&QT=20,LIU JO,24SS 리우조 벨트백 AA4147E0037 22222 Black,Black,"280,500",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/080/240824028950080.jpg?RS=450&SP=1&QT=20,GANNI,가니 벨트백 BUTTERFLY099 Black,BUTTERFLY099,"493,000",33%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/048/240824028950048.jpg?RS=450&SP=1&QT=20,GANNI,가니 벨트백 BUTTERFLY873 Beige,BUTTERFLY873,"493,000",33%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/757/240824028949757.jpg?RS=450&SP=1&QT=20,GANNI,가니 벨트백 BUTTERFLY803 Light Blue,BUTTERFLY803,"524,450",33%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/349/240424014652349.jpg?RS=450&SP=1&QT=20,MAX MARA,24SS 막스마라 벨트백 Bors INV 2023 11395,N/A,"256,700",15%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/875/240807026574875.jpg?RS=450&SP=1&QT=20,INNERRAUM,24FW 이너라움 벨트백 I30BMBKPV00 BLACK,BLACK,"899,300",27%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/goods/org/795/230210004150795.jpg?RS=450&SP=1&QT=20,GUCCI,[GUCCI] 구찌 GG 수프림 캔버스 백팩 449906 KY9NN 9873,[GUCCI],"1,065,050",27%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/858/240427014878858.jpg?RS=450&SP=1&QT=20,BOTTEGA VENETA,[보테가베네타] 여성 카세트 벨트백 668572 VMAY1 8425,N/A,"2,126,700",27%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/144/240731025801144.jpg?RS=450&SP=1&QT=20,CANADA GOOSE,24FW 캐나다구스 벨트백 8833U 61 BLACK,BLACK,"402,900",27%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/790/240130008556790.jpg?RS=450&SP=1&QT=20,GUCCI,(당일출고) 구찌백 미니크로스 디오니소스 476432 2KQFN 4483 데님브라운,N/A,"1,239,300",25%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/438/240621022309438.jpg?RS=450&SP=1&QT=20,ISABEL MARANT,24FW 이자벨마랑 벨트백 A1C01M BJ0001FA 01BK BLACK,BLACK,"753,950",27%,N/A,N/A,N/A,,,N/A
백,여성 가방,메신저백/벨트백,https://image.sivillage.com/upload/C00001/s3/goods/org/911/240703023511911.jpg?RS=450&SP=1&QT=20,ISABEL MARANT,24FW 이자벨마랑 벨트백 A1C01M BJ0001FA 30FN BLUE,BLUE,"1,066,750",27%,N/A,N/A,N/A,,,N/A
