top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/526/240715024632526.jpg?RS=450&SP=1,WONDERTREE,[선물 포장 가능] 문제성 Y존 개선 이너 케어 젤 클렌저,N/A,"53,100",10%,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/998/240717024766998.jpg?RS=450&SP=1,WONDERTREE,[선물 포장 가능] 투엔티 에이지 와이 존 에센스,N/A,"57,600",10%,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/559/240808026696559.png?RS=450&SP=1,GINOLAX,[지노렉스] 페미닌 클린 티슈 15매 1개 여성 Y존 케어,N/A,"8,100",10%,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/054/240808026700054.png?RS=450&SP=1,GINOLAX,[지노렉스] 페미닌 클린 티슈 30매 1개 여성 Y존 케어,N/A,"13,500",10%,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/goods/org/294/230725005802294.jpg?RS=450&SP=1&QT=20,RAEL,라엘 오가닉 청결티슈 5팩,N/A,"32,400",10%,5,3,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/443/240901030132443.jpg?RS=450&SP=1&QT=20,GROUNDPLAN,[그라운드플랜] 여성청결제 100ml,100ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/596/240717024746596.png?RS=450&SP=1&QT=20,RAEL,라엘 여성 청결 미스트 (50ml),(50ml),"15,210",10%,5,1,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/goods/org/144/230125003923144.jpg?RS=450&SP=1&QT=20,RAEL,라엘 내추럴 청결티슈 5팩 (50매입),N/A,"11,250",10%,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/goods/org/141/230125003923141.jpg?RS=450&SP=1&QT=20,RAEL,라엘 내추럴 청결티슈 10팩 (100매입),N/A,"22,500",10%,5,4,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/831/240812027183831.jpg?RS=450&SP=1&QT=20,GROUNDPLAN,[그라운드플랜] 여성청결제 30ml,30ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/589/240717024746589.png?RS=450&SP=1&QT=20,RAEL,라엘 여성 청결 미스트 (50ml) 2개,(50ml),"30,420",10%,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/goods/org/130/230125003923130.jpg?RS=450&SP=1&QT=20,RAEL,[라엘] 천연 여성 청결제 150ml x 2개,150ml,"27,000",10%,5,4,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/goods/org/693/231117007081693.png?RS=450&SP=1&QT=20,RAEL,라엘 에센셜 드롭스 (10ml),(10ml),"21,510",10%,5,1,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_100030_210514154446.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_100030_210514154446.jpg","그린,그린",N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/goods/org/127/230125003923127.jpg?RS=450&SP=1&QT=20,RAEL,라엘 젤투폼 여성청결제 2개,N/A,"16,200",14%,5,6,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/814/231228007758814.jpg?RS=450&SP=1&QT=20,SUMMER`S EVE,[썸머스이브] 포밍 워시 150ml 1+1,150ml,"27,360",14%,5,1,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/19_01_%EB%A9%80%ED%8B%B0.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/19_01_%EB%A9%80%ED%8B%B0.png","멀티,멀티",N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/goods/org/145/230420004752145.jpg?RS=450&SP=1&QT=20,SUMMER`S EVE,[썸머스이브] 썸머스이브 포밍 워시 150ml (new),150ml,"13,680",14%,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/061/240401012651061.jpg?RS=450&SP=1&QT=20,SUMMER`S EVE,[썸머스이브] 썸머스이브 데일리 밸런스 페미닌 워시 237ml (NEW),237ml,"15,390",14%,5,3,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/goods/org/748/230626005529748.jpg?RS=450&SP=1&QT=20,SUMMER`S EVE,[썸머스이브] 데일리 밸런스 페미닌 클렌징 와입스 16p,N/A,"7,690",14%,5,2,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/19_01_%EB%A9%80%ED%8B%B0.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/19_01_%EB%A9%80%ED%8B%B0.png","멀티,멀티",N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/goods/org/143/230420004752143.jpg?RS=450&SP=1&QT=20,SUMMER`S EVE,[썸머스이브] 썸머스이브 울트라 프레쉬 페미닌 워시 237ml,237ml,"15,390",14%,5,1,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/386/231228007759386.jpg?RS=450&SP=1&QT=20,SUMMER`S EVE,[썸머스이브] 데일리 페미닌 워시 237ml 2개+59ml 2개,237ml,"40,750",18%,5,2,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/379/231228007759379.jpg?RS=450&SP=1&QT=20,SUMMER`S EVE,[썸머스이브] 데일리 밸런스 페미닌 워시 237ml + 클렌징 와입스,237ml,"23,080",14%,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/goods/org/144/230420004752144.jpg?RS=450&SP=1&QT=20,SUMMER`S EVE,[썸머스이브] 썸머스이브 시어 뷰티 페미닌 워시 237ml,237ml,"15,390",14%,5,2,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/375/231228007759375.jpg?RS=450&SP=1&QT=20,SUMMER`S EVE,[썸머스이브] 데일리 밸런스 페미닌 워시 237ml 1+1,237ml,"30,780",14%,5,4,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/378/231228007759378.jpg?RS=450&SP=1&QT=20,SUMMER`S EVE,[썸머스이브] 데일리 밸런스 페미닌 클렌징 와입스 16p 1+1,N/A,"15,390",14%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/19_01_%EB%A9%80%ED%8B%B0.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/19_01_%EB%A9%80%ED%8B%B0.png","멀티,멀티",N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/813/231228007758813.jpg?RS=450&SP=1&QT=20,SUMMER`S EVE,[썸머스이브] 데일리 밸런스 페미닌 클렌징 와입스 16p X 3개입,N/A,"23,080",14%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/19_01_%EB%A9%80%ED%8B%B0.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/19_01_%EB%A9%80%ED%8B%B0.png","멀티,멀티",N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/goods/org/142/230420004752142.jpg?RS=450&SP=1&QT=20,SUMMER`S EVE,[썸머스이브] 썸머스이브 데일리 밸런스 페미닌 워시 59ml (NEW),59ml,"4,980",28%,5,4,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/376/231228007759376.jpg?RS=450&SP=1,SUMMER`S EVE,[썸머스이브] 데일리 밸런스 페미닌 워시 59ml (NEW) 1+1,59ml,"9,970",28%,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/387/231228007759387.jpg?RS=450&SP=1,SUMMER`S EVE,[썸머스이브] 데일리 밸런스 페미닌 워시 59ml * 4ea,59ml,"19,950",28%,5,2,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/758/240901030140758.jpg?RS=450&SP=1,XOUL,[XOUL] 소울 로즈 솔루션 와이 폼,[XOUL],N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,위생용품,청결제,https://image.sivillage.com/upload/C00001/s3/goods/org/337/240229009598337.jpg?RS=450&SP=1,PRIMERA,프리메라 후리 앤 후리 폼 150ml,150ml,"22,320",28%,5,1,N/A,,,세일
