top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/goods/org/137/190426000290137.jpg?RS=450&SP=1,HOURGLASS,아치 브로우 펜슬 (내츄럴 블랙),N/A,"53,100",10%,4.9,108,N/A,"https://image.sivillage.com/upload/C00001/goods/color/0000464.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000466.jpg","내츄럴 블랙,블론드",N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/goods/org/723/221123003551723.jpg?RS=450&SP=1,BYREDO,올인원 리필러블 브로우 펜슬- 세피아,N/A,"65,550",5%,5,2,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/goods/org/462/230821006022462.jpg?RS=450&SP=1,VIDIVICI,퍼펙트 아이브로우 (01 다크 그레이),N/A,"28,800",10%,4.9,312,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_03_%EB%8B%A4%ED%81%AC_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/15_03_%EB%8B%A4%ED%81%AC_%EB%B8%8C%EB%9D%BC%EC%9A%B4.png,https://image.sivillage.com/upload/C00001/goods/color/color_110021_210114010651.png","다크 그레이,다크 브라운,라이트브라운",N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/goods/org/291/190715000356291.png?RS=450&SP=1,HOURGLASS,아치 브로우 마이크로 스컬프팅 펜슬 (플래티넘 블론드),N/A,"41,400",10%,4.9,84,N/A,"https://image.sivillage.com/upload/C00001/goods/color/0000463.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000457.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000462.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000460.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000458.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000461.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000456.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000459.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000455.jpg","플래티넘 블론드,블론드,웜블론드,오번,소프트브루넷,웜브루넷,다크 브루넷,애쉬,내츄럴 블랙",N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/goods/org/125/190426000290125.jpg?RS=450&SP=1&QT=20,HOURGLASS,아치 브로우 파이버 젤 (다크 브루넷),N/A,"41,400",10%,4.7,47,N/A,"https://image.sivillage.com/upload/C00001/goods/color/0000553.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000551.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000550.jpg","다크 브루넷,웜 브루넷,오번",N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/goods/org/128/230907006166128.jpg?RS=450&SP=1&QT=20,HOURGLASS,아치 브로우 쉐이핑 젤 (클리어),N/A,"41,400",10%,5,1,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/898/240724025244898.jpg?RS=450&SP=1&QT=20,LAURA MERCIER,브로우 펜슬 (웜 브루넷),N/A,"40,500",10%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/0000551.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000554.jpg","웜 브루넷,소프트 브루넷",N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/232/231205007294232.jpg?RS=450&SP=1&QT=20,VIDIVICI,3D 맥시마이징 듀얼 마스카라 (01 블론드 브라운 + 블랙),N/A,"27,000",10%,5,7,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/goods/org/485/230102003758485.jpg?RS=450&SP=1&QT=20,LAURA MERCIER,브로우 펜슬 (블론드),N/A,"40,500",10%,5,3,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/054/240901030168054.jpg?RS=450&SP=1&QT=20,BENEFIT,[베네피트] 올웨이즈 레디&리필,N/A,"55,200",20%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/430/240901030227430.jpg?RS=450&SP=1&QT=20,CHICOR,[시코르메이크업] [1+1]슈퍼-슬림 앤 프리사이즈 브로우펜슬,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/376/240901030132376.jpg?RS=450&SP=1&QT=20,EQUMAL,[에크멀] 라이브 브로우 텍스처라이저,N/A,"15,300",10%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/155/240808026684155.jpg?RS=450&SP=1&QT=20,espoir,[에스쁘아] 에스쁘아 더브로우 이지 쉐이핑 펜슬,N/A,"16,200",10%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/888/240830029829888.jpg?RS=450&SP=1&QT=20,HINCE,[힌스] 힌스 시그니처 브로우 쉐이퍼,N/A,"17,100",5%,5,3,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/962/240901030157962.jpg?RS=450&SP=1&QT=20,KISSME,[키스미] 헤비로테이션 하드엣지 아이브로우 펜슬,N/A,"9,800",30%,5,2,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/810/240901030130810.jpg?RS=450&SP=1&QT=20,CHICOR,[시코르메이크업] 슈퍼 내츄럴 아이브로우 펜슬(라이트 브라운),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/097/240422014533097.jpg?RS=450&SP=1&QT=20,PAUL&JOE,폴앤조 비바시떼 아이브로우 마스카라,N/A,"31,500",10%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/313/240901030168313.jpg?RS=450&SP=1&QT=20,MAC,[맥] 아이 브로우 빅 부스트 파이버 젤,N/A,"38,000",5%,5,4,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/427/240725025308427.jpg?RS=450&SP=1&QT=20,ROM&ND,[롬앤] 한올 브로우 픽서,N/A,N/A,N/A,5,1,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/323/240818028177323.jpg?RS=450&SP=1&QT=20,espoir,[에스쁘아] 에스쁘아 더브로우 밸런스 펜슬,N/A,"14,400",10%,5,3,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/153/240901030136153.jpg?RS=450&SP=1&QT=20,EQUMAL,[에크멀] 라이브 브로우 마이크로 펜슬,N/A,"11,700",10%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/532/240814027639532.jpg?RS=450&SP=1&QT=20,3CE,[3CE] 이지 브로우 디자이닝 펜슬,N/A,"15,300",10%,5,2,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/630/240824029048630.jpg?RS=450&SP=1&QT=20,espoir,[에스쁘아] 더브로우 컬러 픽싱 카라,N/A,"14,400",10%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/940/240901030133940.jpg?RS=450&SP=1&QT=20,KISSME,[키스미] 헤비로테이션 아이브로우 펜슬,N/A,N/A,N/A,5,1,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/725/240829029773725.jpg?RS=450&SP=1&QT=20,MAKE UP FOR EVER,[메이크업포에버] 아쿠아레지스트 브로우스컬프터 키트 기획 (+브로우픽서),N/A,"57,800",15%,5,1,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/304/240712024486304.jpg?RS=450&SP=1&QT=20,HERA,헤라 브로우 디자이너 오토펜슬 0.3g,0.3g,"27,000",10%,N/A,N/A,N/A,,,세일
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/549/240823028908549.jpg?RS=450&SP=1&QT=20,UNLEASHIA,[언리시아] 셰이퍼 포마드 아이브로우 픽서,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/816/240901030130816.jpg?RS=450&SP=1&QT=20,CHICOR,[시코르메이크업] 슈퍼 내츄럴 아이브로우 펜슬 다크 브라운,N/A,N/A,N/A,5,8,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/698/240403012849698.jpg?RS=450&SP=1&QT=20,ANNA SUI,안나수이 아이브로우 컴팩트,N/A,"46,800",10%,5,9,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/797/240901030167797.jpg?RS=450&SP=1&QT=20,EQUMAL,[에크멀] 라이브 브로우 마이크로 펜슬 [인스턴트 해피],N/A,"11,700",10%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/084/240901030134084.jpg?RS=450&SP=1&QT=20,ROM&ND,[롬앤] 한올 브로우 카라,N/A,"10,800",10%,5,1,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/059/240828029617059.jpg?RS=450&SP=1&QT=20,MAKE UP FOR EVER,[메이크업포에버] [NEW] 아쿠아 레지스트 브로우 스컬프터 키트,N/A,"57,800",15%,4.5,2,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/038/240828029618038.jpg?RS=450&SP=1&QT=20,MAKE UP FOR EVER,[메이크업포에버] 아쿠아 레지스트 브로우 스컬프터 키트 기획 (+1종 증정),N/A,"57,800",15%,5,2,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/427/240901030134427.jpg?RS=450&SP=1&QT=20,CLE DE PEAU BEAUTE,[끌레드뽀보떼] 아이브로우 젤,N/A,"41,800",5%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/782/240901030154782.jpg?RS=450&SP=1&QT=20,BENEFIT,[베네피트] 프리사이슬리 마이 브로우 디테일러,N/A,"32,800",20%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/368/240827029314368.jpg?RS=450&SP=1&QT=20,BOBBI BROWN,[바비브라운] 바비브라운 내추럴 브라우 쉐이퍼,N/A,"39,100",15%,4.3,3,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/425/240829029790425.jpg?RS=450&SP=1&QT=20,BOBBI BROWN,[바비브라운] 바비 브라운 롱웨어 브로우 펜슬,N/A,"44,200",15%,5,6,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/019/240808026619019.jpg?RS=450&SP=1&QT=20,URBAN DECAY,[어반디케이] 빅 부쉬 브로우 마스카라,N/A,"34,000",15%,5,1,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/834/240802025992834.jpg?RS=450&SP=1&QT=20,BBIA,[삐아] NEW 라스트 오토 아이브로우 펜슬,N/A,"8,000",20%,4.2,5,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/440/240901030227440.jpg?RS=450&SP=1&QT=20,MAKE UP FOR EVER,[메이크업포에버] 아쿠아 레지스트 브로우 디파이너,N/A,"34,000",15%,5,2,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/309/240831030118309.jpg?RS=450&SP=1&QT=20,MAKE UP FOR EVER,[메이크업포에버] 아쿠아 레지스트 브로우 픽서,N/A,"34,000",15%,5,1,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/547/240901030150547.jpg?RS=450&SP=1&QT=20,BENEFIT,[베네피트] 구프 프루프 브로우 펜슬,N/A,"32,000",20%,4.8,17,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이브로우,https://image.sivillage.com/upload/C00001/s3/goods/org/830/240901030135830.jpg?RS=450&SP=1&QT=20,BBIA,[삐아] 라스트 오토 아이브로우 펜슬 슬림,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
