top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,메이크업,페이스 메이크업,메이크업 베이스,https://image.sivillage.com/upload/C00001/s3/goods/org/246/240424014625246.jpg?RS=450&SP=1,YUNJAC,스킨 퍼펙팅 프로텍티브 베이스프렙,N/A,"40,500",10%,4.9,1191,N/A,,,N/A
뷰티,메이크업,페이스 메이크업,메이크업 베이스,https://image.sivillage.com/upload/C00001/s3/goods/org/874/240822028697874.jpg?RS=450&SP=1,LAURA MERCIER,퓨어 캔버스 프라이머 하이드레이팅 듀오 (30ml & 15ml),(30ml,"71,100",10%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,페이스 메이크업,메이크업 베이스,https://image.sivillage.com/upload/C00001/s3/goods/org/410/240621022192410.jpg?RS=450&SP=1,HOURGLASS,[유튜버 PICK] 배니쉬 에어브러쉬 프라이머 - 점보,N/A,"101,700",10%,5,31,N/A,,,N/A
뷰티,메이크업,페이스 메이크업,메이크업 베이스,https://image.sivillage.com/upload/C00001/s3/goods/org/364/240510016372364.jpg?RS=450&SP=1,LAURA MERCIER,[단독구성] 리얼 플로리스 파운데이션 + 컨실러 세트,N/A,N/A,N/A,N/A,N/A,N/A,,,세트
뷰티,메이크업,페이스 메이크업,메이크업 베이스,https://image.sivillage.com/upload/C00001/goods/org/210/220615002646210.jpg?RS=450&SP=1&QT=20,HOURGLASS,베일 미네랄 프라이머 브로드스펙트럼 에스피에프 15 - 점보,N/A,"101,700",10%,4.9,150,N/A,,,N/A
뷰티,메이크업,페이스 메이크업,메이크업 베이스,https://image.sivillage.com/upload/C00001/s3/goods/org/558/240822028685558.jpg?RS=450&SP=1&QT=20,JAJU,자주 톤업 선크림 SPF50+ PA+++,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
뷰티,메이크업,페이스 메이크업,메이크업 베이스,https://image.sivillage.com/upload/C00001/s3/goods/org/413/240621022192413.jpg?RS=450&SP=1&QT=20,HOURGLASS,[유튜버 PICK] 배니쉬 에어브러쉬 프라이머 - 풀,N/A,"77,400",10%,4.9,123,N/A,,,N/A
뷰티,메이크업,페이스 메이크업,메이크업 베이스,https://image.sivillage.com/upload/C00001/goods/org/995/230705005628995.jpg?RS=450&SP=1&QT=20,HOURGLASS,베일 하이드레이팅 스킨 틴트 - 1,N/A,"63,000",10%,4.9,29,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_020330_230705181653.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020329_230705181653.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020328_230705181653.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020327_230705181653.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020326_230705181653.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020325_230705181653.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020324_230705181653.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020323_230705181653.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020322_230705181653.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020321_230705181652.jpg","1,2,3,4,5,6,7,8,9,10",N/A
뷰티,메이크업,페이스 메이크업,메이크업 베이스,https://image.sivillage.com/upload/C00001/goods/org/202/220615002646202.jpg?RS=450&SP=1&QT=20,HOURGLASS,Nº 28 프라이머 세럼 (풀) 30ml,30ml,"92,700",10%,4.9,52,N/A,,,N/A
뷰티,메이크업,페이스 메이크업,메이크업 베이스,https://image.sivillage.com/upload/C00001/s3/goods/org/769/240808026711769.jpg?RS=450&SP=1&QT=20,DOLCE & GABBANA BEAUTY,베르가못 글로우 프라이머,N/A,"63,000",10%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,페이스 메이크업,메이크업 베이스,https://image.sivillage.com/upload/C00001/goods/org/882/221121003536882.jpg?RS=450&SP=1&QT=20,VIDIVICI,스킨 일루미네이션 SPF30 PA++ 40ml,40ml,"48,600",10%,4.9,851,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%ED%95%91%ED%81%AC.png","라이트 핑크,라이트 핑크",N/A
뷰티,메이크업,페이스 메이크업,메이크업 베이스,https://image.sivillage.com/upload/C00001/goods/org/346/230110003803346.jpg?RS=450&SP=1&QT=20,LAURA MERCIER,퓨어 캔버스 파워 프라이머 슈퍼차지드 에센스,N/A,"76,500",10%,5,3,N/A,,,N/A
뷰티,메이크업,페이스 메이크업,메이크업 베이스,https://image.sivillage.com/upload/C00001/goods/org/800/230103003761800.jpg?RS=450&SP=1&QT=20,LAURA MERCIER,틴티드 모이스춰라이저 라이트 리빌러 (0N1 페탈),N/A,"76,500",10%,5,6,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_020218_221229001107.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020219_221229001107.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020220_221229001107.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020221_221229001107.jpg","0N1 페탈,1W1 포슬린,2N1 누드,3N1 샌드",N/A
뷰티,메이크업,페이스 메이크업,메이크업 베이스,https://image.sivillage.com/upload/C00001/s3/goods/org/904/240724025244904.jpg?RS=450&SP=1&QT=20,LAURA MERCIER,퓨어 캔버스 프라이머 블러링 30ml,30ml,"62,100",10%,5,1,N/A,,,N/A
뷰티,메이크업,페이스 메이크업,메이크업 베이스,https://image.sivillage.com/upload/C00001/s3/goods/org/900/240724025244900.jpg?RS=450&SP=1&QT=20,LAURA MERCIER,틴티드 모이스춰라이저 라이트 리빌러 (0W1 펄),N/A,"76,500",10%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,페이스 메이크업,메이크업 베이스,https://image.sivillage.com/upload/C00001/s3/goods/org/871/240221009149871.jpg?RS=450&SP=1&QT=20,LAURA MERCIER,[로라메르시에] 시크릿 카뮤플라지 & 브러쉬 세트,N/A,N/A,N/A,N/A,N/A,N/A,,,세트
뷰티,메이크업,페이스 메이크업,메이크업 베이스,https://image.sivillage.com/upload/C00001/s3/goods/org/902/240724025244902.jpg?RS=450&SP=1&QT=20,LAURA MERCIER,틴티드 모이스춰라이저 라이트 리빌러 (1C0 카메오),N/A,"76,500",10%,N/A,N/A,N/A,,,N/A
