top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,바디케어,기타,기타 바디케어,https://image.sivillage.com/upload/C00001/s3/goods/org/001/240826029278001.jpg?RS=450&SP=1,MALIN+GOETZ,[추석선물] 유칼립투스 세트 (유칼립투스 핸드 바디워시 / 스무딩 바디 젤),N/A,"101,650",5%,N/A,N/A,신규입고,,,세트
뷰티,바디케어,기타,기타 바디케어,https://image.sivillage.com/upload/C00001/goods/org/461/230719005754461.jpg?RS=450&SP=1,HERMÈS,트윌리 데르메스 데오도란트 내추럴 스프레이 150ml,150ml,N/A,N/A,5,5,N/A,,,N/A
뷰티,바디케어,기타,기타 바디케어,https://image.sivillage.com/upload/C00001/s3/goods/org/752/240508016047752.png?RS=450&SP=1,LA PERVA,[알키미아] 퀸 오브 헝가리 워터 150ml,150ml,"98,100",10%,N/A,N/A,N/A,,,N/A
뷰티,바디케어,기타,기타 바디케어,https://image.sivillage.com/upload/C00001/s3/goods/org/159/240823028904159.jpg?RS=450&SP=1,MALIN+GOETZ,보테니컬 데오드란트 73g,73g,"35,150",5%,4.8,8,N/A,,,N/A
뷰티,바디케어,기타,기타 바디케어,https://image.sivillage.com/upload/C00001/goods/org/253/220607002612253.jpg?RS=450&SP=1&QT=20,MALIN+GOETZ,메도우폼 오일 밤 트래블 30g,30g,"24,700",5%,5,5,N/A,,,N/A
뷰티,바디케어,기타,기타 바디케어,https://image.sivillage.com/upload/C00001/s3/goods/org/985/240725025308985.jpg?RS=450&SP=1&QT=20,MALIN+GOETZ,유칼립투스 데오 세트,N/A,"49,400",5%,N/A,N/A,N/A,,,N/A
뷰티,바디케어,기타,기타 바디케어,https://image.sivillage.com/upload/C00001/s3/goods/org/013/240823028904013.jpg?RS=450&SP=1&QT=20,MALIN+GOETZ,베르가못 데오드란트 73g,73g,"36,100",5%,5,9,N/A,,,N/A
뷰티,바디케어,기타,기타 바디케어,https://image.sivillage.com/upload/C00001/s3/goods/org/632/240808026697632.jpg?RS=450&SP=1&QT=20,LA PERVA,[컴포트존] 바디 스트레티지스트 아르니카 150ml,150ml,"47,200",20%,N/A,N/A,N/A,,,N/A
뷰티,바디케어,기타,기타 바디케어,https://image.sivillage.com/upload/C00001/s3/goods/org/148/240823028904148.jpg?RS=450&SP=1&QT=20,MALIN+GOETZ,유칼립투스 데오드란트 73g,73g,"30,400",20%,5,5,N/A,,,N/A
뷰티,바디케어,기타,기타 바디케어,https://image.sivillage.com/upload/C00001/s3/goods/org/002/240823028904002.jpg?RS=450&SP=1&QT=20,MALIN+GOETZ,유칼립투스 데오드란트 미니 28g,28g,"20,000",20%,4.8,88,N/A,,,N/A
뷰티,바디케어,기타,기타 바디케어,https://image.sivillage.com/upload/C00001/s3/goods/org/989/240823028903989.jpg?RS=450&SP=1&QT=20,MALIN+GOETZ,유칼립투스 스무딩 바디 젤 220ml,220ml,"44,800",30%,N/A,N/A,N/A,,,N/A
뷰티,바디케어,기타,기타 바디케어,https://image.sivillage.com/upload/C00001/s3/goods/org/095/240828029578095.jpg?RS=450&SP=1&QT=20,LUSH,로드 오브 미스룰 200ml - 바디 스프레이,200ml,N/A,N/A,5,1,신규입고,,,N/A
뷰티,바디케어,기타,기타 바디케어,https://image.sivillage.com/upload/C00001/s3/goods/org/265/240828029573265.jpg?RS=450&SP=1&QT=20,LUSH,스캔 미 포 스캐얼스 575g - 샤워 젤/바디워시,575g,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,바디케어,기타,기타 바디케어,https://image.sivillage.com/upload/C00001/s3/goods/org/691/240828029577691.jpg?RS=450&SP=1&QT=20,LUSH,로드 오브 미스룰 555g - 샤워 젤/바디워시,555g,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,바디케어,기타,기타 바디케어,https://image.sivillage.com/upload/C00001/goods/org/558/231030006692558.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 유아 어 스타 - 기프트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
