top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,바디케어,기타,핸드케어 세트,https://image.sivillage.com/upload/C00001/goods/org/558/231030006692558.jpg?RS=450&SP=1,LUSH,러쉬 유아 어 스타 - 기프트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,바디케어,기타,핸드케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/972/240830029935972.jpg?RS=450&SP=1,NONFICTION,[24추석] 논픽션 핸드크림 앤 비건립밤 듀오 (3종 중 택1),N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,바디케어,기타,핸드케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/356/240813027516356.jpg?RS=450&SP=1,NONFICTION,[24추석] 논픽션 핸드크림 100ml (3종 중 택1),100ml,N/A,N/A,5,1,N/A,,,N/A
뷰티,바디케어,기타,핸드케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/665/240808026717665.jpg?RS=450&SP=1,LUSH,러쉬 릴렉스 - 기프트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,바디케어,기타,핸드케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/851/240712024464851.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 인터갈락틱 590g - 샤워 젤/바디 워시,590g,N/A,N/A,5,3,N/A,,,N/A
뷰티,바디케어,기타,핸드케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/464/240612020934464.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 더티 - 기프트,N/A,N/A,N/A,5,3,N/A,,,N/A
뷰티,바디케어,기타,핸드케어 세트,https://image.sivillage.com/upload/C00001/goods/org/607/220506002458607.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 가든 파티 - 기프트,N/A,N/A,N/A,5,7,N/A,,,N/A
뷰티,바디케어,기타,핸드케어 세트,https://image.sivillage.com/upload/C00001/goods/org/942/220506002458942.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 로즈 잼 - 기프트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,바디케어,기타,핸드케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/785/240708024162785.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 올 더 베스트 - 기프트,N/A,N/A,N/A,5,7,N/A,,,N/A
뷰티,바디케어,기타,핸드케어 세트,https://image.sivillage.com/upload/C00001/goods/org/590/220506002458590.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 굿 카마 - 기프트,N/A,N/A,N/A,5,2,N/A,,,N/A
뷰티,바디케어,기타,핸드케어 세트,https://image.sivillage.com/upload/C00001/goods/org/938/220506002458938.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 트와일라잇 - 기프트,N/A,N/A,N/A,5,1,N/A,,,N/A
뷰티,바디케어,기타,핸드케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/851/240708024160851.jpg?RS=450&SP=1&QT=20,NONFICTION,논픽션 시트러스 핸드크림 미니 트리오,N/A,N/A,N/A,5,1,N/A,,,N/A
뷰티,바디케어,기타,핸드케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/192/240207008848192.jpg?RS=450&SP=1&QT=20,NEAL`S YARD REMEDIES,[닐스야드 레머디스] 너처링 핸드 크림 컬렉션,N/A,"46,620",10%,N/A,N/A,N/A,,,N/A
