top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/473/240208008871473.jpg?RS=450&SP=1,JAJU,환경을 생각한 착한 소재 비누망_그레이,N/A,N/A,N/A,4.9,174,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/462/240208008871462.jpg?RS=450&SP=1,JAJU,환경을 생각한 착한 소재 비누망,N/A,N/A,N/A,4.9,293,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/085/240206008820085.jpg?RS=450&SP=1,JAJU,부드러운 뾰족 면봉_200P,N/A,N/A,N/A,4.9,95,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/603/240827029420603.jpg?RS=450&SP=1,SISOLOGY,시스올로지 쇼핑백 (메세지 카드 증정),N/A,"1,350",10%,5,1,신규입고,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/868/240825029166868.jpg?RS=450&SP=1&QT=20,THE TOOL LAB,[더툴랩] [여행필수] 더툴랩 멀티 파우치,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/358/240830029969358.jpg?RS=450&SP=1&QT=20,CHICOR,[시코르뷰티툴] 시코르 니들 롤러,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/goods/org/971/230801005859971.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 실키 언더웨어 60g - 더스팅 파우더,60g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/526/240901030133526.jpg?RS=450&SP=1&QT=20,3CE,[3CE] 파우치 스몰,N/A,N/A,N/A,5,4,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/goods/org/266/230519005182266.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 데이지 - 낫랩,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/goods/org/647/230221004241647.jpg?RS=450&SP=1&QT=20,NEAL`S YARD REMEDIES,[닐스야드 레머디스] 샤워젤 & 샴푸용 펌프 (200ML용),(200ML용),"2,520",10%,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/goods/org/276/230519005182276.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 판다 파티 - 낫랩,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/goods/org/272/230519005182272.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 가든 파티 - 낫랩,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/314/240703023468314.jpg?RS=450&SP=1&QT=20,TORHOP,토르홉 종이쇼핑백,N/A,"1,800",10%,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/705/240304009721705.jpg?RS=450&SP=1&QT=20,LUVFUME,러퓸 슬레이트 키,N/A,"9,900",10%,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/goods/org/579/230704005606579.jpg?RS=450&SP=1&QT=20,NEAL`S YARD REMEDIES,[닐스야드 레머디스] 토너용 펌프 스프레이 (200ML용),(200ML용),"2,520",10%,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/goods/org/361/230519005182361.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 더 파이팅 애니멀 테스팅 백 - 캔버스백/에코백,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/340/240829029776340.jpg?RS=450&SP=1&QT=20,INNOANT,에센셜 쇼핑백 S,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/141/231219007655141.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 썸머 솔스티스 - 낫랩,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/goods/org/224/230519005182224.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 코르크 팟 - 악세서리,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/531/240901030133531.jpg?RS=450&SP=1&QT=20,3CE,[3CE] 무드레시피 파우치 미니,N/A,N/A,N/A,5,4,N/A,,,N/A
뷰티,뷰티소품/기기,기타,https://image.sivillage.com/upload/C00001/goods/org/274/230519005182274.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 엠마 - 낫랩,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
