top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,뷰티소품/기기,바디케어,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/772/240302009639772.jpg?RS=450&SP=1,JAJU,유리 네일파일,N/A,N/A,N/A,5,12,N/A,,,N/A
뷰티,뷰티소품/기기,바디케어,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/689/240206008816689.jpg?RS=450&SP=1,JAJU,내추럴 우드핸드 브러쉬_부드러운모,N/A,N/A,N/A,4.9,33,N/A,,,N/A
뷰티,뷰티소품/기기,바디케어,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/688/240206008816688.jpg?RS=450&SP=1,JAJU,내추럴 우드 핸드마사지 브러쉬_단단한모,N/A,N/A,N/A,5,6,N/A,,,N/A
뷰티,뷰티소품/기기,바디케어,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/767/240302009639767.jpg?RS=450&SP=1,JAJU,듀얼 큐티클 푸셔,N/A,N/A,N/A,5,2,N/A,,,N/A
뷰티,뷰티소품/기기,바디케어,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/730/240229009559730.jpg?RS=450&SP=1&QT=20,JAJU,일자 커팅 발톱깎이,N/A,N/A,N/A,5,16,N/A,,,N/A
뷰티,뷰티소품/기기,바디케어,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/096/240302009674096.jpg?RS=450&SP=1&QT=20,JAJU,손톱깎이 소,N/A,N/A,N/A,4.6,11,N/A,,,N/A
뷰티,뷰티소품/기기,바디케어,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/100/240302009674100.jpg?RS=450&SP=1&QT=20,JAJU,손톱깎이 대,N/A,N/A,N/A,5,7,N/A,,,N/A
뷰티,뷰티소품/기기,바디케어,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/559/240808026696559.png?RS=450&SP=1&QT=20,GINOLAX,[지노렉스] 페미닌 클린 티슈 15매 1개 여성 Y존 케어,N/A,"8,100",10%,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,바디케어,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/054/240808026700054.png?RS=450&SP=1&QT=20,GINOLAX,[지노렉스] 페미닌 클린 티슈 30매 1개 여성 Y존 케어,N/A,"13,500",10%,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,바디케어,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/906/240830029990906.jpg?RS=450&SP=1&QT=20,DONGGUBAT,[동구밭] 삼베 비누망,N/A,N/A,N/A,5,11,N/A,,,N/A
뷰티,뷰티소품/기기,바디케어,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/009/240901030134009.jpg?RS=450&SP=1&QT=20,L`OCCITANE,[록시땅] 화이트 라벤더 샤워젤 250ML,250ML,"29,700",10%,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,바디케어,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/873/240825029118873.jpg?RS=450&SP=1&QT=20,DONGGUBAT,[동구밭] 곤약 스펀지 바디용,N/A,N/A,N/A,5,1,N/A,,,N/A
뷰티,뷰티소품/기기,바디케어,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/123/240715024607123.jpg?RS=450&SP=1&QT=20,AUSTIN AUSTIN,[오스틴오스틴] 세라믹 솝 디쉬,N/A,"56,880",28%,5,1,N/A,,,세일
