top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/381/240206008815381.jpg?RS=450&SP=1,JAJU,일자 세안밴드,N/A,N/A,N/A,4.9,42,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/631/240206008815631.jpg?RS=450&SP=1,JAJU,무팁 머리끈(소)_9입,N/A,N/A,N/A,4.9,49,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/101/240108007969101.jpg?RS=450&SP=1,JAJU,꼬임 헤어집게(대),N/A,N/A,N/A,5,17,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/450/240208008871450.jpg?RS=450&SP=1,JAJU,고무 코팅 똑딱핀_4개입,N/A,N/A,N/A,5,52,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/382/240206008815382.jpg?RS=450&SP=1&QT=20,JAJU,주름 세안밴드,N/A,N/A,N/A,4.9,54,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/632/240206008815632.jpg?RS=450&SP=1&QT=20,JAJU,스프링 머리끈 3입,N/A,N/A,N/A,5,55,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/914/240206008814914.jpg?RS=450&SP=1&QT=20,JAJU,앞머리용 대왕 헤어롤,N/A,N/A,N/A,4.9,114,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/718/240718024829718.jpg?RS=450&SP=1&QT=20,JAJU,플랫 헤어타이 2개,N/A,N/A,N/A,3.6,3,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/448/240208008871448.jpg?RS=450&SP=1&QT=20,JAJU,대용량 고급 실핀_27개입,N/A,N/A,N/A,4.9,29,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/747/240702023309747.jpg?RS=450&SP=1&QT=20,JAJU,와이드 헤드밴드,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/524/240701023187524.jpg?RS=450&SP=1&QT=20,JAJU,실리콘 헤어타이 2개,N/A,N/A,N/A,5,3,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/goods/org/577/230206004038577.jpg?RS=450&SP=1&QT=20,VODANA,고데기 레더 케이스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/goods/org/930/220506002458930.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 팬지 퍼퓸&낫랩 - 기프트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/goods/org/934/220506002458934.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 더티 퍼퓸&낫랩 - 기프트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/goods/org/938/220506002458938.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 트와일라잇 - 기프트,N/A,N/A,N/A,5,1,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/goods/org/932/220506002458932.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 카마 퍼퓸&낫랩 - 기프트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/319/240419014260319.jpg?RS=450&SP=1&QT=20,LUSH,샴푸 바 틴 - 틴 케이스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/goods/org/249/230519005182249.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 러쉬 리빙 - 낫랩,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/goods/org/266/230519005182266.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 데이지 - 낫랩,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/goods/org/276/230519005182276.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 판다 파티 - 낫랩,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/goods/org/272/230519005182272.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 가든 파티 - 낫랩,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/goods/org/807/230413004709807.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 셰이프 앤 컬러 - 낫랩,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/141/231219007655141.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 썸머 솔스티스 - 낫랩,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/goods/org/274/230519005182274.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 엠마 - 낫랩,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/goods/org/284/230519005182284.jpg?RS=450&SP=1,LUSH,러쉬 몽키 앤 퍼시먼 트리 - 낫랩,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/581/240530018910581.jpg?RS=450&SP=1,VODANA,클리닉 패드,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/949/240826029278949.jpg?RS=450&SP=1,VODANA,포켓 미니 판고데기 프리볼트 아이보리무드,N/A,"26,900",18%,4.5,10,N/A,,,세일
뷰티,뷰티소품/기기,헤어케어,헤어 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/692/240619021982692.jpg?RS=450&SP=1,VODANA,올인원 스토리지박스,N/A,"16,500",15%,N/A,N/A,N/A,,,세일
