top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,스킨케어,로션/에멀전/크림,화이트닝,https://image.sivillage.com/upload/C00001/s3/goods/org/116/240814027652116.jpg?RS=450&SP=1,BEAUTYMED,뷰티메드 클라리화잉 미백케어 크림 150ml,150ml,"162,000",10%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,화이트닝,https://image.sivillage.com/upload/C00001/goods/org/238/230822006031238.jpg?RS=450&SP=1,ODEAR,오데어 바이오램프 크림 50ml,50ml,"74,700",10%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,화이트닝,https://image.sivillage.com/upload/C00001/goods/org/384/230829006077384.jpg?RS=450&SP=1,koy,코이 블룸 글로우 래디언스 크림 50ml,50ml,"52,200",10%,N/A,N/A,N/A,,,세일
뷰티,스킨케어,로션/에멀전/크림,화이트닝,https://image.sivillage.com/upload/C00001/goods/org/344/230829006077344.jpg?RS=450&SP=1,koy,코이 블룸 글로우 로션 토너 150ml,150ml,"37,800",10%,5,1,N/A,,,세일
뷰티,스킨케어,로션/에멀전/크림,화이트닝,https://image.sivillage.com/upload/C00001/goods/org/861/220504002450861.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 코스메틱 래드 45g - 페이셜 모이스춰라이저,45g,N/A,N/A,5,2,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,화이트닝,https://image.sivillage.com/upload/C00001/s3/goods/org/938/240814027650938.png?RS=450&SP=1&QT=20,ANDALOU,안달로우 퍼플 캐롯 비타민C 크림 50g,50g,"37,800",10%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,화이트닝,https://image.sivillage.com/upload/C00001/s3/goods/org/441/240524018232441.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 브레스 오브 프레쉬 에어 250g - 토너/스킨,250g,N/A,N/A,5,1,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,화이트닝,https://image.sivillage.com/upload/C00001/goods/org/940/220504002450940.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 브레스 오브 프레쉬 에어 100g - 토너/스킨,100g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,화이트닝,https://image.sivillage.com/upload/C00001/goods/org/895/220504002450895.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 티 트리 워터 100g - 토너/스킨,100g,N/A,N/A,5,5,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,화이트닝,https://image.sivillage.com/upload/C00001/s3/goods/org/727/240730025682727.jpg?RS=450&SP=1&QT=20,SUM37,[숨37˚] 타임에너지 브라이트 루미너스 크림 50ml,50ml,"68,000",20%,N/A,N/A,N/A,,,세일
뷰티,스킨케어,로션/에멀전/크림,화이트닝,https://image.sivillage.com/upload/C00001/goods/org/883/220504002450883.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 티 트리 워터 250g - 토너/스킨,250g,N/A,N/A,5,13,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,화이트닝,https://image.sivillage.com/upload/C00001/s3/goods/org/933/240718024833933.png?RS=450&SP=1&QT=20,belif,[빌리프]아쿠아 밤 비타 워터 크림 점보 썸머 에디션,N/A,"58,400",20%,N/A,N/A,N/A,,,세일
뷰티,스킨케어,로션/에멀전/크림,화이트닝,https://image.sivillage.com/upload/C00001/s3/goods/org/843/240729025614843.jpg?RS=450&SP=1,SUM37,[숨37˚] 타임에너지 브라이트 스팟 코렉팅 컨센트레이트 기획세트,N/A,"54,400",20%,N/A,N/A,N/A,,,세일
뷰티,스킨케어,로션/에멀전/크림,화이트닝,https://image.sivillage.com/upload/C00001/goods/org/921/230616005456921.jpg?RS=450&SP=1,TRILOGY,[트릴로지] 비타민씨 모이스처라이징 로션 50ml,50ml,"41,800",5%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,화이트닝,https://image.sivillage.com/upload/C00001/s3/goods/org/759/240730025682759.jpg?RS=450&SP=1,SUM37,[숨37˚] 타임에너지 브라이트 리파이닝 에멀전 120ml,120ml,"48,000",20%,N/A,N/A,N/A,,,세일
