top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/goods/org/260/230817005998260.jpg?RS=450&SP=1,VIDIVICI,유브이 에센스 래디언스 프로텍티브 세럼 SPF 50+ PA ++++,N/A,"46,800",10%,4.9,77,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/goods/org/642/210604001260642.jpg?RS=450&SP=1,POIRET,뽀아레 바즈 파흐풰,N/A,N/A,N/A,5,52,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/goods/org/523/230818006003523.jpg?RS=450&SP=1,VIDIVICI,유브이 에센스 마일드 프로텍티브 밀크 SPF 50+ PA++++,N/A,"46,800",10%,4.9,330,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/goods/org/419/220923003172419.jpg?RS=450&SP=1,POIRET,뽀아레 브왈 파흐풰,N/A,N/A,N/A,4.9,30,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/s3/goods/org/304/240822028685304.jpg?RS=450&SP=1&QT=20,JAJU,자주 이지워시 선로션 SPF50+ PA++++150ml,PA++++150ml,N/A,N/A,N/A,N/A,신상,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/s3/goods/org/567/240822028685567.jpg?RS=450&SP=1&QT=20,JAJU,자주 노세범 선크림 SPF50+ PA+++,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/s3/goods/org/834/240621022283834.jpg?RS=450&SP=1&QT=20,VIDIVICI,유브이 에센스 워터리 프로텍티브 크림 SPF 50+ PA++++,N/A,"40,500",10%,4.9,120,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/goods/org/569/230818006003569.jpg?RS=450&SP=1&QT=20,VIDIVICI,유브이 쉴드 투명 패치,N/A,"53,100",10%,4.5,4,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/s3/goods/org/563/240822028685563.jpg?RS=450&SP=1&QT=20,JAJU,자주 수분 선크림 SPF50+ PA+++,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/goods/org/560/220927003199560.jpg?RS=450&SP=1&QT=20,YUNJAC,화이트 래디언스 선 프로텍션 [SPF 50+ PA++++],N/A,"52,250",5%,5,58,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/s3/goods/org/471/240822028697471.jpg?RS=450&SP=1&QT=20,VIDIVICI,[Exclusive] 유브이 에센스 워터리 프로텍티브 크림 & 선스틱 세트 (사은품 증정),[Exclusive],"75,600",10%,5,4,N/A,,,세트
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/goods/org/079/220715002808079.jpg?RS=450&SP=1&QT=20,YUNJAC,미네랄 틴티드 선 프로텍션 [SPF 43 PA+++],N/A,"47,500",5%,4.8,118,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/goods/org/800/230103003761800.jpg?RS=450&SP=1&QT=20,LAURA MERCIER,틴티드 모이스춰라이저 라이트 리빌러 (0N1 페탈),N/A,"76,500",10%,5,6,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_020218_221229001107.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020219_221229001107.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020220_221229001107.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020221_221229001107.jpg","0N1 페탈,1W1 포슬린,2N1 누드,3N1 샌드",N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/goods/org/667/210504001214667.jpg?RS=450&SP=1&QT=20,YUNJAC,데일리 라이트웨이트 선 프로텍션 [SPF 50+ PA++++],N/A,"45,600",5%,4.9,235,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/goods/org/365/230818006003365.jpg?RS=450&SP=1&QT=20,VIDIVICI,유브이 쉴드 골프 패치,N/A,"26,100",10%,4.9,132,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/goods/org/429/230918006418429.jpg?RS=450&SP=1&QT=20,VIDIVICI,유브이 에센스 선 쿠션 리필 SPF50+ PA++++,N/A,"22,500",10%,5,9,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/goods/org/556/220927003199556.jpg?RS=450&SP=1&QT=20,YUNJAC,울트라 컴포트 워터프루프 선 프로텍션 [SPF 50+ PA++++],N/A,"47,500",5%,4.9,30,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/goods/org/526/230818006003526.jpg?RS=450&SP=1&QT=20,VIDIVICI,유브이 에센스 선 스틱 SPF 50+ PA++++,N/A,"35,100",10%,4.9,260,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/goods/org/683/210504001214683.jpg?RS=450&SP=1&QT=20,YUNJAC,베이비후드 미네랄베이스 선프로텍션,N/A,"36,100",5%,4.9,105,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/s3/goods/org/342/240901030136342.jpg?RS=450&SP=1&QT=20,SISLEY,[시슬리] 쉬뻬 쑤엥 쏠레르 비자쥬 SPF 50+ 40 ml 세트,ml,"220,500",10%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/s3/goods/org/093/240901030140093.jpg?RS=450&SP=1&QT=20,SISLEY,[시슬리] 쉬빼 쑤앵 쏠레르 비자쥬 SPF 50+ 40ml 세트,40ml,"220,500",10%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/s3/goods/org/902/240530018933902.jpg?RS=450&SP=1&QT=20,LA ROSEE,라로제 썸머 3종 클린 선스틱 SPF50 + 선크림 SPF 50+ + 멀티오일 세트,N/A,"114,000",5%,4.8,8,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/s3/goods/org/739/240521017760739.jpg?RS=450&SP=1&QT=20,SULWHASOO,설화수 상백선크림 50ml 기획세트 (옵션) SPF 50+/PA++++,50ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/s3/goods/org/099/240509016254099.jpg?RS=450&SP=1&QT=20,LA ROSEE,라로제 클린 선스틱 SPF50 PA++++ 18.5g 더블 세트 (워터프루프),18.5g,"55,100",5%,4.6,16,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/s3/goods/org/586/240901030170586.jpg?RS=450&SP=1&QT=20,CLINIQUE,[크리니크] 크리니크 이븐 베터 다크 스팟 디펜스 SPF50/PA++++ 02 쉬어,N/A,"50,400",10%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/s3/goods/org/290/240901030170290.jpg?RS=450&SP=1&QT=20,CLINIQUE,[크리니크] 크리니크 이븐 베터 다크 스팟 디펜스 SPF50/PA++++ 01 쉬어틴트,N/A,"50,400",10%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/s3/goods/org/904/240901030135904.jpg?RS=450&SP=1&QT=20,DARPHIN,[달팡] 인트랄 엔바이론멘탈 라이트 웨이트 쉴드 SPF 50 30ml,30ml,"64,800",10%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/s3/goods/org/160/240901030227160.jpg?RS=450&SP=1&QT=20,SHISEIDO,[시세이도] 파란자차 50ml 세트 (7ml*4개 추가 증정),50ml,"58,500",10%,5,1,N/A,,,N/A
뷰티,스킨케어,선케어,https://image.sivillage.com/upload/C00001/s3/goods/org/099/240516017143099.jpg?RS=450&SP=1&QT=20,SULWHASOO,[기프트박스] 상백선크림 50ml [SPF50+/PA++++],50ml,N/A,N/A,5,2,N/A,,,N/A
