top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/goods/org/648/200803000808648.png?RS=450&SP=1,Natura Bisse,다이아몬드 미스트 200ml,200ml,N/A,N/A,5,42,N/A,,,N/A
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/goods/org/622/210504001214622.jpg?RS=450&SP=1,YUNJAC,백년초 앤 우질두 수분 진정 미스트,N/A,"39,900",5%,4.8,157,N/A,,,N/A
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/s3/goods/org/137/240411013425137.jpg?RS=450&SP=1,LA PERVA,[컴포트존] 하이드라메모리 페이스 미스트 100ml,100ml,"31,200",20%,5,3,N/A,,,N/A
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/goods/org/121/230214004183121.jpg?RS=450&SP=1,LA BRUKET,하이드라 퍼밍 씨 미스트 60ml,60ml,"46,750",15%,5,8,N/A,,,N/A
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/s3/goods/org/252/240901030134252.jpg?RS=450&SP=1&QT=20,CAUDALIE,[꼬달리] 뷰티엘릭시르 100ml,100ml,"62,100",10%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/s3/goods/org/611/240214008974611.jpg?RS=450&SP=1&QT=20,HERA,헤라 컴피 리바이탈라이징 세럼 미스트 90ml,90ml,"73,800",10%,N/A,N/A,N/A,,,세일
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/s3/goods/org/899/240613021055899.png?RS=450&SP=1&QT=20,WONDERTREE,[선물 포장 가능] 민감 피부도 당당한 민낯 광채 카밍 모이스처 토너 미스트,N/A,"52,200",10%,5,3,N/A,,,N/A
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/s3/goods/org/449/240830029832449.jpg?RS=450&SP=1&QT=20,GROUNDPLAN,[그라운드플랜] 미스트 330ml,330ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/s3/goods/org/985/240518017373985.png?RS=450&SP=1&QT=20,LA ROSEE,라로제 모이스춰라이징 토닉 로션 200ml (멀티 토너),200ml,"29,450",5%,4.9,12,N/A,,,N/A
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/s3/goods/org/137/240812027305137.jpg?RS=450&SP=1&QT=20,SUM37,[숨37˚] 시크릿 미스트 기획세트,N/A,"48,000",20%,N/A,N/A,N/A,,,세일
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/s3/goods/org/312/240901030211312.jpg?RS=450&SP=1&QT=20,ESTHEDERM,[에스테덤] 씨티 프로텍트 미스트 100ml,100ml,"58,650",15%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/s3/goods/org/314/240901030177314.jpg?RS=450&SP=1&QT=20,JUNG SAEM MOOL,[정샘물] 에센셜 물 마이크로 피팅 미스트 55ml,55ml,"18,000",10%,5,5,N/A,,,N/A
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/goods/org/902/220504002450902.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 오 로마 워터 250g - 토너/스킨,250g,N/A,N/A,5,2,N/A,,,N/A
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/s3/goods/org/239/240901030134239.jpg?RS=450&SP=1&QT=20,CAUDALIE,[꼬달리] 그레이프 워터 75ml,75ml,"12,600",10%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/s3/goods/org/441/240524018232441.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 브레스 오브 프레쉬 에어 250g - 토너/스킨,250g,N/A,N/A,5,1,N/A,,,N/A
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/goods/org/940/220504002450940.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 브레스 오브 프레쉬 에어 100g - 토너/스킨,100g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/s3/goods/org/173/240801025845173.jpg?RS=450&SP=1&QT=20,d`Alba,[달바] 화이트 트러플 퍼스트 아로마틱 스프레이 세럼 120ml,120ml,"37,800",10%,5,1,N/A,,,N/A
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/goods/org/895/220504002450895.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 티 트리 워터 100g - 토너/스킨,100g,N/A,N/A,5,5,N/A,,,N/A
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/s3/goods/org/251/240901030150251.jpg?RS=450&SP=1&QT=20,ESTHEDERM,[에스테덤] 셀룰러 워터 미스트 100ml,100ml,"28,800",20%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,스킨_토너_미스트,미스트,https://image.sivillage.com/upload/C00001/s3/goods/org/804/240830029820804.jpg?RS=450&SP=1&QT=20,NOTSEEBACK,[낫씨백] 원 샷 케이프 알로에 [미스트타입] (진정효과),N/A,"10,800",10%,5,3,N/A,,,N/A
