top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/s3/goods/org/755/240823028909755.jpg?RS=450&SP=1,YUNJAC,알파낙스 더블세럼 50ml,50ml,"332,500",5%,N/A,N/A,신규입고,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/733/220930003231733.jpg?RS=450&SP=1,LA PERVA,[닥터바바라스텀] 더 굿 씨 비타민 씨 세럼 30ml,30ml,N/A,N/A,4.7,8,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/633/210504001214633.jpg?RS=450&SP=1,YUNJAC,자목숙 안티에이징 에센스,N/A,"123,500",5%,4.9,90,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/731/220930003231731.jpg?RS=450&SP=1,LA PERVA,[닥터바바라스텀] 더 배터 비 나이아신 아마이드 세럼 30ml   ,30ml,N/A,N/A,5,2,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/896/230307004399896.jpg?RS=450&SP=1&QT=20,LA PERVA,[닥터바바라스텀] 세럼 30ml,30ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/919/220930003231919.jpg?RS=450&SP=1&QT=20,LA PERVA,[닥터바바라스텀] 브라이트닝 세럼 30ml,30ml,N/A,N/A,5,1,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/263/230621005492263.jpg?RS=450&SP=1&QT=20,LA PERVA,[닥터바바라스텀] 클래리파잉 세럼 30ml,30ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/s3/goods/org/595/240604019547595.png?RS=450&SP=1&QT=20,LA PERVA,[수잔카프만] 뉴트리언트 세럼 30ml,30ml,N/A,N/A,5,2,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/s3/goods/org/136/240329012395136.jpg?RS=450&SP=1&QT=20,LA PERVA,[닥터바바라스텀] 슈퍼 아이 세럼 20ml,20ml,N/A,N/A,5,1,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/776/220930003231776.jpg?RS=450&SP=1&QT=20,LA PERVA,[닥터바바라스텀] 나이트 세럼 30ml   ,30ml,N/A,N/A,5,1,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/307/230908006338307.png?RS=450&SP=1&QT=20,Natura Bisse,다이아몬드 라이프 인퓨전 25ml,25ml,N/A,N/A,5,1,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/304/230908006337304.png?RS=450&SP=1&QT=20,Natura Bisse,인히빗 하이 데피니션 60ml,60ml,N/A,N/A,4.5,4,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/939/220930003231939.jpg?RS=450&SP=1&QT=20,LA PERVA,[닥터바바라스텀] 히알루로닉 세럼 30ml,30ml,N/A,N/A,5,14,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/660/230913006380660.jpg?RS=450&SP=1&QT=20,Natura Bisse,다이아몬드 익스트림 세럼 40ml,40ml,N/A,N/A,5,2,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/629/210504001214629.jpg?RS=450&SP=1&QT=20,YUNJAC,전초 컨센트레이트 75ml,75ml,"109,250",5%,4.9,690,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_010024_240216153359.png,https://image.sivillage.com/upload/C00001/goods/color/color_010074_240216153349.png","75ml,40ml",N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/007/230907006307007.png?RS=450&SP=1&QT=20,Natura Bisse,다이아몬드 코쿤 하이드레이팅 에센스 200ml,200ml,N/A,N/A,4.9,67,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/s3/goods/org/135/240830029960135.jpg?RS=450&SP=1&QT=20,VIDIVICI,하이드라 인텐스 히알루론7 에센스 인 로션,N/A,"44,100",10%,4.9,136,신규입고,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/668/220706002750668.jpg?RS=450&SP=1&QT=20,YUNJAC,카밍 앤 컴포팅 스페셜 세트,N/A,"76,500",10%,4.9,157,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/623/230907006183623.jpg?RS=450&SP=1&QT=20,Santa Maria Novella,이드랄리아 세럼 30ml (수분 세럼),30ml,"73,800",10%,4.9,172,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/371/231031006703371.jpg?RS=450&SP=1&QT=20,YUNJAC,리커버링 앰플 30ml,30ml,"102,600",5%,5,38,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/s3/goods/org/108/240604019632108.png?RS=450&SP=1&QT=20,LA PERVA,[수잔카프만] 하이드레이팅 페이스 젤,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/249/230818006005249.jpg?RS=450&SP=1&QT=20,VIDIVICI,뉴오더 퍼밍 오일 세럼,N/A,"117,000",10%,5,39,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/s3/goods/org/626/240308010018626.jpg?RS=450&SP=1&QT=20,LA PERVA,[이브롬] 리뉴얼 트리트먼트 오일 30ml,30ml,"180,000",10%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/739/220930003231739.jpg?RS=450&SP=1&QT=20,LA PERVA,[닥터바바라스텀] 글로우 드롭스 30ml,30ml,"197,100",10%,5,3,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/s3/goods/org/749/240520017582749.jpg?RS=450&SP=1&QT=20,LA PERVA,[닥터바바라스텀] 블레미쉬 컨트롤 세럼 30ml,30ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/s3/goods/org/097/240822028697097.jpg?RS=450&SP=1&QT=20,VIDIVICI,[Exclusive] 스킨 일루미네이션 + 일루미네이션 쿠션 세트 (사은품 증정),[Exclusive],N/A,N/A,5,7,N/A,,,세트
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/645/230907006321645.jpg?RS=450&SP=1&QT=20,Santa Maria Novella,아쿠아 디 로즈 세럼 30ml,30ml,"72,000",10%,4.9,96,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/537/220628002706537.jpg?RS=450&SP=1&QT=20,YUNJAC,카밍 앤 컴포팅 에멀전,N/A,"42,750",5%,4.9,55,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/130/230214004183130.jpg?RS=450&SP=1&QT=20,LA BRUKET,리플레니싱 세럼 30ml,30ml,"100,000",20%,5,9,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/s3/goods/org/017/240411013425017.jpg?RS=450&SP=1&QT=20,LA PERVA,[컴포트존] 하이드라메모리 워터 세럼 30ml,30ml,"71,200",20%,5,1,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,수분/영양,https://image.sivillage.com/upload/C00001/s3/goods/org/924/240411013424924.jpg?RS=450&SP=1&QT=20,LA PERVA,[컴포트존] 하이드라메모리 워터 세럼 (리필) 30ml,30ml,"60,000",20%,N/A,N/A,N/A,,,N/A
