top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,스킨케어,에센스/세럼/앰플,화이트닝,https://image.sivillage.com/upload/C00001/goods/org/919/220930003231919.jpg?RS=450&SP=1,LA PERVA,[닥터바바라스텀] 브라이트닝 세럼 30ml,30ml,N/A,N/A,5,1,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,화이트닝,https://image.sivillage.com/upload/C00001/s3/goods/org/171/240604019641171.jpg?RS=450&SP=1,Natura Bisse,다이아몬드 루미너스 퍼펙팅 세럼 40ml,40ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,화이트닝,https://image.sivillage.com/upload/C00001/goods/org/009/210602001253009.jpg?RS=450&SP=1,SWISS PERFECTION,RS-28 셀룰라 브라이트닝 세럼,N/A,N/A,N/A,5,4,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,화이트닝,https://image.sivillage.com/upload/C00001/s3/goods/org/212/231207007311212.jpg?RS=450&SP=1,YUNJAC,브라이트닝 앰플 30ml,30ml,"102,600",5%,5,8,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,화이트닝,https://image.sivillage.com/upload/C00001/goods/org/739/220930003231739.jpg?RS=450&SP=1&QT=20,LA PERVA,[닥터바바라스텀] 글로우 드롭스 30ml,30ml,"197,100",10%,5,3,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,화이트닝,https://image.sivillage.com/upload/C00001/goods/org/130/230214004183130.jpg?RS=450&SP=1&QT=20,LA BRUKET,리플레니싱 세럼 30ml,30ml,"100,000",20%,5,9,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,화이트닝,https://image.sivillage.com/upload/C00001/s3/goods/org/898/240814027653898.jpg?RS=450&SP=1&QT=20,BEAUTYMED,뷰티메드 ABM 클라리화잉 미백케어 세럼 100ml,100ml,"112,500",10%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,화이트닝,https://image.sivillage.com/upload/C00001/s3/goods/org/845/240125008391845.jpg?RS=450&SP=1&QT=20,SULWHASOO,설화수 자음생세럼 브라이트닝 30ml,30ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,화이트닝,https://image.sivillage.com/upload/C00001/s3/goods/org/890/240617021612890.png?RS=450&SP=1&QT=20,WONDERTREE,[선물 포장 가능] 톤업 탄력 항산화 카밍 브라이트 세럼,N/A,"162,000",10%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,화이트닝,https://image.sivillage.com/upload/C00001/s3/goods/org/312/240802026003312.jpg?RS=450&SP=1&QT=20,HANYUL,한율 달빛유자C 세럼 50ml,50ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,에센스/세럼/앰플,화이트닝,https://image.sivillage.com/upload/C00001/s3/goods/org/071/240812027282071.png?RS=450&SP=1&QT=20,OHUI,[오휘] 익스트림 화이트 멜라토닝 앰플 기획세트,N/A,"60,000",20%,N/A,N/A,N/A,,,세일
뷰티,스킨케어,에센스/세럼/앰플,화이트닝,https://image.sivillage.com/upload/C00001/goods/org/400/230404004642400.png?RS=450&SP=1&QT=20,BY WISHTREND,바이위시트렌드 비타민C 21.5% 세럼 30ml 듀오 세트,30ml,"53,640",10%,4.7,8,N/A,,,N/A
