top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/026/230907006236026.jpg?RS=450&SP=1,Santa Maria Novella,사포네 멜로그라노 토일레떼 (솝),N/A,"20,700",10%,4.9,194,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/146/210504001214146.jpg?RS=450&SP=1,Santa Maria Novella,사포네 타바코 토스카노 (솝),N/A,"31,500",10%,4.9,25,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/010/210504001214010.jpg?RS=450&SP=1,Santa Maria Novella,사포네 라떼 로사 (솝),N/A,"20,700",10%,4.9,100,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/files/product/01/P0000/11/65/69/NU/01P0000116569_NU.jpg?RS=450&SP=1,Santa Maria Novella,사포네 워모 파출리,N/A,"20,700",10%,5,5,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/797/230907006230797.jpg?RS=450&SP=1&QT=20,Santa Maria Novella,사포네 벨루티나 (솝),N/A,"42,300",10%,4.9,180,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/012/210504001214012.jpg?RS=450&SP=1&QT=20,Santa Maria Novella,사포네 알라 만돌라 (솝),N/A,"20,700",10%,5,39,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/279/230907006241279.jpg?RS=450&SP=1&QT=20,Santa Maria Novella,사포네 멜로그라노 바뇨 (솝),N/A,"31,500",10%,4.9,105,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/039/210504001214039.jpg?RS=450&SP=1&QT=20,Santa Maria Novella,사포네 올리오 돌리바 (솝),N/A,"31,500",10%,5,4,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/008/210504001214008.jpg?RS=450&SP=1&QT=20,Santa Maria Novella,사포네 라떼 가데니아 (솝),N/A,"20,700",10%,4.9,84,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/460/230117003871460.jpg?RS=450&SP=1&QT=20,Santa Maria Novella,사포네 라떼 가데니아(솝),N/A,"20,700",10%,4.9,48,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/623/230907006165623.jpg?RS=450&SP=1&QT=20,Santa Maria Novella,사포네 워모 콜로니아 루사 (솝),N/A,"20,700",10%,5,11,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/710/220825003007710.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 배니싱 크림 셀프-프리저빙 45g - 페이셜 모이스춰라이저,45g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/590/220506002458590.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 굿 카마 - 기프트,N/A,N/A,N/A,5,2,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/s3/goods/org/837/240708024158837.jpg?RS=450&SP=1&QT=20,SULWHASOO,설화수 시그니처 진생 페이셜 솝 120g 2개,120g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/924/230524005228924.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 가디스 100g - 솝/비누,100g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/s3/goods/org/401/240613021013401.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 렛 더 굿 타임즈 롤 100g - 프레쉬 클렌저/클렌징,100g,N/A,N/A,5,1,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/930/220613002639930.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 해피 스킨 100g - 페이셜 엑스폴리에이터,100g,N/A,N/A,4.8,7,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/s3/goods/org/389/240613021013389.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 허벌리즘 100g - 프레쉬 클렌저/클렌징,100g,N/A,N/A,5,12,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/s3/goods/org/961/240624022491961.jpg?RS=450&SP=1&QT=20,OPPIDUM,라 세브 데 자브르 세안비누 45g,45g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/953/230518005168953.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 모비스 120g - 페이셜 솝/세안 비누,120g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/s3/goods/org/958/240624022491958.jpg?RS=450&SP=1&QT=20,OPPIDUM,뉴트르 압솔류 3분 마스크팩 비누 45g,45g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/988/220504002450988.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 프레쉬 파머시 120g - 페이셜 솝/세안 비누,120g,N/A,N/A,5,7,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/s3/goods/org/067/240624022515067.jpg?RS=450&SP=1&QT=20,OPPIDUM,브와 드 로즈 3분 마스크팩 비누 45g,45g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/954/220504002450954.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 컵 오 커피 325g - 페이스 앤 바디 마스크/마스크 팩,325g,N/A,N/A,5,5,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/s3/goods/org/399/240613021013399.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 아쿠아 마리나 100g - 프레쉬 클렌저/클렌징,100g,N/A,N/A,5,2,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/goods/org/974/220504002450974.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 컵 오 커피 130g - 페이스 앤 바디 마스크/마스크 팩,130g,N/A,N/A,5,4,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/s3/goods/org/382/240613021013382.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 다크 엔젤스 100g - 프레쉬 클렌저/클렌징,100g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/s3/goods/org/396/240613021013396.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 엔젤스 온 배어 스킨 100g - 프레쉬 클렌저/클렌징,100g,N/A,N/A,5,11,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/s3/goods/org/960/240624022491960.jpg?RS=450&SP=1&QT=20,OPPIDUM,라 세브 데 자브르 3분 마스크팩 비누 45g,45g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/s3/goods/org/068/240624022515068.jpg?RS=450&SP=1&QT=20,OPPIDUM,브와 드 로즈 세안비누 45g,45g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,클렌저/스크럽,페이셜 솝,https://image.sivillage.com/upload/C00001/s3/goods/org/959/240624022491959.jpg?RS=450&SP=1&QT=20,OPPIDUM,뉴트르 압솔류 세안비누 45g,45g,N/A,N/A,N/A,N/A,N/A,,,N/A
