top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/956/231108006980956.jpg?RS=450&SP=1,DIPTYQUE,오 드 퍼퓸 플레르 드 뽀 75ml,75ml,"265,050",5%,4.9,4345,N/A,,,N/A
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/551/231108006981551.jpg?RS=450&SP=1,DIPTYQUE,오 드 퍼퓸 오르페옹 75ml,75ml,"265,050",5%,4.9,2316,N/A,,,N/A
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/s3/goods/org/838/240819028284838.jpg?RS=450&SP=1,BYREDO,모하비 고스트 오 드 퍼퓸 100ml,100ml,"370,500",5%,4.9,1538,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_150010_220620131152.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_150009_220620131152.jpg","100ml,50ml",N/A
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/501/231108006981501.jpg?RS=450&SP=1,DIPTYQUE,오 드 퍼퓸 탐 다오 75ml,75ml,"265,050",5%,4.9,318,N/A,,,N/A
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/505/231108006981505.jpg?RS=450&SP=1&QT=20,DIPTYQUE,오 드 퍼퓸 도손 75ml,75ml,"265,050",5%,4.9,1129,N/A,,,N/A
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/s3/goods/org/892/240819028284892.jpg?RS=450&SP=1&QT=20,BYREDO,블랑쉬 오 드 퍼퓸 50ml,50ml,"266,000",5%,4.9,1872,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_150009_220620131152.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_150010_220620131152.jpg","50ml,100ml",N/A
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/s3/goods/org/964/240819028284964.jpg?RS=450&SP=1&QT=20,BYREDO,집시 워터 오 드 퍼퓸 100ml,100ml,"370,500",5%,4.9,593,N/A,,,N/A
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/s3/goods/org/431/240403012843431.jpg?RS=450&SP=1&QT=20,DIPTYQUE,오 드 퍼퓸 롬브르 단 로 75ml,75ml,"265,050",5%,4.9,2146,N/A,,,N/A
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/s3/goods/org/893/240820028362893.jpg?RS=450&SP=1&QT=20,BYREDO,집시 워터 오 드 퍼퓸 50ml,50ml,"266,000",5%,4.9,822,N/A,,,N/A
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/423/231108006981423.jpg?RS=450&SP=1&QT=20,DIPTYQUE,오 드 퍼퓸 필로시코스 75ml,75ml,"265,050",5%,4.9,292,N/A,,,N/A
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/970/230907006215970.jpg?RS=450&SP=1&QT=20,BYREDO,인플로레센스 오 드 퍼퓸 100ml,100ml,"370,500",5%,4.9,258,N/A,,,N/A
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/s3/goods/org/882/240819028284882.jpg?RS=450&SP=1&QT=20,BYREDO,발 다프리크 오 드 퍼퓸 100ml,100ml,"370,500",5%,4.9,1158,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_150010_220620131152.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_150009_220620131152.jpg","100ml,50ml",N/A
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/s3/goods/org/888/240819028284888.jpg?RS=450&SP=1&QT=20,BYREDO,라 튤립 오 드 퍼퓸 100ml,100ml,"370,500",5%,4.9,1289,N/A,,,N/A
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/960/231108006980960.jpg?RS=450&SP=1&QT=20,DIPTYQUE,오 드 퍼퓸 오 로즈 75ml,75ml,"265,050",5%,4.9,932,N/A,,,N/A
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/s3/goods/org/889/240820028362889.jpg?RS=450&SP=1&QT=20,BYREDO,라 튤립 오 드 퍼퓸 50ml,50ml,"266,000",5%,4.9,1791,N/A,,,N/A
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/051/220517002512051.jpg?RS=450&SP=1&QT=20,BYREDO,로즈오브노맨즈랜드 오 드 퍼퓸 50ml,50ml,"266,000",5%,4.9,769,N/A,,,N/A
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/476/231108006981476.jpg?RS=450&SP=1&QT=20,DIPTYQUE,오 드 퍼퓸 뗌 포 75ml,75ml,"265,050",5%,4.8,358,N/A,,,N/A
뷰티,향수,오 드 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/094/230207004067094.jpg?RS=450&SP=1&QT=20,BYREDO,익스트레잇 드 퍼퓸 카사블랑카 릴리 50ml,50ml,"465,500",5%,4.9,50,N/A,,,N/A
