top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,향수,헤어 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/537/210506001216537.jpg?RS=450&SP=1,BYREDO,라 튤립 헤어퍼퓸 75ml,75ml,"99,750",5%,4.9,1049,N/A,,,N/A
뷰티,향수,헤어 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/642/230602005348642.jpg?RS=450&SP=1,BYREDO,발다프리크 헤어퍼퓸 75ml,75ml,"99,750",5%,4.9,326,N/A,,,N/A
뷰티,향수,헤어 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/728/230907006294728.jpg?RS=450&SP=1,BYREDO,로즈오브노맨즈랜드 헤어퍼퓸 75 ml,ml,"99,750",5%,4.9,299,N/A,,,N/A
뷰티,향수,헤어 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/919/230907006223919.jpg?RS=450&SP=1,BYREDO,블랑쉬 헤어퍼퓸 75ml,75ml,"99,750",5%,4.9,862,N/A,,,N/A
뷰티,향수,헤어 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/971/230907006215971.jpg?RS=450&SP=1&QT=20,MEMO,헤어퍼퓸 인레,N/A,"84,550",5%,4.7,58,N/A,,,N/A
뷰티,향수,헤어 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/459/220817002966459.jpg?RS=450&SP=1&QT=20,HERMÈS,트윌리 데르메스 헤어 미스트 50ml   ,50ml,N/A,N/A,5,7,N/A,,,N/A
뷰티,향수,헤어 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/531/210506001216531.jpg?RS=450&SP=1&QT=20,BYREDO,집시 워터 헤어퍼퓸 75ml,75ml,"99,750",5%,4.8,127,N/A,,,N/A
뷰티,향수,헤어 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/488/230907006226488.jpg?RS=450&SP=1&QT=20,BYREDO,모하비 고스트 헤어퍼퓸 75ml,75ml,"99,750",5%,4.8,323,N/A,,,N/A
뷰티,향수,헤어 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/767/221121003535767.jpg?RS=450&SP=1&QT=20,MEMO,헤어퍼퓸 마르파,N/A,"84,550",5%,4.9,14,N/A,,,N/A
뷰티,향수,헤어 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/839/210504001213839.jpg?RS=450&SP=1&QT=20,MEMO,헤어퍼퓸 아이리시 레더,N/A,"84,550",5%,4.8,16,N/A,,,N/A
뷰티,향수,헤어 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/843/210504001213843.jpg?RS=450&SP=1&QT=20,MEMO,헤어퍼퓸 프렌치 레더,N/A,"84,550",5%,4.8,33,N/A,,,N/A
뷰티,향수,헤어 퍼퓸,https://image.sivillage.com/upload/C00001/goods/org/092/220609002626092.jpg?RS=450&SP=1&QT=20,HERMÈS,오 드 메르베이 헤어 미스트,N/A,N/A,N/A,5,7,N/A,,,N/A
뷰티,향수,헤어 퍼퓸,https://image.sivillage.com/upload/C00001/s3/goods/org/095/240828029578095.jpg?RS=450&SP=1&QT=20,LUSH,로드 오브 미스룰 200ml - 바디 스프레이,200ml,N/A,N/A,5,1,신규입고,,,N/A
