top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/s3/goods/org/716/240329012433716.jpg?RS=450&SP=1,LA PERVA,[미리암퀘베도] 익스트림 캐비어 리스트럭처링 럭스 세럼 250ml,250ml,N/A,N/A,5,6,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/s3/goods/org/161/240329012434161.jpg?RS=450&SP=1,LA PERVA,[미리암퀘베도] 글래셜 화이트 하이드라퓨어 프레셔스 엘릭서 50ml,50ml,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/231/230622005501231.jpg?RS=450&SP=1,DAVINES,러브 컬 프라이머 150ml,150ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/268/230622005501268.jpg?RS=450&SP=1,DAVINES,러브 스무딩 퍼펙터 150ml,150ml,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/s3/goods/org/148/240813027494148.jpg?RS=450&SP=1&QT=20,DAVINES,오아이 헤어 버터 75ml,75ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/841/230713005693841.jpg?RS=450&SP=1&QT=20,DAVINES,러브 컬 컨트롤러 150ml,150ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/s3/goods/org/079/240808026703079.jpg?RS=450&SP=1&QT=20,DAVINES,볼루 샴푸 75ml,75ml,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/152/230816005989152.jpg?RS=450&SP=1&QT=20,DAVINES,디스 이즈 어 텍스처라이징 더스트 8g,8g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/348/230622005501348.jpg?RS=450&SP=1&QT=20,DAVINES,러브 헤어 스무더 150ml,150ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/542/220504002450542.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 리햅 1kg - 샴푸,1kg,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/263/220929003222263.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 대디-오 1kg - 샴푸,1kg,N/A,N/A,5,6,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/535/220504002450535.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 와사비 샨 쿠이 1.1kg - 샴푸,1.1kg,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/666/230613005412666.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 루츠 450g - 두피 트리트먼트,450g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/645/231025006665645.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 리햅 솔티 600g - 샴푸,600g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/537/220504002450537.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 와사비 샨 쿠이 300g - 샴푸,300g,N/A,N/A,5,3,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/395/220504002450395.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 수퍼 밀크 250g - 컨디셔닝 헤어 프라이머,250g,N/A,N/A,5,5,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/s3/goods/org/812/240131008607812.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 스퀵 560G -샴푸,560G,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/539/220504002450539.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 빅 640g - 샴푸,640g,N/A,N/A,5,2,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/472/221021003355472.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 대디-오 500g - 샴푸,500g,N/A,N/A,5,15,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/s3/goods/org/756/240509016188756.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 베가니스 450g - 헤어 컨디셔너/린스,450g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/689/231025006665689.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 바이올렛 크림 450g - 헤어 컨디셔너,450g,N/A,N/A,5,3,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/470/220504002450470.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 아메리칸 크림 475g - 헤어 컨디셔너/린스,475g,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/536/220504002450536.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 와사비 샨 쿠이 600g - 샴푸,600g,N/A,N/A,5,3,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/s3/goods/org/995/240731025773995.jpg?RS=450&SP=1&QT=20,LUSH,발키리 500g - 헤어 컨디셔너/린스,500g,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/421/220504002450421.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 해피 해피 조이 조이 480g - 헤어 컨디셔너/린스,480g,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/435/220504002450435.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 해피 해피 조이 조이 250g - 헤어 컨디셔너/린스,250g,N/A,N/A,5,2,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/543/220504002450543.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 리햅 500g - 샴푸,500g,N/A,N/A,5,5,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/s3/goods/org/922/240731025773922.jpg?RS=450&SP=1&QT=20,LUSH,발키리 250g - 헤어 컨디셔너/린스,250g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/s3/goods/org/210/240716024693210.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 빅 330g - 샴푸,330g,N/A,N/A,4.9,11,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/396/220504002450396.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 수퍼 밀크 100g - 컨디셔닝 헤어 프라이머,100g,N/A,N/A,5,38,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/s3/goods/org/806/240131008607806.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 스퀵 100G -샴푸,100G,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/375/220504002450375.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 더티 스타일링 크림 95g - 헤어 스타일링 크림,95g,N/A,N/A,5,2,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/270/230710005667270.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 몬탈바노 55g - 샴푸 바/고체 샴푸,55g,N/A,N/A,5,3,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/345/230731005847345.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 더 골든 캡 65g - 프레스드 컨디셔너/고체 린스,65g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/592/230731005849592.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 코코넛 라이스 케이크 55g - 샴푸 바/고체 샴푸,55g,N/A,N/A,5,2,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/482/220504002450482.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 아메리칸 크림 240g - 헤어 컨디셔너/린스,240g,N/A,N/A,5,4,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/463/231012006580463.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 코코넛 코-워시 100g - 솔리드 샴푸/샴푸 바,100g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/489/220504002450489.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 아메리칸 크림 100g - 헤어 컨디셔너/린스,100g,N/A,N/A,5,5,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/544/220504002450544.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 리햅 250g - 샴푸,250g,N/A,N/A,5,7,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/376/220504002450376.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 마릴린 225g - 헤어 트리트먼트/헤어 팩,225g,N/A,N/A,5,4,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/674/231025006665674.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 바이올렛 크림 100g - 헤어 컨디셔너,100g,N/A,N/A,5,2,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/s3/goods/org/758/240509016188758.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 베가니스 225g - 헤어 컨디셔너/린스,225g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/793/230705005627793.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 씨닉 55g - 샴푸 바/고체 샴푸,55g,N/A,N/A,5,5,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/774/230918006406774.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 허니 아이 워시드 마이 헤어 55g - 샴푸 바/고체 샴푸,55g,N/A,N/A,4.5,2,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/501/230322004530501.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 리트레드 100g - 헤어 컨디셔너,100g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/445/220504002450445.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 해피 해피 조이 조이 100g - 헤어 컨디셔너/린스,100g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/790/230705005627790.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 뉴 55g - 샴푸 바/고체 샴푸,55g,N/A,N/A,4.8,9,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/089/230731005847089.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 페얼리 트레이디드 허니 120g - 샴푸,120g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/782/231012006580782.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 망고 코-워시 100g - 솔리드 샴푸/샴푸 바,100g,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/053/230731005848053.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 씨 스프레이 100g - 헤어 미스트,100g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,기타 헤어케어,https://image.sivillage.com/upload/C00001/goods/org/262/220929003222262.png?RS=450&SP=1&QT=20,LUSH,러쉬 대디-오 100g - 샴푸,100g,N/A,N/A,5,12,N/A,,,N/A
