top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,헤어케어,샴푸/컨디셔너,샴푸,https://image.sivillage.com/upload/C00001/goods/org/029/220329002218029.jpg?RS=450&SP=1,LA PERVA,[오리베] 골드 러스트 샴푸 리필 1000ml,1000ml,"224,100",10%,4.9,59,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,샴푸,https://image.sivillage.com/upload/C00001/goods/org/744/221229003740744.jpg?RS=450&SP=1,DAVINES,에너자이징 샴푸 1000ml,1000ml,N/A,N/A,4.9,119,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,샴푸,https://image.sivillage.com/upload/C00001/goods/org/751/221229003739751.jpg?RS=450&SP=1,DAVINES,오아이 샴푸 1000ml,1000ml,N/A,N/A,4.9,68,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,샴푸,https://image.sivillage.com/upload/C00001/goods/org/042/230921006445042.jpg?RS=450&SP=1,LA PERVA,[오리베] 헤어 알케미 리질리언스 샴푸 리필 1000ml,1000ml,"215,100",10%,5,3,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,샴푸,https://image.sivillage.com/upload/C00001/goods/org/092/200623000761092.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 뷰티풀 컬러 샴푸 1000ml,1000ml,"224,100",10%,5,32,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,샴푸,https://image.sivillage.com/upload/C00001/goods/org/240/200623000761240.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 시그니처 샴푸 1000ml,1000ml,"224,100",10%,4.9,152,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,샴푸,https://image.sivillage.com/upload/C00001/goods/org/046/230921006445046.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 헤어 알케미 리질리언스 샴푸 1000ml,1000ml,"233,100",10%,5,7,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,샴푸,https://image.sivillage.com/upload/C00001/goods/org/470/200622000760470.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 골드 러스트 샴푸 1000ml,1000ml,"242,100",10%,4.9,208,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,샴푸,https://image.sivillage.com/upload/C00001/goods/org/103/220329002218103.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 시그니처 샴푸 리필 1000ml,1000ml,"206,100",10%,5,43,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,샴푸,https://image.sivillage.com/upload/C00001/goods/org/986/200727000799986.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 브릴리언스 앤 샤인 샴푸 1000ml,1000ml,"224,100",10%,4.9,30,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,샴푸,https://image.sivillage.com/upload/C00001/goods/org/552/230126003936552.jpg?RS=450&SP=1&QT=20,DAVINES,리밸런싱 샴푸 1000ml,1000ml,N/A,N/A,5,41,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,샴푸,https://image.sivillage.com/upload/C00001/goods/org/078/221229003741078.jpg?RS=450&SP=1&QT=20,DAVINES,리밸런싱 클렌징 트리트먼트 1000ml,1000ml,N/A,N/A,5,7,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,샴푸,https://image.sivillage.com/upload/C00001/goods/org/303/221229003741303.jpg?RS=450&SP=1&QT=20,DAVINES,스크럽 샴푸 1000ml,1000ml,N/A,N/A,5,22,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,샴푸,https://image.sivillage.com/upload/C00001/goods/org/230/231031006704230.jpg?RS=450&SP=1&QT=20,JUST AS I AM,아이엠 샴푸 N1 인텐시브 스칼프 케어 700ml (비건),700ml,"44,100",10%,4.9,213,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_010044_230405163924.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_010045_230405163943.jpg","N1,N2",N/A
뷰티,헤어케어,샴푸/컨디셔너,샴푸,https://image.sivillage.com/upload/C00001/goods/org/128/221229003741128.jpg?RS=450&SP=1&QT=20,DAVINES,리뉴잉 샴푸 1000ml,1000ml,N/A,N/A,5,29,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,샴푸,https://image.sivillage.com/upload/C00001/goods/org/359/221229003740359.jpg?RS=450&SP=1&QT=20,DAVINES,모모 샴푸 1000ml,1000ml,N/A,N/A,5,6,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,샴푸,https://image.sivillage.com/upload/C00001/goods/org/530/221229003740530.jpg?RS=450&SP=1&QT=20,DAVINES,솔루 샴푸 1000ml,1000ml,N/A,N/A,5,4,N/A,,,N/A
