top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/240/231031006704240.jpg?RS=450&SP=1,JUST AS I AM,아이엠 토닉 N1 인텐시브 스칼프 케어 100ml (비건),100ml,"25,200",10%,4.9,94,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_010044_230405163924.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_010045_230405163943.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_010046_230405163959.jpg","N1,N2,N3",N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/s3/goods/org/009/240901030152009.jpg?RS=450&SP=1,SISLEY,[시슬리] 리바이탈 라이징 포티파잉 세럼 60ml 세트,60ml,"243,000",10%,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/542/220504002450542.jpg?RS=450&SP=1,LUSH,러쉬 리햅 1kg - 샴푸,1kg,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/263/220929003222263.jpg?RS=450&SP=1,LUSH,러쉬 대디-오 1kg - 샴푸,1kg,N/A,N/A,5,6,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/535/220504002450535.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 와사비 샨 쿠이 1.1kg - 샴푸,1.1kg,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/666/230613005412666.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 루츠 450g - 두피 트리트먼트,450g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/s3/goods/org/955/240825029071955.jpg?RS=450&SP=1&QT=20,RENE FURTERER,[르네휘테르] 콤플렉스 5 50ml NEW,50ml,"59,400",10%,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/s3/goods/org/866/240808026735866.jpg?RS=450&SP=1&QT=20,SUBLIMIC,[서브리믹] 아데노바이탈 스캘프 파워 샷 120ml,120ml,"75,600",10%,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/645/231025006665645.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 리햅 솔티 600g - 샴푸,600g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/537/220504002450537.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 와사비 샨 쿠이 300g - 샴푸,300g,N/A,N/A,5,3,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/395/220504002450395.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 수퍼 밀크 250g - 컨디셔닝 헤어 프라이머,250g,N/A,N/A,5,5,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/539/220504002450539.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 빅 640g - 샴푸,640g,N/A,N/A,5,2,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/472/221021003355472.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 대디-오 500g - 샴푸,500g,N/A,N/A,5,15,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/s3/goods/org/756/240509016188756.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 베가니스 450g - 헤어 컨디셔너/린스,450g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/689/231025006665689.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 바이올렛 크림 450g - 헤어 컨디셔너,450g,N/A,N/A,5,3,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/470/220504002450470.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 아메리칸 크림 475g - 헤어 컨디셔너/린스,475g,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/536/220504002450536.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 와사비 샨 쿠이 600g - 샴푸,600g,N/A,N/A,5,3,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/s3/goods/org/995/240731025773995.jpg?RS=450&SP=1&QT=20,LUSH,발키리 500g - 헤어 컨디셔너/린스,500g,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/421/220504002450421.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 해피 해피 조이 조이 480g - 헤어 컨디셔너/린스,480g,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/435/220504002450435.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 해피 해피 조이 조이 250g - 헤어 컨디셔너/린스,250g,N/A,N/A,5,2,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/543/220504002450543.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 리햅 500g - 샴푸,500g,N/A,N/A,5,5,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/s3/goods/org/922/240731025773922.jpg?RS=450&SP=1&QT=20,LUSH,발키리 250g - 헤어 컨디셔너/린스,250g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/s3/goods/org/607/240901030136607.jpg?RS=450&SP=1&QT=20,L`OCCITANE,[록시땅] 스칼프 나이트 세럼 50ml,50ml,"40,500",10%,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/s3/goods/org/210/240716024693210.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 빅 330g - 샴푸,330g,N/A,N/A,4.9,11,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/396/220504002450396.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 수퍼 밀크 100g - 컨디셔닝 헤어 프라이머,100g,N/A,N/A,5,38,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/270/230710005667270.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 몬탈바노 55g - 샴푸 바/고체 샴푸,55g,N/A,N/A,5,3,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/592/230731005849592.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 코코넛 라이스 케이크 55g - 샴푸 바/고체 샴푸,55g,N/A,N/A,5,2,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/s3/goods/org/504/240808026592504.jpg?RS=450&SP=1&QT=20,SUBLIMIC,[서브리믹] 휀테 포르테 모이스트 샤워 (모든 두피용) 120ml,120ml,"43,200",10%,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/482/220504002450482.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 아메리칸 크림 240g - 헤어 컨디셔너/린스,240g,N/A,N/A,5,4,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/463/231012006580463.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 코코넛 코-워시 100g - 솔리드 샴푸/샴푸 바,100g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/s3/goods/org/326/240527018505326.jpg?RS=450&SP=1&QT=20,THANN,[탄] 오리엔탈 에센스 리바이빙 스칼프 토닉 80ml (두피 에센스),80ml,"44,100",10%,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/489/220504002450489.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 아메리칸 크림 100g - 헤어 컨디셔너/린스,100g,N/A,N/A,5,5,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/544/220504002450544.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 리햅 250g - 샴푸,250g,N/A,N/A,5,7,N/A,,,N/A
뷰티,헤어케어,스케일링/클리닉,헤어토닉,https://image.sivillage.com/upload/C00001/goods/org/376/220504002450376.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 마릴린 225g - 헤어 트리트먼트/헤어 팩,225g,N/A,N/A,5,4,N/A,,,N/A
