top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,헤어케어,에센스/오일/미스트,에센스,https://image.sivillage.com/upload/C00001/goods/org/388/230403004637388.jpg?RS=450&SP=1,DAVINES,에너자이징 수퍼액티브 100ml,100ml,N/A,N/A,4.9,38,N/A,,,N/A
뷰티,헤어케어,에센스/오일/미스트,에센스,https://image.sivillage.com/upload/C00001/s3/goods/org/716/240329012433716.jpg?RS=450&SP=1,LA PERVA,[미리암퀘베도] 익스트림 캐비어 리스트럭처링 럭스 세럼 250ml,250ml,N/A,N/A,5,6,N/A,,,N/A
뷰티,헤어케어,에센스/오일/미스트,에센스,https://image.sivillage.com/upload/C00001/s3/goods/org/161/240329012434161.jpg?RS=450&SP=1,LA PERVA,[미리암퀘베도] 글래셜 화이트 하이드라퓨어 프레셔스 엘릭서 50ml,50ml,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,에센스/오일/미스트,에센스,https://image.sivillage.com/upload/C00001/goods/org/771/221229003740771.jpg?RS=450&SP=1,DAVINES,에너자이징 시즈널 수퍼액티브 바이알 12x6ml,12x6ml,N/A,N/A,5,3,N/A,,,N/A
뷰티,헤어케어,에센스/오일/미스트,에센스,https://image.sivillage.com/upload/C00001/goods/org/425/230403004637425.jpg?RS=450&SP=1&QT=20,DAVINES,에너자이징 시즈널 수퍼액티브 100ml,100ml,N/A,N/A,5,27,N/A,,,N/A
뷰티,헤어케어,에센스/오일/미스트,에센스,https://image.sivillage.com/upload/C00001/goods/org/007/230803005888007.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 헤어 알케미 포티파잉 트리트먼트 세럼 175ml,175ml,"94,500",10%,4.9,33,N/A,,,N/A
뷰티,헤어케어,에센스/오일/미스트,에센스,https://image.sivillage.com/upload/C00001/goods/org/776/221229003740776.jpg?RS=450&SP=1&QT=20,DAVINES,에너자이징 씨크닝 토닉 100ml,100ml,N/A,N/A,4.8,17,N/A,,,N/A
뷰티,헤어케어,에센스/오일/미스트,에센스,https://image.sivillage.com/upload/C00001/goods/org/208/221229003741208.jpg?RS=450&SP=1&QT=20,DAVINES,너리싱 케라틴 실러 100ml,100ml,N/A,N/A,4.9,18,N/A,,,N/A
뷰티,헤어케어,에센스/오일/미스트,에센스,https://image.sivillage.com/upload/C00001/goods/org/023/230217004213023.jpg?RS=450&SP=1&QT=20,DAVINES,리플럼핑 헤어 필러 수퍼액티브 100ml,100ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,에센스/오일/미스트,에센스,https://image.sivillage.com/upload/C00001/goods/org/229/200623000761229.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 스트레이트 어웨이 스무딩 블로우아웃 크림 150ml,150ml,"62,100",10%,5,11,N/A,,,N/A
