top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,헤어케어,트리트먼트/팩,마스크 팩,https://image.sivillage.com/upload/C00001/goods/org/733/221229003739733.jpg?RS=450&SP=1,DAVINES,오아이 헤어 버터 1000ml,1000ml,N/A,N/A,5,21,N/A,,,N/A
뷰티,헤어케어,트리트먼트/팩,마스크 팩,https://image.sivillage.com/upload/C00001/goods/org/783/221229003740783.jpg?RS=450&SP=1,DAVINES,에너자이징 젤 150ml,150ml,N/A,N/A,5,49,N/A,,,N/A
뷰티,헤어케어,트리트먼트/팩,마스크 팩,https://image.sivillage.com/upload/C00001/goods/org/626/230607005374626.jpg?RS=450&SP=1,DAVINES,에너자이징 시즈널 수퍼액티브 100ml & 에너자이징 수퍼액티브 100ml 세트,100ml,N/A,N/A,5,2,N/A,,,세트
뷰티,헤어케어,트리트먼트/팩,마스크 팩,https://image.sivillage.com/upload/C00001/goods/org/308/230622005501308.jpg?RS=450&SP=1,DAVINES,러브 스무딩 인스턴트 마스크 1000ml,1000ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,트리트먼트/팩,마스크 팩,https://image.sivillage.com/upload/C00001/goods/org/115/221229003741115.jpg?RS=450&SP=1&QT=20,DAVINES,리뉴잉 컨디셔닝 트리트먼트 1000ml,1000ml,N/A,N/A,5,21,N/A,,,N/A
뷰티,헤어케어,트리트먼트/팩,마스크 팩,https://image.sivillage.com/upload/C00001/goods/org/271/220527002567271.jpg?RS=450&SP=1&QT=20,LA PERVA,[미리암퀘베도] 글래셜 화이트 캐비어 하이드라퓨어 레스큐 마스크,N/A,N/A,N/A,5,25,N/A,,,N/A
뷰티,헤어케어,트리트먼트/팩,마스크 팩,https://image.sivillage.com/upload/C00001/goods/org/383/230403004637383.jpg?RS=450&SP=1&QT=20,DAVINES,하트 오브 글래스 인텐스 트리트먼트 750ml,750ml,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,트리트먼트/팩,마스크 팩,https://image.sivillage.com/upload/C00001/goods/org/205/200623000761205.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 세린 스칼프 씨크닝 트리트먼트 스프레이 125ml,125ml,"116,100",10%,4.6,15,N/A,,,N/A
뷰티,헤어케어,트리트먼트/팩,마스크 팩,https://image.sivillage.com/upload/C00001/goods/org/274/221229003740274.jpg?RS=450&SP=1&QT=20,DAVINES,러브 컬 헤어 마스크 1000ml,1000ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,트리트먼트/팩,마스크 팩,https://image.sivillage.com/upload/C00001/goods/org/501/221229003740501.jpg?RS=450&SP=1&QT=20,DAVINES,미누 헤어 마스크 1000ml,1000ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,트리트먼트/팩,마스크 팩,https://image.sivillage.com/upload/C00001/goods/org/168/221229003740168.jpg?RS=450&SP=1&QT=20,DAVINES,누누 헤어 마스크 1000ml,1000ml,N/A,N/A,5,7,N/A,,,N/A
뷰티,헤어케어,트리트먼트/팩,마스크 팩,https://image.sivillage.com/upload/C00001/goods/org/263/221229003741263.jpg?RS=450&SP=1&QT=20,DAVINES,너리싱 베지테리언 미라클 마스크 1000ml,1000ml,N/A,N/A,5,10,N/A,,,N/A
뷰티,헤어케어,트리트먼트/팩,마스크 팩,https://image.sivillage.com/upload/C00001/goods/org/486/221229003740486.jpg?RS=450&SP=1&QT=20,DAVINES,미누 헤어 마스크 250ml,250ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,트리트먼트/팩,마스크 팩,https://image.sivillage.com/upload/C00001/goods/org/021/230803005888021.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 골드 러스트 마스크 150ml,150ml,"99,900",10%,4.9,95,N/A,,,N/A
뷰티,헤어케어,트리트먼트/팩,마스크 팩,https://image.sivillage.com/upload/C00001/s3/goods/org/378/240329012433378.jpg?RS=450&SP=1&QT=20,LA PERVA,[미리암퀘베도] 익스트림 캐비어 엑스폴리에이팅 스크럽 두피 마스크 250ml,250ml,N/A,N/A,4.9,14,N/A,,,N/A
