top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,홈 프래그런스,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/541/240731025772541.jpg?RS=450&SP=1,LOEWE PERFUMES,캔들 스누퍼,N/A,"371,450",5%,N/A,N/A,N/A,,,N/A
뷰티,홈 프래그런스,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/547/240731025772547.jpg?RS=450&SP=1,LOEWE PERFUMES,윅 트리머 레더,N/A,"781,850",5%,N/A,N/A,N/A,,,N/A
뷰티,홈 프래그런스,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/524/240731025772524.jpg?RS=450&SP=1,LOEWE PERFUMES,캔들 커버 M,N/A,"114,950",5%,N/A,N/A,N/A,,,N/A
뷰티,홈 프래그런스,기타,https://image.sivillage.com/upload/C00001/goods/org/663/230612005404663.jpg?RS=450&SP=1,LA BRUKET,린넨 워터 히노키 1000ml,1000ml,"55,200",20%,4.9,150,N/A,,,N/A
뷰티,홈 프래그런스,기타,https://image.sivillage.com/upload/C00001/goods/org/253/230223004266253.jpg?RS=450&SP=1&QT=20,LA BRUKET,린넨 워터 라벤더 1000ml,1000ml,"55,200",20%,4.8,515,N/A,,,N/A
뷰티,홈 프래그런스,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/534/240731025772534.jpg?RS=450&SP=1&QT=20,LOEWE PERFUMES,캔들홀더 베이스,N/A,"64,600",5%,4,2,N/A,,,N/A
뷰티,홈 프래그런스,기타,https://image.sivillage.com/upload/C00001/goods/org/322/230907006244322.jpg?RS=450&SP=1&QT=20,MEMO,차량용 디퓨저 리필 아이리시 레더,N/A,"42,750",5%,4.4,14,N/A,,,N/A
뷰티,홈 프래그런스,기타,https://image.sivillage.com/upload/C00001/goods/org/936/221102003424936.jpg?RS=450&SP=1&QT=20,LOIVIE,프래그런스 디퓨저 스틱,N/A,"3,600",10%,4.9,62,N/A,,,N/A
뷰티,홈 프래그런스,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/644/240227009481644.jpg?RS=450&SP=1&QT=20,LA PERVA,[쿨티밀라노] 디퓨저 스틱 250ml,250ml,"9,900",10%,5,1,N/A,,,N/A
뷰티,홈 프래그런스,기타,https://image.sivillage.com/upload/C00001/goods/org/055/210423001202055.jpg?RS=450&SP=1&QT=20,MEMO,차량용 디퓨저 리필 아프리칸 레더,N/A,"42,750",5%,5,7,N/A,,,N/A
뷰티,홈 프래그런스,기타,https://image.sivillage.com/upload/C00001/goods/org/034/210423001202034.jpg?RS=450&SP=1&QT=20,MEMO,차량용 디퓨저 리필 마르파,N/A,"42,750",5%,4.5,13,N/A,,,N/A
뷰티,홈 프래그런스,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/679/240227009481679.jpg?RS=450&SP=1&QT=20,LA PERVA,[쿨티밀라노] 디퓨저 스틱 500ml,500ml,"11,700",10%,N/A,N/A,N/A,,,N/A
뷰티,홈 프래그런스,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/525/240828029440525.jpg?RS=450&SP=1&QT=20,OHSCENT,[오센트] 피너츠 차량용방향제 플라워 찰리,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,홈 프래그런스,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/727/240529018838727.jpg?RS=450&SP=1&QT=20,BORNTOSTANDOUT,슈가 어딕트 프래그런스 태그,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,홈 프래그런스,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/004/240827029409004.jpg?RS=450&SP=1&QT=20,PRANAROM,[프라나롬] 쏘메이 스프레이 (150ml),(150ml),N/A,N/A,5,2,N/A,,,N/A
