top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,홈 프래그런스,방향제,https://image.sivillage.com/upload/C00001/goods/org/708/190423000285708.jpg?RS=450&SP=1,DIPTYQUE,딥티크 캡슐 베이,N/A,"68,400",5%,4.9,776,N/A,,,N/A
뷰티,홈 프래그런스,방향제,https://image.sivillage.com/upload/C00001/goods/org/205/230802005878205.jpg?RS=450&SP=1,DIPTYQUE,차량용방향제 세트 (케이스&리필용 캡슐 베이),N/A,"155,800",5%,4.9,946,N/A,,,N/A
뷰티,홈 프래그런스,방향제,https://image.sivillage.com/upload/C00001/goods/org/080/230130003963080.jpg?RS=450&SP=1,Santa Maria Novella,핸드페인트 도자기 포푸리 (포푸리 바소 세라미카) 200g,200g,"196,200",10%,4.8,48,N/A,,,N/A
뷰티,홈 프래그런스,방향제,https://image.sivillage.com/upload/C00001/goods/org/777/230907006300777.png?RS=450&SP=1,Santa Maria Novella,왁스 타블렛 - 프리지아,N/A,"40,500",10%,4.9,1689,N/A,,,N/A
뷰티,홈 프래그런스,방향제,https://image.sivillage.com/upload/C00001/goods/org/575/211216001866575.jpg?RS=450&SP=1&QT=20,Santa Maria Novella,멜로그라노 인 테라코타,N/A,"97,200",10%,4.9,1124,N/A,,,N/A
뷰티,홈 프래그런스,방향제,https://image.sivillage.com/upload/C00001/goods/org/170/230725005795170.jpg?RS=450&SP=1&QT=20,DIPTYQUE,캡슐 34번가 2.1g,2.1g,"77,900",5%,4.9,180,N/A,,,N/A
뷰티,홈 프래그런스,방향제,https://image.sivillage.com/upload/C00001/goods/org/339/230907006186339.png?RS=450&SP=1&QT=20,DIPTYQUE,차량용방향제 세트 (케이스&리필용 캡슐 34번가),N/A,"163,400",5%,4.9,197,N/A,,,N/A
뷰티,홈 프래그런스,방향제,https://image.sivillage.com/upload/C00001/s3/goods/org/312/240614021245312.png?RS=450&SP=1&QT=20,DIPTYQUE,차량용방향제 세트 (케이스&리필용 캡슐 플레르 도랑줴),N/A,"155,800",5%,5,42,N/A,,,N/A
뷰티,홈 프래그런스,방향제,https://image.sivillage.com/upload/C00001/goods/org/597/230726005807597.jpg?RS=450&SP=1&QT=20,LA PERVA,[조러브스] 디퓨저 망고 타이 라임 200ml,200ml,"161,100",10%,N/A,N/A,N/A,,,N/A
뷰티,홈 프래그런스,방향제,https://image.sivillage.com/upload/C00001/goods/org/163/200929000913163.png?RS=450&SP=1&QT=20,DIPTYQUE,차량용방향제 세트 (케이스&리필용 캡슐 로즈),N/A,"155,800",5%,4.9,192,N/A,,,N/A
