top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/017/240812027288017.jpg?RS=450&SP=1,NORDA,[NORDA] 002 WHT/TP,N/A,N/A,N/A,5,1,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/969/240812027287969.jpg?RS=450&SP=1,NORDA,[NORDA] 001 MARS,N/A,N/A,N/A,5,1,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/204/240814027668204.jpg?RS=450&SP=1,NORDA,[NORDA] 001 LTD 에디션 G+GRAPHENEN WERO,LTD,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/008/240812027288008.jpg?RS=450&SP=1,NORDA,[NORDA] 001 RETRO,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/422/240812027284422.jpg?RS=450&SP=1&QT=20,SALOMON,[SALOMON] ACS PRO,[SALOMON],N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/892/240828029606892.jpg?RS=450&SP=1&QT=20,DOLCE & GABBANA,23FW 돌체앤가바나 스니커즈 CS1761 AH136 8I047 White,N/A,"1,465,400",15%,N/A,N/A,N/A,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/103/240828029606103.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] [DRKSHDW] 나일론 퍼퍼 슬립온,N/A,"836,000",5%,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/737/240829029785737.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] [DRKSHDW] 점보 레이스 애브스트랙트 스니커즈,N/A,"1,121,000",5%,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/011/240826029298011.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 심 파이핑 레더 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/979/240826029297979.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 이글 로고 솔 트래블 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/043/240826029298043.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 라운드 스퀘어 토 레더 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/027/240826029298027.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 트롱프뢰유 프린트 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/971/240826029297971.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 이글 로고 솔 트래블 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/051/240826029298051.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 스터드 솔 하이탑 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/035/240826029298035.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 엠보싱 도트 레더 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/019/240826029298019.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 커브 스티치 오버레이 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/003/240826029298003.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 디보싱 로고 레더 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/995/240826029297995.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 엠브로이더리 이글 레더 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/987/240826029297987.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 컬러 블록 로우탑 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/705/240827029420705.jpg?RS=450&SP=1&QT=20,UGG,[남녀공용] 타이어솔 플랫폼 양털 슬립온 (벤처데이즈 코지),N/A,N/A,N/A,N/A,N/A,신상,,,N/A
