top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
슈즈,남성 슈즈,워커/부츠,https://image.sivillage.com/upload/C00001/s3/goods/org/113/240828029606113.jpg?RS=450&SP=1,RICK OWENS,[MEN] [DRKSHDW] 메가 범퍼 로우 루나 부츠,N/A,"1,596,000",5%,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,워커/부츠,https://image.sivillage.com/upload/C00001/s3/goods/org/026/240816027921026.jpg?RS=450&SP=1,PAUL SMITH,[PS PAUL SMITH] CRANE 미드탑 레더 부츠,PAUL,"585,000",10%,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,워커/부츠,https://image.sivillage.com/upload/C00001/s3/goods/org/319/240821028531319.jpg?RS=450&SP=1,UGG,[MEN] 오버로크 스티치 미니 부츠 (클래식 미니),N/A,N/A,N/A,5,1,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_050097_220512095741.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","체스트넛,블랙",N/A
슈즈,남성 슈즈,워커/부츠,https://image.sivillage.com/upload/C00001/s3/goods/org/431/240806026431431.jpg?RS=450&SP=1,UGG,[MEN] 스웨이드 레이스업 부츠 (뉴멜),N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,워커/부츠,https://image.sivillage.com/upload/C00001/s3/goods/org/171/240624022468171.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] BEATLE BOZO 트랙터 부츠,BEATLE,"1,881,000",5%,N/A,N/A,N/A,,,N/A
슈즈,남성 슈즈,워커/부츠,https://image.sivillage.com/upload/C00001/s3/goods/org/253/240731025791253.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] BEATLE 메가 트랙터 부츠,BEATLE,"2,261,000",5%,N/A,N/A,N/A,,,N/A
슈즈,남성 슈즈,워커/부츠,https://image.sivillage.com/upload/C00001/s3/goods/org/548/240809026872548.jpg?RS=450&SP=1&QT=20,UGG,[남녀공용] 빈티지 에코 양모 부츠 (뉴멜 크래프티드 리제너레이트),N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/0000578.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_050097_220512095741.jpg","오번,체스트넛",N/A
슈즈,남성 슈즈,워커/부츠,https://image.sivillage.com/upload/C00001/s3/goods/org/971/240820028368971.jpg?RS=450&SP=1&QT=20,TIMBERLAND,[팀버랜드]남성 클래식 6인치 워터프루프 워커부츠 애쉬브라운_TB1A1QR5F361,N/A,"230,640",7%,N/A,N/A,N/A,,,N/A
슈즈,남성 슈즈,워커/부츠,https://image.sivillage.com/upload/C00001/s3/goods/org/673/240828029549673.jpg?RS=450&SP=1&QT=20,BLUNDSTONE,[블런드스톤] WOMAN #2366 첼시부츠_브라운,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,워커/부츠,https://image.sivillage.com/upload/C00001/s3/goods/org/674/240828029549674.jpg?RS=450&SP=1&QT=20,BLUNDSTONE,[블런드스톤] WOMAN #2365 첼시부츠_블랙,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
