top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
슈즈,여성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/129/240828029606129.jpg?RS=450&SP=1,RICK OWENS,[WOMEN] [DRKSHDW] 펠트 클로스 로우 스니커즈,N/A,"836,000",5%,N/A,N/A,신상,,,N/A
슈즈,여성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/129/240826029298129.jpg?RS=450&SP=1,EMPORIO ARMANI,여성 마이크로 엠보 도트 레더 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,여성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/105/240826029298105.jpg?RS=450&SP=1,EMPORIO ARMANI,여성 부클레 패브릭 체크 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,여성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/113/240826029298113.jpg?RS=450&SP=1,EMPORIO ARMANI,여성 부클레 패브릭 체크 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,여성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/137/240826029298137.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 오버사이즈 솔 스웨이드 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,여성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/165/240826029298165.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 오버사이즈 솔 스웨이드 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,여성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/121/240826029298121.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 마이크로 엠보 도트 레더 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,여성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/097/240826029298097.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 로고 패턴 벨루어 패치 스니커즈,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,여성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/705/240827029420705.jpg?RS=450&SP=1&QT=20,UGG,[남녀공용] 타이어솔 플랫폼 양털 슬립온 (벤처데이즈 코지),N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,여성 슈즈,스니커즈/슬립온,https://image.sivillage.com/upload/C00001/s3/goods/org/056/240516017151056.jpg?RS=450&SP=1&QT=20,ADIDAS,아디다스 삼바 OG 화이트 인디고 IF3814,OG,"136,000",40%,5,5,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png","화이트,화이트",N/A
