top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
슈즈,여성 슈즈,슬리퍼/뮬,https://image.sivillage.com/upload/C00001/s3/goods/org/526/240605019860526.jpg?RS=450&SP=1,BIRKENSTOCK,[남녀공용] Boston BS 가죽 클로그,N/A,"206,100",10%,5,6,N/A,,,N/A
슈즈,여성 슈즈,슬리퍼/뮬,https://image.sivillage.com/upload/C00001/s3/goods/org/437/240829029789437.jpg?RS=450&SP=1,UGG,[WOMEN] 라운드토 플랫폼 클로그 (뉴 하이츠 코지 클로그),N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_050083_210702162752.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020312_230525152026.jpg","웹,1N2 바닐라",N/A
슈즈,여성 슈즈,슬리퍼/뮬,https://image.sivillage.com/upload/C00001/s3/goods/org/159/240820028347159.jpg?RS=450&SP=1,STELLA McCARTNEY,ELYSE 스터드 클로그,ELYSE,"1,206,500",5%,N/A,N/A,신상,,,N/A
슈즈,여성 슈즈,슬리퍼/뮬,https://image.sivillage.com/upload/C00001/s3/goods/org/537/240807026560537.jpg?RS=450&SP=1,UGG,[WOMEN] 패디드 스웨이드 슬리퍼 (펌프드 슬라이드),N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_01_%EB%B8%94%EB%A3%A8.png,https://image.sivillage.com/upload/C00001/goods/color/color_050097_220512095741.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_020265_221228233923.jpg","블루,체스트넛,1N2 바닐라",N/A
슈즈,여성 슈즈,슬리퍼/뮬,https://image.sivillage.com/upload/C00001/s3/goods/org/257/240611020845257.jpg?RS=450&SP=1&QT=20,STELLA McCARTNEY,ELYSE 스터드 힐 클로그,ELYSE,"1,643,500",5%,N/A,N/A,N/A,,,N/A
슈즈,여성 슈즈,슬리퍼/뮬,https://image.sivillage.com/upload/C00001/s3/goods/org/215/240624022468215.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 낫 포인트 새틴 슬리퍼,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
슈즈,여성 슈즈,슬리퍼/뮬,https://image.sivillage.com/upload/C00001/s3/goods/org/309/240729025631309.jpg?RS=450&SP=1&QT=20,UGG,[WOMEN] 퍼 카라 플랫폼 샌들 (디스케트),N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_050097_220512095741.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_05_%EC%B0%A8%EC%BD%9C_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","체스트넛,챠콜",N/A
슈즈,여성 슈즈,슬리퍼/뮬,https://image.sivillage.com/upload/C00001/s3/goods/org/166/240605019861166.jpg?RS=450&SP=1&QT=20,BIRKENSTOCK,[여성] Boston Braided 클로그 NARROW,N/A,"150,570",37%,5,9,N/A,,,N/A
슈즈,여성 슈즈,슬리퍼/뮬,https://image.sivillage.com/upload/C00001/s3/goods/org/991/240813027497991.jpg?RS=450&SP=1&QT=20,UGG,[WOMEN] 시그니처 쉽스킨 코케트 슬리퍼 (코케트),N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_070267_230125122345.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_01_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/goods/color/color_050097_220512095741.jpg","314 로터스,그레이,체스트넛",N/A
슈즈,여성 슈즈,슬리퍼/뮬,https://image.sivillage.com/upload/C00001/s3/goods/org/637/240701023212637.jpg?RS=450&SP=1&QT=20,UGG,[WOMEN] 크로스 스트랩 플랫폼 샌들 (디스코 크로스 슬라이드),N/A,N/A,N/A,5,1,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_05_%EC%B0%A8%EC%BD%9C_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/goods/color/color_050097_220512095741.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_07_%EC%83%8C%EB%93%9C.png","챠콜,체스트넛,샌드",N/A
