top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
스포츠/레저,러닝/사이클,여성의류,하의,https://image.sivillage.com/upload/C00001/goods/org/101/230515005099101.jpg?RS=450&SP=1,SNOW PEAK,Stretch River Pants 블랙 TT2310-PT01BK,N/A,"224,000",30%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,여성의류,하의,https://image.sivillage.com/upload/C00001/s3/goods/org/294/240705023812294.jpg?RS=450&SP=1,NYLORA,EMMA SHORTS BLACK,BLACK,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,여성의류,하의,https://image.sivillage.com/upload/C00001/goods/org/737/230823006043737.jpg?RS=450&SP=1,NYLORA,KALI BIKER SHORTS LIGHT PINK,KALI,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_01_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_05_%EB%8B%A4%ED%81%AC_%EC%9D%B8%EB%94%94%EA%B3%A0.png","핑크,다크 인디고",N/A
스포츠/레저,러닝/사이클,여성의류,하의,https://image.sivillage.com/upload/C00001/goods/org/715/230822006033715.jpg?RS=450&SP=1,NYLORA,KAI LEGGINGS BLACK,LEGGINGS,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/0000455.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/15_03_%EB%8B%A4%ED%81%AC_%EB%B8%8C%EB%9D%BC%EC%9A%B4.png","내츄럴 블랙,다크 브라운",N/A
스포츠/레저,러닝/사이클,여성의류,하의,https://image.sivillage.com/upload/C00001/s3/goods/org/753/240719024888753.jpg?RS=450&SP=1&QT=20,ARENA,헌팅턴 레저 1부 팬츠 A4BL1QW45SBL,A4BL1QW45SBL,"55,200",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,여성의류,하의,https://image.sivillage.com/upload/C00001/s3/goods/org/918/240718024817918.jpg?RS=450&SP=1&QT=20,ARENA,웨이브 레저 네오프렌 2부 팬츠 A4BL1QW91BLK,A4BL1QW91BLK,"87,200",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,여성의류,하의,https://image.sivillage.com/upload/C00001/s3/goods/org/915/240718024817915.jpg?RS=450&SP=1&QT=20,ARENA,웨이브 레저 네오프렌 2부 팬츠 A4BL1QW91YEL,A4BL1QW91YEL,"87,200",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,여성의류,하의,https://image.sivillage.com/upload/C00001/s3/goods/org/779/240719024888779.jpg?RS=450&SP=1&QT=20,ARENA,헌팅턴 레저 1부 팬츠 A4BL1QW45COR,A4BL1QW45COR,"55,200",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,여성의류,하의,https://image.sivillage.com/upload/C00001/s3/goods/org/756/240719024888756.jpg?RS=450&SP=1&QT=20,ARENA,헌팅턴 레저 1부 팬츠 A4BL1QW45BLK,A4BL1QW45BLK,"55,200",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,여성의류,하의,https://image.sivillage.com/upload/C00001/s3/goods/org/262/240820028329262.jpg?RS=450&SP=1&QT=20,ARENA,뉴웨이브 2부 레저 팬츠 A4BL1QW42GRN,A4BL1QW42GRN,"55,200",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,여성의류,하의,https://image.sivillage.com/upload/C00001/s3/goods/org/267/240718024813267.jpg?RS=450&SP=1&QT=20,ARENA,뉴웨이브 2부 레저 팬츠 A4BL1QW42DPL,A4BL1QW42DPL,"55,200",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,여성의류,하의,https://image.sivillage.com/upload/C00001/s3/goods/org/247/240820028329247.jpg?RS=450&SP=1&QT=20,ARENA,뉴웨이브 2부 레저 팬츠 A4BL1QW42BLK,A4BL1QW42BLK,"55,200",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,여성의류,하의,https://image.sivillage.com/upload/C00001/s3/goods/org/264/240718024813264.jpg?RS=450&SP=1&QT=20,ARENA,엑티브 2부 레저 팬츠 A4BL1QW41GRN,A4BL1QW41GRN,"47,200",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,여성의류,하의,https://image.sivillage.com/upload/C00001/s3/goods/org/258/240718024813258.jpg?RS=450&SP=1&QT=20,ARENA,뉴웨이브 4부 레저 팬츠 A4BL1QW43BLK,A4BL1QW43BLK,"47,200",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,여성의류,하의,https://image.sivillage.com/upload/C00001/s3/goods/org/261/240718024813261.jpg?RS=450&SP=1&QT=20,ARENA,뉴웨이브 4부 레저 팬츠 A4BL1QW43DPL,A4BL1QW43DPL,"47,200",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,여성의류,하의,https://image.sivillage.com/upload/C00001/s3/goods/org/293/240820028329293.jpg?RS=450&SP=1&QT=20,ARENA,엑티브 2부 레저 팬츠 A4BL1QW41COR,A4BL1QW41COR,"47,200",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,여성의류,하의,https://image.sivillage.com/upload/C00001/s3/goods/org/760/240717024768760.jpg?RS=450&SP=1&QT=20,ARENA,엑티브 2부 레저 팬츠 A4BL1QW41BLK,A4BL1QW41BLK,"47,200",20%,N/A,N/A,N/A,,,N/A
